Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Nueva partida,,0,0,0,"LoadChapter(""C001_BeforeClass"")"
0,0,0,,Cargar partida,,0,0,0,LoadScreen()
0,0,0,,Selecciona capítulo, Selecciona el capítulo que quieres jugar.|Si juegas por primera vez empieza en el capítulo 1.,10,0,0,
0,0,0,,Cambia el idioma,,30,0,0,
0,0,0,,Créditos del juego,MUCHÍSIMAS GRACIAS a todos|los que han ayudado a hacer este juego.,0,0,0,RollCredits()
10,0,0,,Capítulo 1|Antes de clase,,10,0,0,"LoadChapter(""C001_BeforeClass"")"
10,0,0,,Capítulo 2|Primera clase,,10,0,0,"LoadChapter(""C002_FirstClass"")"
10,0,0,,Capítulo 3|Detenida por la mañana,,10,0,0,"LoadChapter(""C003_MorningDetention"")"
10,0,0,,Capítulo 4|Clase de arte,,10,0,0,"LoadChapter(""C004_ArtClass"")"
10,0,0,,Capítulo 5|Clase de educación física,,10,0,0,"LoadChapter(""C005_GymClass"")"
10,0,0,,Capítulo 6|Aislamiento,,10,0,0,"LoadChapter(""C006_Isolation"")"
10,0,0,,Capítulo 7|Hora de comer,,10,0,0,"LoadChapter(""C007_LunchBreak"")"
10,0,0,,Capítulo 8|Clase de teatro,,10,0,0,"LoadChapter(""C008_DramaClass"")"
10,0,0,,Más capítulos,"Selecciona el capítulo que quieres jugar.|Si juegas por primera vez empieza en el capítulo 1.",20,0,0,
10,0,0,,Menú principal,"Bienvenida al instituto de bondage,|pásalo bien, sé curiosa y pervertida.",0,0,0,
20,0,0,,Capítulo 9|Biblioteca,,20,0,0,LoadChapter(C009_Library)
20,0,0,,Capítulo 10|Venganza,,20,0,0,LoadChapter(C010_Revenge)
20,0,0,,Capítulo 11|Clase de literatura,,20,0,0,LoadChapter(C011_LiteratureClass)
20,0,0,,Capítulo 101|Club de Kinbaku por wildsj,,20,0,0,LoadChapter(C101_Kinbakuclub)
20,0,0,,Capítulos anteriores,"Selecciona el capítulo que quieres jugar|Si juegas por primera vez empieza en el capítulo 1",10,0,0,
20,0,0,,Menú principal,"Bienvenida al instituto de bondage,|pásalo bien, sé curiosa y pervertida.",0,0,0,
30,0,0,,Inglés,,0,0,0,"SetLanguage(""EN"")"
30,0,0,,Francés (Capítulos 1 to 7)|Autor gottspende,,0,0,0,"SetLanguage(""FR"")"
30,0,0,,Chino (Capítulo 5)|Autor asdcvbgf,,0,0,0,"SetLanguage(""CN"")"
30,0,0,,Español (Capítulo 1)|Autor Rafael R.,,0,0,0,"SetLanguage(""ES"")"
