Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Nouvelle Partie,,0,0,0,"LoadChapter(""C001_BeforeClass"")"
0,0,0,,Charger une partie,,0,0,0,LoadScreen()
0,0,0,,Sélectionner un chapitre,"Sélectionnez le chapitre que vous voulez.|Si c'est votre 1ère partie, commencez au chapitre 1.",10,0,0,
0,0,0,,Changer la langue,,30,0,0,
0,0,0,,Remerciements,Un gros MERCI à tous|ceux qui ont contribués.,0,0,0,RollCredits()
10,0,0,,Chapitre 1|L'arrivée en classe,,10,0,0,"LoadChapter(""C001_BeforeClass"")"
10,0,0,,Chapitre 2|Le premier cours,,10,0,0,"LoadChapter(""C002_FirstClass"")"
10,0,0,,Chapitre 3|La retenue du matin,,10,0,0,"LoadChapter(""C003_MorningDetention"")"
10,0,0,,Chapitre 4|Le cours d'Arts Plastiques,,10,0,0,"LoadChapter(""C004_ArtClass"")"
10,0,0,,Chapitre 5|Le cours de Gym,,10,0,0,"LoadChapter(""C005_GymClass"")"
10,0,0,,Chapitre 6|L'isolement,,10,0,0,"LoadChapter(""C006_Isolation"")"
10,0,0,,Chapitre 7|La pause déjeuner,,10,0,0,"LoadChapter(""C007_LunchBreak"")"
10,0,0,,Chapitre 8|Le cours de Théâtre,,10,0,0,"LoadChapter(""C008_DramaClass"")"
10,0,0,,Autres chapitres,"Sélectionnez le chapitre que vous voulez.|Si c'est votre 1ère partie, commencez au chapitre 1.",20,0,0,
10,0,0,,Menu principal,"Bienvenue à l'Université du Bondage.|Amusez-vous bien, soyez curieux(se) et coquin(e).",0,0,0,
20,0,0,,Chapitre 9|La bibliothèque,,20,0,0,"LoadChapter(""C009_Library"")"
20,0,0,,Chapitre 10|La vengeance,,20,0,0,"LoadChapter(""C010_Revenge"")"
20,0,0,,Chapitre 11|Le cours de Littérature,,20,0,0,"LoadChapter(""C011_LiteratureClass"")"
20,0,0,,Chapitre 101|Le Club Kinbaku par wildsj,,20,0,0,"LoadChapter(""C101_KinbakuClub"")"
20,0,0,,Autres chapitres,"Sélectionnez le chapitre que vous voulez.|Si c'est votre 1ère partie, commencez au chapitre 1.",10,0,0,
20,0,0,,Menu principal,"Bienvenue à l'Université du Bondage.|Amusez-vous bien, soyez curieux(se) et coquin(e).",0,0,0,
30,0,0,,Anglais,,0,0,0,"SetLanguage(""EN"")"
30,0,0,,"Français (Chapitre 1 à 7)|Traduit par gottspende",,0,0,0,"SetLanguage(""FR"")"
30,0,0,,Chinois (Chapitre 5)|Traduit par asdcvbgf,,0,0,0,"SetLanguage(""CN"")"
30,0,0,,Espagnol (Chapitre 1)|Traduit par Rafael R,,0,0,0,"SetLanguage(""ES"")"
