Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,Hi!  Are you new in our college?|Class starts at eight o'clock.,Amanda.jpg
0,0,0,SidneyInBondage,Hi!  I can't believe you tied up Sidney.|She does look cute like that though.,Amanda.jpg
10,0,0,,Hello and welcome again.,Amanda.jpg
20,0,0,,Do you need anything?,Amanda.jpg
30,0,0,,Anything else you want to know|or we focus on today's class?,Amanda.jpg
40,0,0,,(She looks at the black haired|girl and seems scared.),Amanda.jpg
50,0,0,,"Let's talk after class, ok?",Amanda.jpg
50,2,0,,I would love to talk but I need to get my|notes ready.  Let's meet after class.,Amanda.jpg
50,-2,0,,I really don't have time to talk.,Amanda.jpg
50,0,0,SidneyInBondage,(She giggles.)  Sidney is so cute like that.|But maybe you should untie her before class.,Amanda.jpg
200,0,0,,Why do you have rope here?,Amanda.jpg
220,0,0,,Please be careful with my clothes.|(She seems very humiliated.),AmandaStrip.jpg
230,0,0,,Oh god!  The class will start very soon.|(She tugs futilely on the ropes to get out.),AmandaBondageFront.jpg
240,0,0,,,AmandaBondageBack.jpg
250,0,0,,,AmandaBondageHug.jpg
260,0,0,,,AmandaBondageKiss.jpg
300,0,0,,Thanks for letting me go. (She smiles.),Amanda.jpg
300,0,0,SidneyInBondage,Thanks for letting me go and Sidney's cute like that.|But maybe you should untie her before class.,Amanda.jpg
