Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,"Oui, c'est mon|premier jour ici.",Bienvenue ! Je m'appelle Amanda.,10,0,0,
0,0,0,,"Oui, le premier jour|est toujours effrayant.","Tout se passera bien.|Je m'appelle Amanda, bienvenue.",10,0,-1,
0,0,0,,Tu as l'air d'être|la chouchoute.,"Heu... Ben... Je...|Je m'appelle Amanda, bienvenue.",10,-1,1,
0,0,0,,Pourquoi tu|t'en préoccupes ?,"Oh ! Sans raison. Je m'appelle Amanda, bienvenue.",10,-1,0,
0,0,0,SidneyInBondage,Je parie que tu serais|aussi adorable toute ligoté.,"(Son visage s'empourpre.) Tu penses ?| Je m'appelle Amanda, ravie de te rencontrer.",10,0,1,
0,0,0,SidneyInBondage,Tu ferais mieux de|bien te tenir ou sinon.,"Oui, oui, bien sûr. Je m'appelle Amanda.|(Elle baisse la tête et fixe le sol.)",10,-1,2,
10,0,0,,Parle-moi de|cette université.,Elle a été fondé il y a un siècle par des religieuses.|Maintenant cette une université pour filles renommée.,20,0,0,
10,0,0,,Quel cours on|a ce matin ?,Math ! Mon cours préférée !|Attends de rencontrer notre professeur.,20,0,0,
10,0,0,,J'ai eu de bons retours|sur cette université.,"Ça ne m'étonne pas, cet endroit est merveilleux.",20,1,0,
10,0,0,,J'espère que le cours ne| sera pas trop long.,Je ne suis pas sûre que ce soit|la bonne attitude pour s'instruire.,20,-1,0,
20,0,0,,J'aime tes cheveux.,"(Elle rit et rougit.) Tu es sympa,|prépare-toi, le cours va bientôt commencer.",30,1,0,
20,0,0,,Tu as l'air fasciné par|cette école pourri.,Hmm. (Elle se retourne et cesse de parler.),50,-1,0,
20,0,0,,"Ne planifie rien pour|le déjeuner, Je t'invite.",Vraiment ? (Rires.)| Préparons-nous pour le cours dans l'immédiat.,30,0,1,
20,0,0,,"Dit, tu pourrais me|montrer les alentours ?","Peut-être, je verrais.|Pour l'heure, soit prête pour le cours.",30,0,-1,
30,0,0,,"Oui, préparons-nous|pour la leçon du jour.",Bien dit.,50,1,0,
30,0,0,,"Le cours, le cours, Pfff.|Tu es si ennuyeuse.",Oh ! Désolée. (Elle se retourne et cesse de parler.),50,-1,0,
30,1,0,,"Fait attention, la fille aux|cheveux noirs te fixe.","Merci pour l'avertissement ! C'est la première fois|que je vois son sac, Je me demande ce qu'il contient.",40,1,0,
40,1,0,,"T'inquiète, si elle pose|problème, Je te protègerai.",Tu le feras ? Formidable !| Mais restons focalisé sur la leçon pour le moment.,50,0,1,
40,1,0,,"Tu devrais en parler à|la prof, elle est flippante.",Alerter la professeur... Je ne sais pas.|Soyons attentive pour la leçon du jour.,50,0,-1,
40,1,0,SidneyInBondage,"Le sac contenait des|cordes. Elle les ""porte"".",Ha ha ha ! Je vois ça.|Mais tu devrais la libérer avant le début du cours.,50,1,0,
200,0,0,BondageNotConfronted,Aimerais-tu être|ligotée sur-le-champ ?,"Quoi ? Non ! Le cours va débuter dans| quelques minutes ! S'il te plaît, range les.",200,-1,0,ConfrontBondage()
200,0,0,BondageNotConfronted,"Admets-le petite, |tu adorerais être ligotée.","Oh, je... (Elle devient cramoisie.)|No... Ou... No... le cours va commencer.",200,-1,1,ConfrontBondage()
200,0,0,StopRopeSubAllowed,"J'adore le bondage,|Pourrais-tu me ligoter ?","Je vois ! Tu es le genre ""soumise"", peut-être après|l'école. (Elle te fait un clin d'oeil.) De quoi on parlait ?",200,0,-2,StopRopeSub()
200,0,0,,Pour les utiliser plus tard.|(Tu caches les cordes.),Plus tard ? (Elle te regarde avec curiosité.)|De quoi on parlait ?,200,0,0,StopRope()
200,0,2,,(Tu la saisis et enlèves|son uniforme.) (1 minute),Oh non ! Pas encore !|(Elle essaye de se défendre mais elle échoue.),220,0,0,Strip()
200,0,4,,"Petite soumise, enlève|ton uniforme. (1 minute)",N... Je... Oui madame...|(Elle enlève docilement son haut et sa jupe.),220,0,0,
220,0,0,,(Tu la ligotes.)|(1 minute),(Tu enveloppes son corps et lui attaches|les bras derrière son dos. Elle gémit doucement.),230,0,0,Tie()
220,0,0,,Remets tes vêtements.|(1 minute),Quel soulagement ! C'était embarrassant.,200,0,0,
230,0,0,,(Tu la retournes.), Quoi ? Mon dieu ! Qu'est-ce que tu fais ?|(Tu la forces à se retourner.),240,0,0,
230,0,0,,(Tu la détaches.)|(1 minute),"(Tu la détaches doucement) Merci beaucoup !|C'est bon, je peux me rhabiller ?",220,0,0,Untie()
230,0,0,,(Tu la chatouilles.)|(1 minute),(Elle rougit et ne peut s'arrêter de rire.)|Hé ! Ha ha ha ha ha ! Tu es amusante.,230,0,0,Tickle()
230,1,0,,(Tu l'embrasses.)|(1 minute),Un autre baiser ?|(Elle devient cramoisie et te sourit.),230,0,0,Kiss()
230,0,0,SidneyInBondage,(Tu la fais câliner |Sidney.) (1 min),(Les deux filles sont forcées de se câliner et de|se frotter.) Oh non ! Ce n'est pas convenable.,250,0,0,
230,0,0,,Tu as l'air d'un ange|avec ce bondage.,(Elle rit et te sourit.),230,0,0,
230,0,0,,"Si je te libère, je pourrais|te rattacher ? (1 min)",Oh Oui ! Bien sûr !|(Tu la détaches et lui serre la main.),300,1,1,Untie()
230,0,0,,"Si je te libère, plus tard,|tu me ligoteras ? (1 min)","(Rires.) C'est d'accord.|(Tu la détaches et lui serre la main.)",300,1,-2,Untie()
240,0,0,,(Tu la retournes.),(Tu la forces à se retourner.)|"Hum-hum ! En fait, je préfère te voir.",230,0,0,
240,0,0,,(Tu la détaches.)|(1 minute),"(Tu la détaches doucement) Merci beaucoup !|C'est bon, je peux me rhabiller ?",220,0,0,Untie()
240,0,0,,(Tu la chatouilles.)|(1 minute),(Elle rougit et ne peut s'arrêter de rire.)|Hé ! Ha ha ha ha ha ! Tu es amusante.,240,0,0,Tickle()
240,0,0,,(Tu lui mets une fessée.)|(1 minute),(Tu lui en mets une autre mais elle passe mieux.)|Arrête !,240,0,0,Spank()
240,0,0,,Tu sais que tu as|de jolies fesses ?, Vraiment ? (Son visage s'empourpre.),240,0,0,
240,0,0,,"Si je te libère, je pourrais|te rattacher ? (1 min)",Oh Oui ! Bien sûr !|(Tu la détaches et lui serre la main.),300,1,1,Untie()
240,0,0,,"Si je te libère, plus tard,|tu me ligoteras ? (1 min)","(Rires.) C'est d'accord.|(Tu la détaches et lui serre la main.)",300,1,-2,Untie()
250,0,0,,(Tu les sépares.),Merci. C'était vraiment embarrassant.,230,0,0,
250,0,0,,(Tu les forces à|s'embrasser.) (1 min),Un autre baiser ? C'est dégueu !|(Tu les rapproches pour un autre baiser.),260,0,0,ForceKiss()
250,0,0,,Vous faites un joli|couple de bondage.,"(Elles te fixent, leurs regards en dit long.)",250,0,0,
260,0,0,,(Tu les sépares.),Merci. C'était vraiment embarrassant.,230,0,0,
260,0,0,,(Tu stoppes les baisers.),"Le prends pas mal Sidney,|mais tu n'es pas mon genre.",250,0,0,
260,0,0,,Il y a de l'amour dans l'air !,Hé ! Ce n'est pas drôle.|(Elle te tire la langue.),260,0,0,
260,2,0,,Je peux aussi|avoir un baiser ?,"(Rires.) Ok. (Elle se tourne et t'embrasse.)",260,0,0,
