Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Ich wollt mich nur vorstellen.,"Mmmh, hi, Ich bin Sidney.|(Sie starrt ein anderes Mädchen an)",10,0,0,
0,0,0,,"Ey bist du immer so gemein zu Fremden?","Ich denke nicht, tut mir leid, ich bin Sidney.|(SIe start ein anderes Mädchen an.)",10,0,1,
0,0,0,,"Bitte sei nicht böse auf mich, ich bin neu hier.","Neu und erbärmlich, du wirst keinen Tag überleben.|(Sie starrt ein anderes Mädchen an)",10,-1,-1,
0,0,0,,"You look pretty strong,|I'm glad to meet you.","Yes!  I'm the toughest here, I'm Sidney.|(She turns and stares at the other girl)",10,1,0,
0,0,0,,Was für eine beschissene einstellung!,Halt besser dein Maul wenn deine Nase ganz bleiben soll.|(Sie starrt ein anderes Mädchen an),10,-2,0,
0,0,0,AmandaInBondage,"Jo die Nerds erden wissen das wir hier regieren.","Ja verfickt! Ich bin Sidney,schön dich kennzulernen.",20,2,0,
0,0,0,AmandaInBondage,"Gehorche mir wenn du nicht so enden illst ie sie.","(SIe schaut runter und schweigt für ein paar sekunden.)|Solange das Nerfmädchen bestraft wird, OK.",20,0,2,
10,0,0,,Stimmt was nicht?,"Ja das scheiß braunhaarige Mädchen und ihre Freundin nerven.",20,0,0,
10,0,0,,Warum starrst du sie so an?,Geht dich nichts an.,20,0,0,
10,0,0,,Hör auf sie anzustarren!,Hey!  Gib mir keine Befehle!,20,-1,1,
20,0,0,,Du klingst böse.,Was juckts dich?,30,0,0,
20,0,0,,DU scheinst sie|echt zu hassen.,Oh scheisse Ja!  Sie nervt.|Ich bekomme bald meine Rache.,30,1,0,
20,0,0,,Du bist ziemlich heißblütig.  Gefällt mir.,Jo!  Jetzt bereite dich auf den Unterricht vor.,40,1,0,
20,0,0,,Du hast echt ein|aggressionsproblem.,Schnauze!|(SIe dreht sich weg und ignoriet dich.),40,-1,0,
20,1,0,,Brauchst du Hilfe sie in schwierigkeiten zu bringen?,Ja verdammt!  Ich hab Seile im Rucksack.  Wir holen sie uns nach der Stunde.,40,1,0,
30,0,0,,,,Du bist ziemlich heißblütig.  Gefällt mir.,Jo!  Jetzt bereite dich auf den Unterricht vor.,40,1,0,
