Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,I simply want to|introduce myself.,"Mmmh, hello, I'm Sidney.|(She turns and stares at the other girl)",10,0,0,
0,0,0,,"Girl, are you always that|rude with strangers?","I guess not, sorry about that, I'm Sidney.|(She turns and stares at the other girl)",10,0,1,
0,0,0,,"Please don't be angry at|me, I'm new here.","New and pathetic, you won't survive a day.|(She turns and stares at the other girl)",10,-1,-1,
0,0,0,,"You look pretty strong,|I'm glad to meet you.","Yes!  I'm the toughest here, I'm Sidney.|(She turns and stares at the other girl)",10,1,0,
0,0,0,,What a shitty attitude!,You better shut up if you don't want a broken nose.|(She turns and stares at the other girl),10,-2,0,
0,0,0,AmandaInBondage,"Yep, nerds will know that|we rule around here.","Oh fuck yeah!  I'm Sidney, glad to meet you.",20,2,0,
0,0,0,AmandaInBondage,"If you don't want to end up|like her, you better obey.","(She looks down and stays quiet for a few second.)|Yes, as long as that nerd gets punished it's fine.",20,0,2,
10,0,0,,Something's wrong?,"Yes, that fucking brunette and|her stupid friend is what's wrong.",20,0,0,
10,0,0,,Why are you starring|at that girl?,That's none of your concerns.,20,0,0,
10,0,0,,Stop starring at her!,Hey!  Don't give me orders!,20,-1,1,
20,0,0,,You sound pretty angry.,And why do you care?,30,0,0,
20,0,0,,You really seem to|hate that nerd girl.,Oh hell yes!  She's a fucking pain.|Someday I'll have my revenge.,30,1,0,
20,0,0,,You sure are hot|blooded.  I like it.,Yep!  Now let me get ready for class.,40,1,0,
20,0,0,,You really have an|attitude problem.,Shut up!|(She turns around and ignores you.),40,-1,0,
20,1,0,,You need help to get|that girl in trouble?,Oh hell Yeah!  I have some ropes|in my bag.  We'll get her after class.,40,1,0,
30,0,0,,You sure are hot|blooded.  I like it.,Yep!  Now let me get ready for class.,40,1,0,
30,0,0,,You really have an|attitude problem.,Shut up!|(She turns around and ignores you.),40,-1,0,
30,1,0,,You need help to get|that girl in trouble?,Oh hell Yeah!  I have some ropes|in my bag.  We'll get her after class.,40,1,0,
40,-2,0,,Bitch!  Do you|want to fight?,,40,-1,0,Fight()
100,0,0,,Why do you have|ropes in your bag?,That's none of your business.|(She closes the bag.),20,-1,0,
100,0,0,,Are you going climbing|after school?,Yes!  Now gimme that!|(She closes the bag.),20,-1,0,
100,0,0,,Are you planning on|kidnapping someone?,"Mmmh, why do you ask?",110,0,-1,
100,0,0,,So you're a kinky girl|who likes being tied up?,You know anything about bondage?,110,0,1,
110,0,0,,What are you planning?|I'm interested.,Let's talk after the class then.|(She closes the bag.),20,1,0,
