Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Psssst.,(She whispers) What?,10,0,0,
0,0,0,,Excuse me.,(She whispers) Shouldn't we talk later?,10,0,-1,
0,0,0,,Hey!  Pretty eyes.,(She blushes and whispers)  Who?  Me?,10,1,0,
10,0,0,,Are you bored|as I am?,(She looks confused.) Bored?|How can anyone be bored by derivatives?,20,-1,0,
10,0,0,,Will this class|ever ends?,(She whispers.)  It will end at nine.|I can see that math isn't your forte.,20,0,0,
10,0,0,,Can you help me|with these problems?,(She shakes her head no.)  Not now.|But maybe I can help you later tonight.,20,0,-1,
10,0,0,,You seem to|love that class.,(She nods her head.)  I do!  Miss Mildred|might seem tough but she's a good teacher.,20,0,0,
20,0,0,,Don't you want to|get out of here?,(She looks surprised.)  Get out?|From class?  What do you have in mind?,30,0,0,
20,0,0,,"Admit it, there are better|things we could do now.",Better things?  What do you have in mind?,30,0,0,
20,0,0,,A cutie like you could|have more fun.,More fun?  What do you have in mind?,30,0,1,
20,0,0,,"You're boring me,|let's do something else.",Something else?  What do you have in mind?,30,-1,0,
30,0,0,,Would you like to see|the teacher in soft ropes?,(Her eyes widen and she blushes.)|Putting Miss Mildred in bondage?  Us?,40,1,0,
30,0,0,,We should kidnap|the teacher.,(Her eyes widen and she whispers.)|For real?  Tying her in class?,40,0,0,
30,0,0,,We need to beat up|and bind the teacher.,"(She shakes her head from left to right.)|Oh lord no, we cannot hurt Miss Mildred.",40,-1,0,
30,0,0,,"Girl, you will help|me kidnap Mildred.",(Her eyes widen and she whispers.)|What?  Tying her in front of the class?,40,0,1,
40,4,0,,You can do it for|friendship. (Wink.),"(She nods.)  Alright, for friendship.|I will help you but you do the first move.",50,0,0,AgreeHelp()
40,0,4,,"Subbie girl, you|will do it.",(She bows her head.)  Yes Miss.|Please do the first move and I will help.,50,0,0,AgreeHelp()
40,0,0,,"Yes, will you|help me?","(She shakes her head no.)|I can't do that, I like Miss Mildred.",40,0,0,
40,0,0,,"Yes, but let me|think about it.","(She shrugs)  Alright, but|you'll need to be very convincing.",40,0,0,
100,0,0,SubdueRemarkReady,Would you like to|be tied up like her?,Me?  (She giggles.)  Ye... No.|That wouldn't be proper.,100,0,1,SubdueRemark()
100,0,4,SubdueRemarkReady,Admit it subbie girl.|You envy her now.,I... well... err... yes Miss.|(She bows her head to you.),100,0,1,SubdueRemark()
100,0,0,SubdueRemarkReady,I made this nice|bondage for you.,(She blushes.)  For me?|(She giggles.)  This is so kinky.,100,1,0,SubdueRemark()
100,0,0,SubdueRemarkReady,We have a different|class this morning.,Is this going to be on the exam? (She giggles.),100,0,0,SubdueRemark()
100,0,0,Common_PlayerGagged,"@Uuuummph, mmph!",(She put her hand over her mouth not to giggle.),100,0,0,
100,0,0,Common_PlayerGagged,(Chew on the gag.),(She looks at you and seems|to like what she's seeing.),100,0,0,
100,1,0,Common_PlayerGagged,(Try to point|to the BallGag.),(She whispers) I will help you after class.,100,0,0,
100,-1,0,Common_PlayerGagged,(Try to point|to the BallGag.),(She gives you and thumbs up and giggles.),100,0,0,
100,0,0,Common_PlayerRestrained,(Tug on your restrains.),(She shakes her head from left to right.),100,0,0,
100,0,-2,BowRemarkReady,(Bow your head.),(She whispers.) You're|so cute bound and gagged.,100,1,-1,BowRemark()
110,0,0,Common_PlayerGagged,"@Uuuummph, mmph!",(She giggles and mumbles back to you.),110,0,0,
110,0,0,Common_PlayerNotRestrained,(Ungag her.)|(1 minute),(You unbuckle and pull out the big ball.)|Thank you.  That was pretty uncomfortable.,100,0,0,Ungag()
130,0,0,Common_PlayerGagged,"@Uuuummph, mmph!",(She giggles and mumbles back to you.),130,0,0,
130,0,0,Common_PlayerNotRestrained,(Ungag her.)|(1 minute),(You unbuckle and pull out the big ball.)|Thank you.  That was pretty uncomfortable.,120,0,0,Ungag()
140,0,0,Common_PlayerNotRestrained,(Tickle her.)|(1 minute),"(You tickle her and she laughs madly.)|HahaHAHAha!  Please, please stop.",140,0,0,Tickle()
140,0,0,Common_PlayerNotRestrained,(Untie her.)|(1 minute),(You untie the knots and she dresses back.)|You sure know your knots. (She giggles.),100,0,0,Untie()
140,0,0,BondageHugReady,Would you like to hug|Sarah? (1 minute),(She gives a warm bondage hug to Sarah|and whispers something soft in her ear.),160,0,0,BondageHug()
150,0,0,Common_PlayerGagged,"@Uuuummph, mmph!",(She giggles and mumbles back to you.),150,0,0,
150,0,0,Common_PlayerNotRestrained,(Tickle her.)|(1 minute),"(You tickle her and she laughs madly|in her gag, she blushes red after that.)",150,0,0,Tickle()
150,0,0,Common_PlayerNotRestrained,(Ungag her.)|(1 minute),(You unbuckle and pull out the big ball.)|Thank you.  That was pretty uncomfortable.,140,0,0,Ungag()
150,0,0,Common_PlayerNotRestrained,(Untie her.)|(1 minute),(You untie the knots and she dresses back.)|(She points then points to her gag.),110,0,0,Untie()
150,0,0,BondageHugReady,Would you like to hug|Sarah? (1 minute),(She hesitates but slowly moves to|her friend to give her a warm bondage hug.),170,0,0,BondageHug()
160,0,0,,Would you like to kiss|her?  (1 minute),"Sarah, do you want to kiss me?|(She gets closer and kisses Sarah.)",160,0,0,KissSarah()
160,0,0,,Are you two in love?,I...  Err...  Well...  (She blushes red.),160,0,0,
160,0,0,Common_PlayerNotRestrained,(Separate them.)|(1 minute),(She whispers something to Sarah and they split.),140,0,0,Separate()
170,0,0,,You two make a|nice bondage duo.,(She blushes and looks away from you.),170,0,0,
170,0,0,Common_PlayerNotRestrained,(Separate them.)|(1 minute),(She looks at Sarah one last|time and returns to her chair.),150,0,0,Separate()
170,0,0,Common_PlayerNotRestrained,(Ungag her.)|(1 minute),(You unbuckle and pull out the BallGag.)|Thank you.  That was pretty uncomfortable.,160,0,0,Ungag()
