Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Psssst.,(Elle chuchote) Quoi ?,10,0,0,
0,0,0,,Excuse-moi.,(Elle chuchote) On ne devrait pas parler plus tard ?,10,0,-1,
0,0,0,,Hé ! Jolis yeux.,(Elle rougit et chuchote) Qui ? Moi ?,10,1,0,
10,0,0,,Est-ce que tu t'ennuies|autant que moi ?,(Elle à l'air confuse.) S'ennuyer ? Comment quelqu'un|peut être ennuyé par les dérivées ?,20,-1,0,
10,0,0,,Est-ce que ce cours|ne finira jamais ?,(Elle chuchote.) Il termine à 9H.|Je vois que les maths ne sont pas ton point fort.,20,0,0,
10,0,0,,Peux-tu m'aider|avec ces problèmes ?,(Elle te fait non de la tête.) Pas maintenant.|Mais peut être que je pourrais t'aider plus tard ce soir.,20,0,-1,
10,0,0,,Tu sembles|adorer cette classe.,(Elle hoche la tête.) C'est le cas ! Madame Mildred|peu paraître dûre mais c'est une bonne enseignante.,20,0,0,
20,0,0,,"Ne veux-tu pas faire|un tour dehors ?","(Elle a l'air surprise.) Dehors ? Sortir de la classe ? |Qu'est-ce que tu as en tête ?",30,0,0,
20,0,0,,"Admets-le, il y a de|meilleures choses à faire.",De meilleures choses ? Qu'est-ce que tu as en tête ?,30,0,0,
20,0,0,,Une mignonne comme toi|devrait s'amuser plus.,S'amuser plus ? Qu'est-ce que tu as en tête ?,30,0,1,
20,0,0,,"Tu m'ennuies,|Faisons autre chose.",Autre chose ? Qu'est-ce que tu as en tête ?,30,-1,0,
30,0,0,,Aimerais-tu voir la prof|avec des cordes légères ?,(Ses yeux s'élargissent et elle rougit.)|Mettre Madame Mildred en bondage ? Nous ?,40,1,0,
30,0,0,,On devrait kidnapper|la professeur.,(Ses yeux s'élargissent et elle rougit.)|Pour de vrai ? La ligoter en classe ?,40,0,0,
30,0,0,,Nous devons battre|et ligoter la prof.,"(Elle secoue la tête de gauche à droite.) Oh mon dieu, |non, on peut pas blesser Madame Mildred.",40,-1,0,
30,0,0,,"Petite, tu m'aideras|à kidnapper Mildred.",(Ses yeux s'élargissent et elle rougit.)|Quoi ? La ligoter devant toute la classe ?,40,0,1,
