Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,Welcome to my class young lady.|You shall address me as Miss Mildred.,MildredIntro.jpg
10,0,0,,,MildredIntro.jpg
20,0,0,,,MildredIntro.jpg
30,0,0,,,MildredIntro.jpg
40,0,0,,,MildredIntro.jpg
50,0,0,,(Miss Mildred is teaching derivatives until 9:00.|She seems to control the class with a firm grip.),MildredTeach.jpg
100,0,0,,,MildredCrop.jpg
110,0,0,,,MildredCrop.jpg
120,0,0,,,MildredCrop.jpg
130,0,0,,,MildredCrop.jpg
200,0,0,Common_PlayerNotRestrained,(Miss Mildred is teaching derivatives until 9:00.|She seems to control the class with a firm grip.),MildredTeach.jpg
200,0,0,Common_PlayerRestrained,(Miss Mildred class continues while you trash in your|cuffs and drool.  You might have to wait until 9:00.),MildredTeach.jpg
210,0,0,,(Miss Mildred is in full control of her class.|Do you really want to try to subdue her?),MildredTeach.jpg
220,0,0,,,MildredCrop.jpg
300,0,0,,Young lady!  You will unlock these cuffs right now.,Mildred_Cuffs.jpg
310,0,0,,Young lady!  You will unlock these cuffs right now.,Mildred_Cuffs.jpg
320,0,0,,(She bites her gag and seems furious.),Mildred_Cuffs_BallGag.jpg
330,0,0,,Young lady!  You will untie me right now.|(She closes her eyes to keep some dignity.),Mildred_Rope.jpg
340,0,0,,(She bites her gag and seems furious.)|(She closes her eyes to keep some dignity.),Mildred_Rope_BallGag.jpg
410,0,0,,"(You bend her over the desk and raise the crop.)|Little Miss, think about your future before you act.",Mildred_Cuffs_Crop.jpg
420,0,0,,(You bend her over the desk and raise the crop.)|(She protests in the gag but it's incomprehensible.),Mildred_Cuffs_Crop.jpg
430,0,0,,"(You bend her over the desk and raise the crop.)|Little Miss, think about your future before you act.",Mildred_Rope_Crop.jpg
440,0,0,,(You bend her over the desk and raise the crop.)|(She protests in the gag but it's incomprehensible.),Mildred_Rope_Crop.jpg
