Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Alright.,Fine.  Welcome to our establishment.  I|trust you will learn a lot within these walls.,10,0,0,
0,0,0,,Yes Miss Mildred.,Very good.  Welcome to our fine establishment.|I trust you will learn a lot within these walls.,10,1,-1,
0,0,0,,(Stay silent.),"A quiet one, good.  Welcome to our establishment.|I trust you will learn a lot within these walls.",10,0,0,
0,0,0,,That's unlikely.,I might have to teach you discipline before math.|I trust you will learn a lot within these walls.,10,-1,1,
10,0,0,,I hope to learn|a lot Miss Mildred.,"If you follow the academy's rules,|you will become a fine lady.",20,0,-1,
10,0,0,,Please teach me then.,"I will.  If you follow the academy's|rules, you will become a fine lady.",20,0,0,
10,0,0,,I think I will|like it in here.,"I'm sure you will, If you follow the|academy's rules, you will become a fine lady.",20,1,0,
10,0,0,,I trust your class|will be informative.,"It will.  If you follow the academy's|rules, you will become a fine lady.",20,0,1,
10,0,0,,(Yawn.),"Student, if you ever wish to become a fine lady,|you will need to focus and follow the rules.",20,-1,0,
10,0,0,,(Nod slowly.),"If you follow the academy's rules,|you will become a fine lady.",20,0,-1,
20,0,0,,A fine lady?|That's a joke?,I'm not joking little miss.  Today we will|study derivatives.  I trust you have your books.,30,-1,1,
20,0,0,,A fine lady?|This is nice.,(She smiles at you.)  Today we will|study derivatives.  I trust you have your books.,30,1,0,
20,0,0,,(Bow your head|and slowly nod.),(She smiles at you.)  Today we will|study derivatives.  I trust you have your books.,30,0,-1,
30,0,0,,Yes Miss Mildred.|I'm eager to learn.,Very good.  Now open your book|at page 147 and review the formulas.,40,1,-1,
30,0,0,,Derivatives?|What the fuck?,(She hits your desk with her crop.)  Watch|your language and open your book at page 147.,40,-1,0,
30,0,0,,Derivatives?|I love math.,(She hits your desk with her crop.)  Watch|your language and open your book at page 147.,40,1,0,
30,0,0,,Derivatives?|That's complicated.,Start to work then.  Now open your|book at page 147 and review the formulas.,40,0,0,
