Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Entendue.,Bienvenue dans notre établissement. J'espère que |tu apprendras beaucoup de choses en ces murs.,10,0,0,
0,0,0,,"Oui ! Madame Mildred.",Très bien. Bienvenue dans notre belle établissement.|Tu apprendras beaucoup de choses en ces murs.,10,1,-1,
0,0,0,,"(Tu restes silencieuse.)","Une ""réservée"". Bienvenue dans notre établissement.|Tu apprendras beaucoup de choses en ces murs.",10,0,0,
0,0,0,,"C'est peu probable.","La discipline passera avant les maths. Tu devras|apprendre beaucoup de choses en ces murs.",10,-1,1,
10,0,0,,Je m'appliquerai |Madame Mildred.,"Si tu suis les règles de l'académie,|tu deviendras une vrai dame.",20,0,-1,
10,0,0,,"Enseignez-les moi,|s'il vous plaît","Je le ferais. Si tu suis les règles de l'académie,|tu deviendras une vrai dame.",20,0,0,
10,0,0,,Je penses que je|vais me plaire ici.,"J'en suis sûre, si tu suis les règles de l'académie,|tu deviendras une vrai dame.",20,1,0,
10,0,0,,J'espère que votre|cours sera instructif.,"Il le sera. Si tu suis les règles de l'académie,|tu deviendras une vrai dame.",20,0,1,
10,0,0,,(Bâillement.),"Jeune fille, si tu souhaites devenir une vrai dame,|tu auras besoin de te concentrer et suivre les règles.",20,-1,0,
10,0,0,,(Tu hoches la tête|doucement.),"Si tu suis les règles de l'académie,|tu deviendras une vrai dame.",20,0,-1,
20,0,0,,Une vrai dame ?|C'est une blague ?,"Je ne plaisante pas Mademoiselle. Nous allons|étudier les dérivées. J'espère que tu as ton livre.",30,-1,1,
20,0,0,,Une vrai dame ?|C'est parfait.,(Elle te sourit.) Aujourd'hui nous étudierons|les dérivées. Je supposes que tu as ton livre.,30,1,0,
20,0,0,,(Tu baisses et hoches|la tête doucement.),(Elle te sourit.) Aujourd'hui nous étudierons|les dérivées. Je supposes que tu as ton livre.,30,0,-1,
30,0,0,,"Oui, Madame Mildred.|J'ai hâte d'apprendre.","Très bien. Ouvre, maintenant ton livre|à la page 147 et révise les formules.",40,1,-1,
30,0,0,,"Les dérivées ?|C'est quoi ce truc ?","(Elle donne un coup de cravache sur ton bureau.)|Surveille ton langage et ouvre ton livre à la page 147.",40,-1,0,
30,0,0,,"Les dérivées ?|J'adore les maths.","(Elle donne un coup de cravache sur ton bureau.)|Surveille ton langage et ouvre ton livre à la page 147.",40,1,0,
30,0,0,,"Les dérivées ?|C'est compliqué.","Commence à étudier alors. Ouvre, maintenant ton livre|à la page 147 et révise les formules.",40,0,0,
40,0,0,,"(Tu restes silencieuse|et ouvres le livre.)","Bien. Sois sage, je vais commencer le cours.|(Elle retourne à son bureau et commence la leçon.)",50,0,0,
40,0,0,,"(Tu regardes l'horloge|sur le mur.)","(Elle te regarde sévèrement et retourne|à son bureau pour commencer la leçon.)",50,-1,0,
40,0,0,,"Oui, Madame Mildred.|(Tu ouvres le livre.)","Très bien. Sois sage, je vais commencer le cours.|(Elle retourne à son bureau et commence la leçon.)",50,0,-1,
40,0,0,,"Oui, assez parlé.|(Tu ouvres le livre.)","Bien ! Sois sage, je vais commencer le cours.|(Elle retourne à son bureau et commence la leçon.)",50,0,1,
100,0,0,,"Madame Mildred !|Qu'est-ce que vous faites ?", Je t'enseigne une leçon jeune fille.|(Elle te frappe sans trop forcer avec sa cravache.),110,0,0,
100,0,0,,"Qu'est-ce qui se passe ?",Ce genre de langage ne sera pas toléré.|(Elle te frappe violemment avec sa cravache.),110,-1,0,
100,0,0,,"Hé ! Vous ne pouvez|pas faire ça.","Bien sûr que je peux, tu n'as aucune idée de ta position|ici. (Elle te frappe sans trop forcer avec sa cravache.)",110,0,0,
100,0,0,,(Tu essayes de lui|donner un coup de pied.),"Oh ! tu es bien fougueuse jeune fille, voici qui devrait te|discipliner. (Elle te donne un violent coup de cravache.)",110,-1,1,
110,0,0,,"Merde ! Ça fait mal !","Quelles grossièretés !|(Elle te donne un coup plus fort.)",120,-1,0,
110,0,0,,"Aïe ! Madame Mildred.|Arrêtez, s'il vous plaît.",J'arrêterais quand tu auras retenu la leçon.|(Elle te frappe à nouveau et arbore un grand sourire.),120,1,0,
110,0,0,,"(Tu restes silencieuse|et fait l'indifférente.)","Tu es forte, mais je te briserai.|(Elle te donne un nouveau coup plus fort.)",120,0,1,
110,0,0,,"Ah ! C'est le mieux|que tu puisses faire ?","Qu'elle mauvaise éducation, je te briserai.|(Elle te donne un nouveau coup plus fort.)",120,-1,1,
110,0,0,,"(Tu restes silencieuse et|essayes de ne pas crier.)","Vous retiendrez la leçon Mademoiselle.|(Elle te frappe à nouveau mais pas très fort.)",120,0,0,
120,0,0,,"Madame, je serais|sage. S'il vous plaît.","(Elle te donne un dernier coup, plus doux.)|Bien, tu seras sage et tu suivras les règles ?",130,1,-1,
120,0,0,,"Madame Mildred.|J'ai appris ma leçon.","(Elle te donne un dernier coup, plus doux.)|Bien, tu seras sage et tu suivras les règles ?",130,1,0,
120,0,0,,"Tu crois que tu peux|me faire mal ?","(Elle te donne un dernier coup plus violent.) Dernier|avertissement, seras-tu sage et suivras-tu les règles ?",130,0,0,
120,0,0,,"Allez-vous faire foutre|sale garce !","(Elle te donne un dernier coup plus violent.) Dernier|avertissement, seras-tu sage et suivras-tu les règles ?",130,-1,1,
130,0,0,,"Oui, Madame Mildred.|Excusez-moi, s'il vous plaît.",Tu es excusée. Maintenant la leçon peut commencer.,50,2,-1,
130,0,0,,"Oui, Je serais sage.","Bien. Maintenant la leçon peut commencer.",50,1,0,
130,0,0,,"Pas question ! Je suivrais|mes propres règles.","(Elle te menotte les poignets et te bâillonne.)|Puisque tu ne sais pas te tenir, tu resteras attachée.",50,0,0,RestrainPlayer()
130,0,0,,(Tu refuses de répondre.),"(Elle te menotte les poignets et te bâillonne.)|Puisque tu veux être silencieuse, tu le resteras.",50,0,-1,RestrainPlayer()
200,0,0,Common_PlayerNotRestrained,(Tu parles pour attirer|son attention.),,200,-1,0,Disturb()
200,0,0,Common_PlayerNotRestrained,(Tu essayes de maîtriser|Madame Mildred.),Veux-tu essayer de maîtriser Madame Mildred ?|(Chaque étudiante qui t'aide augmentera tes chances.),210,0,0,
200,0,0,Common_PlayerRestrained,"Uummph !","(Elle ignore tes cris|et les autres étudiantes rient.)",200,0,0,
200,0,0,Common_PlayerRestrained,(Tu tires sur tes menottes.)|(1 minute),(Tu luttes vainement. Elle est convaincue|que tu ne t'échapperas pas et t'ignores),200,0,0,
210,0,0,Common_PlayerNotRestrained,"(Tu essayes|de la maîtriser.)",,210,-2,0,Subdue()
210,0,0,,"(Peut-être|plus tard.)","Tu renonces à ton plan d'enlèvement.|(Madame Mildred continue d'enseigner.)",200,0,0,
220,0,0,,"Une leçon de vous ?|Pas moyen !","(Tu prends 6 coup sec, elle te menotte et te bâillonne.)|Puisque tu ne sais pas te tenir, tu resteras attachée.",220,0,1,RestrainPlayer()
220,0,0,,"Allez-vous faire foutre|sale garce !","(Tu prends 10 coup sec, elle te menotte et te bâillonne.)|Puisque tu ne sais pas te tenir, tu resteras attachée.",220,-1,0,RestrainPlayer()
220,0,0,,"Non ! S'il vous plaît !|Je suis tellement désolée.","(Tu prends 2 coup sec, elle te menotte et te bâillonne.)|C'est trop tard pour les excuses, tu resteras attachée.",220,0,-1,RestrainPlayer()
220,0,0,,"(Tu restes silencieuse.)","(Tu prends 4 coup sec, elle te menotte et te bâillonne.)|Puisque tu ne sais pas te tenir, tu resteras attachée.",220,0,0,RestrainPlayer()
300,0,0,,"Mildred, c'est moi qui|commande à présent.","Toi ? Mais c'est moi l'enseignante.|Vous allez au-devant de grands soucis mademoiselle.",310,0,1,
300,0,0,,"""Madame"", ce cours va|enfin devenir intéressant.","Non-sens ! Je suis la responsable de cette classe.|Vous allez au-devant de grands soucis mademoiselle.",310,0,0,
300,0,0,,"Si vous coopérez,|Ça sera vite finis.",(Elle hocha la tête et reste silencieuse.),310,0,1,
300,0,0,,"Je ne m'attendais pas à|ce que vous soyez si jolie".,"(Elle rougit.) Jeune fille,|Qu'est-ce que tu as prévu exactement ?",310,1,0,
310,0,0,Common_PlayerNotRestrained,(Tu la chatouilles.)|(1 minute),(Elle se recroqueville pour t'éviter et rit en silence.)|Tu ne fais que prolonger l'inévitable !,310,0,0,
310,0,0,SearchAvail,(Tu fouilles dans ses|affaires.) (1 minute),(Tu fouilles dans ses affaires et trouves des objets|très intéressants.) Sale petite voleuse !,310,-1,0,Search()
320,0,0,Common_PlayerNotRestrained,(Tu la chatouilles.)|(1 minute),(Elle se recroqueville pour t'éviter et rit en silence.),320,0,0,
320,0,0,Common_PlayerNotRestrained,(Tu la débâillones.)|(1 minute),(Tu lui enlèves doucement son bâillon.)|Jeune fille ! Ceci est vraiment inapproprié.,310,0,0,Ungag()
330,0,0,Common_PlayerNotRestrained,(Tu la chatouilles.)|(1 minute),(Elle se recroqueville pour t'éviter et rit en silence.)|Tu ne fais que prolonger l'inévitable !,330,0,0,
330,0,0,SearchAvail,(Tu fouilles dans ses|affaires.)|(1 minute),(Tu fouilles dans ses affaires et trouves des objets|très intéressants.) Sale petite voleuse !,330,-1,0,Search()
