Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,Common_PlayerGagged,You're cute with that gag.|Can I also get one?,Sarah.jpg
10,0,0,Common_PlayerGagged,You're cute with that gag.|Can I also get one?,Sarah.jpg
20,0,0,Common_PlayerGagged,You're cute with that gag.|Can I also get one?,Sarah.jpg
30,0,0,Common_PlayerGagged,You're cute with that gag.|Can I also get one?,Sarah.jpg
40,0,0,Common_PlayerGagged,You're cute with that gag.|Can I also get one?,Sarah.jpg
50,0,0,Common_PlayerGagged,You're cute with that gag.|Can I also get one?,Sarah.jpg
60,0,0,Common_PlayerGagged,You're cute with that gag.|Can I also get one?,Sarah.jpg
0,0,0,SubdueNotDone,"(She turns to you and whispers.)|Hello there, I'm Sarah.",Sarah.jpg
10,0,0,SubdueNotDone,Is this your first math|class with Miss Mildred?,Sarah.jpg
20,0,0,SubdueNotDone,(She yawns and turns to you.),Sarah.jpg
30,0,0,SubdueNotDone,Miss Mildred is quite a|strict teacher isn't she?,Sarah.jpg
40,0,0,SubdueNotDone,"I'm curious, what do|you have in mind?",Sarah.jpg
50,0,0,SubdueNotDone,You want to subdue and kidnap Miss Mildred?|(You need 2 love or submission to convince her.),Sarah.jpg
60,0,0,SubdueNotDone,I help will you.|But you start the kidnapping.,Sarah.jpg
0,0,0,SubdueSuccess,Wow!  It's the first time I wish I|could have been to math class early.,Sarah.jpg
10,0,0,SubdueSuccess,"I'm Sarah, nice to meet you.",Sarah.jpg
20,0,0,SubdueSuccess,This is the best math class ever!,Sarah.jpg
30,0,0,SubdueSuccess,"Now you should humiliate|piggy.  Errr, I mean Sidney.",Sarah.jpg
40,0,0,SubdueSuccess,Do you have some restrains left for me?,Sarah.jpg
50,0,0,SubdueSuccess,Do you have some restrains left for me?,Sarah.jpg
60,0,0,SubdueSuccess,Do you have some restrains left for me?,Sarah.jpg
110,0,0,,(She chews on the gag playfully|and gives you a thumb up.),Sarah_BallGag.jpg
120,0,0,,(She plays with the cuffs.)|I need cuffs like this at home.,Sarah_Cuffs.jpg
130,0,0,,(She plays with the cuffs and|seems to enjoy being restrained.),Sarah_Cuffs_BallGag.jpg
140,0,0,,(She plays in the rope and seems to have fun.)|I love the way you tied me up.,Sarah_Rope.jpg
150,0,0,,(She plays in the ropes and rubs her body.|She seems to be having lots of fun.),Sarah_Rope_BallGag.jpg
200,0,0,,It seems that someone got|in even more trouble than me.,Sarah.jpg
210,0,0,,"I'm Sarah, nice to meet you.",Sarah.jpg
220,0,0,,So what happened to you?,Sarah.jpg
230,0,0,,You look adorable all restrained.,Sarah.jpg
240,0,0,,I wish I could be|tied up just like you.,Sarah.jpg
250,0,0,,You think I can get in trouble|like you if I bother the teacher?,Sarah.jpg
260,0,0,,(She chews on the gag and|playfully tugs on the cuffs.),Sarah_Cuffs_BallGag.jpg
300,0,0,,This class is so boring.|I hope it will be over soon.,Sarah.jpg
