Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,Common_PlayerGagged,@Uumph lnug mmph!,"(She laughs.)  I can't understand.|I'm Sarah, pleased to meet you.",10,1,0,
0,0,0,Common_PlayerGagged,(Nod happily.),"(She giggles.)  A happy submissive!|I'm Sarah, pleased to meet you.",10,1,0,
0,0,0,Common_PlayerGagged,(Give her an|angry look.),You're no fun.  (She pulls her tongue at you.),10,-1,0,
10,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(She laughs.)  I can't understand.,10,0,0,
10,0,0,Common_PlayerGagged,(Nod happily.),(She giggles.)  A happy submissive!,10,0,0,
10,0,0,Common_PlayerGagged,(Give her an|angry look.),You're no fun.  (She pulls her tongue at you.),10,0,0,
20,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(She laughs.)  I can't understand.,20,0,0,
20,0,0,Common_PlayerGagged,(Nod happily.),(She giggles.)  A happy submissive!,20,0,0,
20,0,0,Common_PlayerGagged,(Give her an|angry look.),You're no fun.  (She pulls her tongue at you.),20,0,0,
30,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(She laughs.)  I can't understand.,30,0,0,
30,0,0,Common_PlayerGagged,(Nod happily.),(She giggles.)  A happy submissive!,30,0,0,
30,0,0,Common_PlayerGagged,(Give her an|angry look.),You're no fun.  (She pulls her tongue at you.),30,0,0,
40,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(She laughs.)  I can't understand.,40,0,0,
40,0,0,Common_PlayerGagged,(Nod happily.),(She giggles.)  A happy submissive!,40,0,0,
40,0,0,Common_PlayerGagged,(Give her an|angry look.),You're no fun.  (She pulls her tongue at you.),40,0,0,
50,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(She laughs.)  I can't understand.,50,0,0,
50,0,0,Common_PlayerGagged,(Nod happily.),(She giggles.)  A happy submissive!,50,0,0,
50,0,0,Common_PlayerGagged,(Give her an|angry look.),You're no fun.  (She pulls her tongue at you.),50,0,0,
60,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(She laughs.)  I can't understand.,60,0,0,
60,0,0,Common_PlayerGagged,(Nod happily.),(She giggles.)  A happy submissive!,60,0,0,
60,0,0,Common_PlayerGagged,(Give her an|angry look.),You're no fun.  (She pulls her tongue at you.),60,0,0,
0,0,0,SubdueNotDone,You should focus more|on your education.,"I know, I know, I Know! |Are you always that boring?",10,-1,1,
0,0,0,SubdueNotDone,Are you always|late to class?,"Oh no, Miss Mildred is exaggerating.|Only this morning... and last time.",10,0,1,
0,0,0,SubdueNotDone,I'm surprised you're|able to sit down.,"Nonsense, I've had worse than that.",10,0,0,
0,0,0,SubdueNotDone,Are you alright?|Did she hurt you?,"I will be fine, I've had much worse.|Thanks for asking. (She smiles at you.)",10,1,0,
10,0,0,SubdueNotDone,When does this|math class end?,"At nine, at least I was|able to skip half of it.",20,0,0,
10,0,0,SubdueNotDone,"This is so boring, you|should have stayed out.",I agree!  I'm wondering why I came in.,20,1,0,
10,0,0,SubdueNotDone,I don't understand math.|Can you help me here?,Me?  Help anyone in|math?  That's a good one.,20,0,-1,
20,0,0,SubdueNotDone,We should get out.,Get out?  But I just came in.|I don't want more trouble with Miss Mildred.,30,0,0,
20,0,0,SubdueNotDone,How do you kill time?,I think about yesterday evening. (She giggles.)|Miss Mildred is pretty boring isn't she?,30,0,0,
