Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,Common_PlayerGagged,@Uumph lnug mmph !,"(Elle se marre.) Je ne comprends pas.|Je m'appelle Sarah, ravie de te rencontrer",10,1,0,
0,0,0,Common_PlayerGagged,(Tu hoches la tête|gaiement.),"(Elle rit.) Une soumise joyeuse !|Je m'appelle Sarah, ravie de te rencontrer.",10,1,0,
0,0,0,Common_PlayerGagged,(Tu la regardes|avec colère.),Tu n'es pas drôle. (Elle tire la langue.),10,-1,0,
10,0,0,Common_PlayerGagged,@Uumph lnug mmph !,"(Elle se marre.) Je ne comprends pas.",10,0,0,
10,0,0,Common_PlayerGagged,(Tu hoches la tête|gaiement.),"(Elle rit.) Une soumise joyeuse !",10,0,0,
10,0,0,Common_PlayerGagged,(Tu la regardes|avec colère.),Tu n'es pas drôle. (Elle tire la langue.),10,0,0,
20,0,0,Common_PlayerGagged,@Uumph lnug mmph !,"(Elle se marre.) Je ne comprends pas.",20,0,0,
20,0,0,Common_PlayerGagged,(Tu hoches la tête|gaiement.),"(Elle rit.) Une soumise joyeuse !",20,0,0,
20,0,0,Common_PlayerGagged,(Tu la regardes|avec colère.),Tu n'es pas drôle. (Elle tire la langue.),20,0,0,
30,0,0,Common_PlayerGagged,@Uumph lnug mmph !,"(Elle se marre.) Je ne comprends pas.",30,0,0,
30,0,0,Common_PlayerGagged,(Tu hoches la tête|gaiement.),"(Elle rit.) Une soumise joyeuse !",30,0,0,
30,0,0,Common_PlayerGagged,(Tu la regardes|avec colère.),Tu n'es pas drôle. (Elle tire la langue.),30,0,0,
40,0,0,Common_PlayerGagged,@Uumph lnug mmph !,(Elle se marre.) Je ne comprends pas.,40,0,0,
40,0,0,Common_PlayerGagged,(Tu hoches la tête|gaiement.),"(Elle rit.) Une soumise joyeuse !",40,0,0,
40,0,0,Common_PlayerGagged,(Tu la regardes|avec colère.),Tu n'es pas drôle. (Elle tire la langue.),40,0,0,
50,0,0,Common_PlayerGagged,@Uumph lnug mmph !,(Elle se marre.) Je ne comprends pas.,50,0,0,
50,0,0,Common_PlayerGagged,(Tu hoches la tête|gaiement.),"(Elle rit.) Une soumise joyeuse !",50,0,0,
50,0,0,Common_PlayerGagged,(Tu la regardes|avec colère.),Tu n'es pas drôle. (Elle tire la langue.),50,0,0,
60,0,0,Common_PlayerGagged,@Uumph lnug mmph !,(Elle se marre.) Je ne comprends pas.,60,0,0,
60,0,0,Common_PlayerGagged,(Tu hoches la tête|gaiement.),"(Elle rit.) Une soumise joyeuse !",60,0,0,
60,0,0,Common_PlayerGagged,(Tu la regardes|avec colère.),Tu n'es pas drôle. (Elle tire la langue.),60,0,0,
0,0,0,SubdueNotDone,Tu devrais te concentrer|d'avantages sur tes études.,"Je sais, Je sais, Je sais ! |Tu es toujours aussi ennuyante ?",10,-1,1,
0,0,0,SubdueNotDone,Tu arrives toujours|en retard en classe ?,"Oh non, Madame Mildred exagère.|Seulement ce matin... et la fois dernière.",10,0,1,
0,0,0,SubdueNotDone,Je suis surprise que tu sois|capable de t'asseoir.,"Sottises, J'ai déjà eu bien pire que ça.",10,0,0,
0,0,0,SubdueNotDone,Est-ce que ça va ?|Tu n'as pas trop mal ?,"Je vais bien, j'ai déjà eu bien pire.|Merci d'avoir demander. (Elle te sourit.)",10,1,0,
10,0,0,SubdueNotDone,Quand est-ce que|le cours se termine ?,"A 9H, au moins j'ai été capable d'en éviter la moitié.",20,0,0,
10,0,0,SubdueNotDone,"C'est ennuyeux, tu aurais|dû rester dehors.",J'approuve ! Je me demandais pourquoi je suis venue.,20,1,0,
10,0,0,SubdueNotDone,Je comprends rien en|maths. Peux-tu m'aider ?,Moi ? Aider quelqu'un en maths ? Elle est bien bonne.,20,0,-1,
20,0,0,SubdueNotDone,On devrait sortir.,Sortir ? Mais je viens juste d'arriver.|Je ne veux pas plus d'ennuis avec Madame Mildred.,30,0,0,
20,0,0,SubdueNotDone,"Comment tuer le temps ?",Je pense aux évenements d'hier soir. (Elle rit.)|Madame Mildred est plutôt ennuyante n'est-ce pas ?,30,0,0,
20,0,0,SubdueNotDone,Est-ce que tu t'ennuies|autant que moi ?,"Totalement, Madame Mildred est une bonne|prof, mais elle est plutôt ennuyante.",30,1,0,
20,0,0,SubdueNotDone,"La prof n'a pas|l'air de t'aimer.",Je sais ! Pas besoin de me le rappeler.|Madame Mildred est rude avec moi.,30,-1,0,
30,0,0,SubdueNotDone,Tu veux te venger ?,Me venger ? De Madame Mildred ?|Qu'as-tu en tête ?,40,0,0,
30,0,0,SubdueNotDone,"Silence, j'ai un plan.",(elle se tait et écoute.),40,0,1,
40,0,0,SubdueNotDone,Nous devrions|kidnapper Mildred.,La kidnapper ? comme l'attacher et la bâilloner ?|C'est une idée démente !,50,1,0,
40,0,0,SubdueNotDone,Tu m'aideras à|soumettre la prof.,Oh mon... Soumettre Madame Mildred ?,50,0,1,
50,2,0,SubdueNotDone,"Alors tu aideras|une amie ?","(Elle rit et te fait un clin d'oeil.) Mon amie de toujours.|Oui, je t'aiderai, mais tu commences le kidnapping.",60,0,0,AgreeHelp()
50,0,2,SubdueNotDone,Fait le ! Ça sera épique.,D'accord ! Je t'aiderai.|Mais tu commences le kidnapping.,60,0,0,AgreeHelp()
50,0,0,SubdueNotDone,M'aideras-tu ?,"Ça a l'air amusant, mais je vais m'attirer|encore plus de problèmes.",50,0,0,
50,0,0,SubdueNotDone,Laisse-moi y|réfléchir un peu.,"(Elle hoche la tête.) Bien sûr, je vais y réfléchir aussi.",50,0,0,
0,0,0,SubdueSuccess,Le cours n'est-il pas|mieux maintenant ?,"Mieux ? C'est le meilleur cours de maths de tous|les temps. Je m'appelle Sarah, ravie de te rencontrer.",10,1,0,
0,0,0,SubdueSuccess,"La prof, tu la|trouves comment ?","Elle est charmante en sous-vêtements. (Elle sourit.)|Je m'appelle Sarah, ravie de te rencontrer.",10,1,0,
0,0,0,SubdueSuccess,Elle a eu ce|qu'elle méritait.,"Elle méritait ça ? Peut-être.|Je m'appelle Sarah, ravie de te rencontrer.",10,0,0,
10,0,0,SubdueSuccess,(Tu te détends et|contemples ton oeuvre),(Elle contemple aussi Mildred.)|C'est une jolie vue.,20,0,0,
10,0,0,SubdueSuccess,Je suis la chef|de la classe à présent.,C'est vrai. Nous avons une nouvelle enseignante.,20,0,1,
10,0,0,SubdueSuccess,Tu dois payer pour|assister au spectacle.,Je... Je ne te donnerai pas d'argent.,20,-1,0,
10,0,0,SubdueSuccess,Tu penses qu'on|est allé trop loin ?,Trop loin ou pas assez ?|Ne soit pas si craintive.,20,0,-1,
20,0,0,SubdueSuccess,"Bon, qui sera|la prochaine ?",Peggy ! Je veux dire Sidney.|Elle devrait être la prochaine.,30,0,0,
20,0,0,SubdueSuccess,Tu aimerais être|ligoté comme elle ?,Ici ? Maintenant ?|Peut-être. (Elle rougit.),30,0,1,
