Tag,Content
StealKeys,Yonk!  (She steals your cuffs key and laughs.)
BallGagWilling,(She takes a deep breath and|opens her mouth for the big gag.)
BallGagReluctant,(She shuts her mouth to stop you but|you're able to push it and buckle it.)
BallGagRefuse,She pushes you back and refuses to be gagged.|(You need 2 submission or more to gag Sidney.)
CuffsReplaceRope,(You undo the ropes so she can get|dressed but you cuff her right after.)
CuffsWilling,"(She bows her head, sits down and put|her arms behind her back to be cuffed.)"
CuffsReluctant,(She pushes you but you're able|to pin her down to cuff her.)
CuffsRefuse,She pushes you back and refuses to be cuffed.|(You need 2 submission or more to cuff Sidney.)
CuffsUnlock,(You unlock her cuffs|and she seems grateful.)
RopeReplaceCuffs,"(You unlock the cuff, she strips,|and you do a full rope harness on her.)"
RopeWilling,"(She bows her head and strip, you|do a rope harness while she shivers.)"
RopeReluctant,(You fight with her to remove her clothes|then do a rope harness while she resists.)
RopeRefuse,She pushes you back and refuses to be tied.|(You need 2 submission or more to tie up Sidney.)
CropGagged,(You hit Sidney a few times with your crop.|She grumbles and gives you an angry look.)
Crop,(You hit Sidney a few times with your crop.)|Fuck you!  That's the best you can do?
