Tag,Content
StealKeys,Yonk ! (Elle vole la clé des menottes et rit.)
BallGagWilling,(Elle respire profondément et|ouvre la bouche pour mettre le bâillon.)
BallGagReluctant,(Elle ferme sa bouche pour t'arrêter mais|tu réussis quand même à lui mettre le bâillon.)
BallGagRefuse,"Elle recule et refuse d'être bâillonnée.|(""+2"" en soumission ou plus pour la bâillonner.)"
CuffsReplaceRope,(Tu défais les cordes jusqu'à ce qu'elle puisse|se rhabiller puis tu la menottes juste après.)
CuffsWilling,"(Elle baisse la tête, s'assoie et met|ses bras derrière son dos pour être menottée.)"
CuffsReluctant,(Elle te repousse mais tu es capable|de l'attacher avec les menottes.)
CuffsRefuse,"Elle recule et refuse d'être menottée.|(""+2"" en soumission ou plus pour la menotter.)"
CuffsUnlock,(Tu enlèves ses menottes|et elle semble reconnaissante.)
RopeReplaceCuffs,"(Tu lui libères le poignet, elle se déshabille,|et tu fais un harnais solide avec la corde.)"
RopeWilling,"(Elle baisse la tête et se déshabille, tu fais un harnais|solide avec la corde pendant qu'elle frisonne.)"
RopeReluctant,"(Tu luttes pour lui retirer ses vêtements et tu lui fais|un harnais solide avec la corde pendant qu'elle résiste.)"
RopeRefuse,"Elle recule et refuse d'être ligotée.|(""+2"" en soumission ou plus pour la ligoter.)"
CropGagged,(Tu lui donnes quelques coups avec la cravache.|Elle grogne et te regarde avec colère.)
Crop,(Tu lui donnes quelques coups avec la cravache.)|Va te faire foutre ! C'est le mieux que tu puisses faire ?
