Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,You sure know how to cause trouble with ropes.|What do you want now? (She stares at you.),SidneyFace.jpg
0,-1,0,,You idiot!  Look at the trouble you caused with ropes.|What the fuck do you want? (She stares at you.),SidneyFace.jpg
0,1,0,,Ha!  This bondage in class was pretty|daring.  So what do you want now?,SidneyFace.jpg
0,0,0,FightDefeat,It was so easy to crush you.|So what do you want now?,SidneyFace.jpg
0,0,0,FightVictory,You know you were fucking lucky to|beat me.  What do you want now?,SidneyFace.jpg
0,0,0,Common_PlayerGagged,Ha!  You got yourself cuffed and|gagged.  You're such a troublemaker.,SidneyFace.jpg
10,0,0,,Stop starring at these stupid cuffs.,SidneyCuffs.jpg
10,0,0,Common_PlayerGagged,Ha!  You got yourself cuffed and|gagged.  You're such a troublemaker.,SidneyFace.jpg
20,0,0,,"Detention again, this is so boring!",SidneyFace.jpg
20,0,0,Common_PlayerGagged,Ha!  You got yourself cuffed and|gagged.  You're such a troublemaker.,SidneyFace.jpg
30,0,0,,What do you want now?,SidneyFace.jpg
30,0,0,Common_PlayerGagged,Ha!  You got yourself cuffed and|gagged.  You're such a troublemaker.,SidneyFace.jpg
40,0,0,,(She ignores you and tries to get out of her cuffs.),SidneyCuffs.jpg
40,1,0,,There's not much to do.|Let's wait until nine o'clock I guess.,SidneyFace.jpg
40,0,0,Common_PlayerRestrained,I can't believe you also got yourself|in cuffs.  You're such a troublemaker.,SidneyFace.jpg
40,0,0,Common_PlayerGagged,Ha!  You got yourself cuffed and|gagged.  You're such a troublemaker.,SidneyFace.jpg
100,0,0,,This is fucking unbelievable.|I saw what you did!,SidneyFace.jpg
110,0,0,,"(She looks at the teacher, and|then looks at you and winks.)",SidneyFace.jpg
150,0,0,,Why the fuck did you wake her up?,SidneyFace.jpg
160,0,0,,You had a good plan and you ruined it.,SidneyFace.jpg
200,0,0,,This is huge!  You fucking drugged the teacher.,SidneyFace.jpg
200,2,0,,This is huge!  You fucking drugged the teacher.|Can we be friends?  I love it.,SidneyFace.jpg
200,0,2,,"This is huge!  You fucking drugged the teacher.|Please teach me, I want to learn from you.",SidneyFace.jpg
210,0,0,,What do you want?|Can you help me out?,SidneyFace.jpg
210,0,0,EggInside,That fucking egg is driving me nuts!|Remove it or I'll kick your butt.,SidneyFace.jpg
220,0,0,,You're such a fucking pervert.,SidneyStrip.jpg
220,0,0,EggInside,That fucking egg is driving me nuts!|Remove it or I'll kick your butt.,SidneyStrip.jpg
300,0,0,,(Sidney is gone.),SidneyGone.jpg
