Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,Toi tu sais en créer des emmerdes.|Qu'est-ce que tu veux ? (Elle te fixe.),SidneyFace.jpg
0,-1,0,,Abrutie ! Regarde les emmerdes que tu nous as créé.|Qu'est-ce que tu me veux ! (Elle te fixe.),SidneyFace.jpg
0,1,0,,Ah ! Ce bondage en classe était assez audacieux.|Alors ? Qu'est-ce que tu veux ?,SidneyFace.jpg
0,0,0,FightDefeat,C'était si facile de t'écraser.|Alors ? Qu'est-ce que tu veux ?,SidneyFace.jpg
0,0,0,FightVictory,"Bordel, tu as juste eu de la chance.|Qu'est-ce que tu veux ?",SidneyFace.jpg
0,0,0,Common_PlayerGagged,Ah ! Tu t'es fait menotter et baîlloner.|Quelle délinquante !,SidneyFace.jpg
10,0,0,,Arrête de fixer ces stupides menottes.,SidneyCuffs.jpg
10,0,0,Common_PlayerGagged,Ah ! Tu t'es fait menotter et baîlloner.|Quelle délinquante !,SidneyFace.jpg
20,0,0,,"La retenue... Encore..., qu'est-ce que je m'ennuie !",SidneyFace.jpg
20,0,0,Common_PlayerGagged,Ah ! Tu t'es fait menotter et baîlloner.|Quelle délinquante !,SidneyFace.jpg
30,0,0,,Qu'est-ce que tu veux maintenant ?,SidneyFace.jpg
30,0,0,Common_PlayerGagged,Ah ! Tu t'es fait menotter et baîlloner.|Quelle délinquante !,SidneyFace.jpg
40,0,0,,(Elle t'ignore et essaye d'enlever ses menottes.),SidneyCuffs.jpg
40,1,0,,"Il n'y a rien qu'on puise faire de plus, je suppose.|Attendons jusqu'à neuf heure.",SidneyFace.jpg
40,0,0,Common_PlayerRestrained,J'y crois pas, tu as fini par te faire menotter.|Quelle délinquante !,SidneyFace.jpg
40,0,0,Common_PlayerGagged,Ah ! Tu t'es fait menotter et baîlloner.|Quelle délinquante !,SidneyFace.jpg
100,0,0,,C'est tout bonnement incroyable.|J'ai vu ce que tu as fait !,SidneyFace.jpg
110,0,0,,"(Elle regarde la professeur, et|elle te regarde en te faisant un clin d'oeil.)",SidneyFace.jpg
150,0,0,,Mais qu'est-ce qui t'a pris de la réveiller ?,SidneyFace.jpg
160,0,0,,Tu avais un super plan et tu l'a ruiner.,SidneyFace.jpg
200,0,0,,C'est tellement énorme ! Tu as drogué la prof.,SidneyFace.jpg
200,2,0,,C'est tellement énorme ! Tu as drogué la prof.|On peut être amies ? J'adore ça.,SidneyFace.jpg
200,0,2,,"C'est tellement énorme ! Tu as drogué la prof.|S'il te plaît, enseigne-moi, Je veux apprendre de toi.",SidneyFace.jpg
210,0,0,,Qu'est-ce que tu veux ?|Tu peux m'aider à me libérer ?,SidneyFace.jpg
210,0,0,EggInside,Ce putain d'oeuf me rend folle !|Enlève-le ou je te botte le cul.,SidneyFace.jpg
220,0,0,,Tu es une putain de perverse.,SidneyStrip.jpg
220,0,0,EggInside,Ce putain d'oeuf me rend folle !|Enlève-le ou je te botte le cul.,SidneyStrip.jpg
300,0,0,,(Sidney est partie.),SidneyGone.jpg
