Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,I guess you go to|detention pretty often?,Often?  They will name this office after me.,10,0,0,
0,0,0,,You will be sorry If you|get me in trouble again.,Fuck!  You're the one that got us in here.,10,-1,1,
0,0,0,,We better stop now|before we get expelled.,What a lame attitude.  You only live once.,10,0,-1,
0,0,0,,Detention for my very first|class.  Pretty cool isn't it?,That's pretty impressive I must say.,10,1,0,
10,0,0,,So why are|you handcuffed?,Cause I fled from detention last time.|These assholes want to make sure I stay.,20,0,0,
10,0,0,,Why didn't they|handcuff me also?,Ha!  You really want my cuffs?|Try to escape like me and they will cuff you.,20,0,-1,
10,0,0,,You look submissive|in these cuffs.,(She blushes) No way!  Don't try to|escape from detention or they will cuff you also.,20,0,1,
10,0,0,,A troublemaker like you|should always be cuffed.,I will kick your butt once I get out.|And I bet you will also get cuffed soon anyway.,20,-1,0,
20,0,0,,At least I'm happy to|be stuck here with you.,"Yeah, I guess it could be worst.",30,1,0,
20,0,0,,So how do we|kill time here?,"I don't know, watch the clock tick.",30,0,0,
20,0,0,,So how do we|get out of here?,You want to escape?  Find the|keys to these cuffs and I'll help you.,30,0,0,
30,0,0,,There's not much|we can do.,"Correct, now stop bugging me.|(She tugs on her cuffs to get out.)",40,0,0,
30,0,0,,I'll think of a plan.|Stay quiet for now.,"(She nods, stays silent|and checks on her cuffs.)",40,0,1,
30,0,0,,This is hopeless.|We have to wait.,You're hopeless.|(She ignores you and tugs on her cuffs.),40,0,-1,
100,0,0,,Yep!  Now let's wait|and see the results.,Oh yeah!  This is great!|I bet it will start to work soon.,110,1,0,
100,0,0,,Now you know not|to mess with me.,Fuck yeah.  Now I wonder|how long it will take to work.,110,0,1,
100,0,0,,Don't say a|word about it.,"Don't worry, I won't.|I can't wait for the effect to start.",110,0,0,
150,0,0,,This was going|way too far.,There's no bigger idiot than you in this school!|You had a great plan and your ruined it.,160,-1,-1,
150,0,0,,Don't worry.  We'll|get her again.,Again?  You had her a few minutes ago!|You had a great plan and your ruined it.,160,-1,0,
150,0,0,,Shut up!  I know|I messed up.,Fuck yeah!  You messed up big time!|You had a great plan and your ruined it.,160,-1,1,
200,0,0,,Yes!  Now we|can have some fun.,(She looks at you nervously.)|What do you have in mind?,210,0,0,
200,0,0,,So do you want|to get out?,Fuck yes!  Do you have|the keys to these cuffs?,210,1,-1,
200,0,0,,Now you're all|mine bitch.,What the fuck are you talking about?|(She looks at you nervously.),210,-1,1,
210,0,0,Common_PlayerNotRestrained,(Strip her.)|(1 minute),Wo wait!  What are you doing?|(You force her to strip.),220,0,0,Strip()
210,1,0,,(Kiss her.)|(1 minute),(You kiss her and she remains speechless.),210,0,0,Kiss()
220,0,0,Common_PlayerNotRestrained,(Dress her back.)|(1 minute),Is there any logic in what you're doing?,210,0,0,Dress()
220,1,0,,(Kiss her.)|(1 minute),(You kiss her and she remains speechless.),220,0,0,Kiss()
220,0,0,Common_PlayerNotRestrained,(Tickle her.)|(1 minute),Fuck you and your tickling fetish!|(She doesn't seem to laugh or have fun.),220,0,0,Tickle()
220,0,0,EggReady,(Insert the egg.)|(1 minute),(You push the egg in her vagina.  It buzzes and|goes deeper.)  Fuck!  Why did you do that?,220,-1,1,Insert()
220,0,0,EggInside,(Remove the egg.)|(1 minute),(You slide a finger in but cannot reach the egg.)|You can't reach it!  You're such an idiot!,220,0,0,
