Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Yes Ma'am.|I'm sorry.,Fine.  Now will you be a good student?,10,1,-1,
0,0,0,,"I know, I know.|No need to repeat.","Miss, you have an attitude problem.|Will you try to be a good student?",10,-1,0,
0,0,0,,It's all Sidney's fault.,It's also your fault miss.|Now will you try to be a good student?,10,0,0,
0,0,0,Fighting,I simply stood my|ground against Sidney.,There are no acceptable reasons to fight.|Now will you be a good student?,10,0,0,
0,0,0,Bondage,Admit it!  You thought|it was pretty sexy.,"Young lady, this is not appropriate.|Now will you be a good student?",10,0,1,
10,0,0,,"Yes, I won't cause|any more trouble.",Very well.  Now can you|sit quietly until detention is over?,20,0,0,
10,0,0,,"If Sidney can|stay calm, I will.","Mmmh, alright.  Now can you|sit quietly until detention is over?",20,0,0,
10,0,0,,A good student?  Show|me a good teacher first.,You really need some discipline miss.  Can you|at least sit quietly until detention is over?,20,-1,0,
10,0,0,,I'll be good.  Only|because you're nice.,Very well.  Now can you|sit quietly until detention is over?,20,1,0,
20,0,0,,Quiet for an hour?|That's impossible.,"At least try, it will go fast.  I have a few|calls to make, at least stay quiet when I do.",40,0,1,
20,0,0,,"Yeah, I guess|I can stay quiet.",Alright.  I have a few phone|calls to make so be silent.,40,0,0,
20,0,0,,I'll talk if and|when I want.,"We have ways to shut you up.  I have a|few calls to make, at least stay quiet when I do.",40,-1,1,
20,0,0,,Yes Ma'am.|I'll be quiet.,Very well.  I have a few phone|calls to make so please be silent.,40,1,-1,
30,0,0,,It's none of|your business.,"Young lady, you will give me that right now.|(She grabs your items and confiscates them.)",40,-1,0,Confiscate()
30,0,0,,I found this|on the floor.,"Thanks young lady, that's nice of you.|(She smiles and confiscates your items.)",40,1,0,Confiscate()
30,0,0,,It's nothing.|(Hide the item),"Mmh, alright.  I thought I saw something.|Now stay quiet, I have some calls to make.",40,0,0,
50,0,0,Common_PlayerNotRestrained,(Try to annoy her.)|(1 minute),Young lady.  You better stop right|now or I'll have to restrain you.,50,-1,0,Annoyed()
