Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Oui M'dame.|Je suis désolée.,Bien. dorénavant tu seras une bonne étudiante ?,10,1,-1,
0,0,0,,"Je sais, je sais.|Pas besoin de le répèter.","Mademoiselle, vous avez un mauvais comportement.|Allez-vous essayer d'être une bonne étudiante ?",10,-1,0,
0,0,0,,Toute la faute|revient à sidney.,C'est aussi de votre faute mademoiselle.|Allez-vous essayer d'être une bonne étudiante ?,10,0,0,
0,0,0,Fighting,Je me suis simplement|opposé à Sidney.,"Il n'y a aucune excuse valable pour se battre.|Dorénavant, seras-tu une bonne étudiante ?",10,0,0,
0,0,0,Bondage,Admettez-le ! Vous pensiez|que c'était plutôt sexy.,"Jeune fille, ce n'est pas convenable.|Dorénavant, seras-tu une bonne étudiante ?",10,0,1,
10,0,0,,"Oui, je ne causerai|plus aucun problème.",Très bien. Peux-tu te tenir tranquille|jusqu'à la fin de la retenue ?,20,0,0,
10,0,0,,"Si Sidney peux rester|tranquille, je le ferai.","Mmm, bien. Peux-tu te tenir tranquille|jusqu'à la fin de la retenue ?",20,0,0,
10,0,0,,Montrez-moi une|bonne prof avant.,Tu as vraiment besoin de plus de discipline.|Peux-tu te tenir tranquille jusqu'à la fin de la retenue ?,20,-1,0,
10,0,0,,Oui mais seulement parce|que vous êtes aimable.,Très bien. Peux-tu te tenir tranquille|jusqu'à la fin de la retenue ?,20,1,0,
20,0,0,,Rester tranquille une|heure ? C'est impossible.,"Au moins essaye, ça passera vite. J'ai quelques coups|de fil à passer, reste tranquille durant ces moments-là.",40,0,1,
20,0,0,,"Ouais, je suppose.|Je peux rester tranquille.",Bien. J'ai quelques coups de fil à passer.|Reste silencieuse.,40,0,0,
20,0,0,,Je parlerai quand|je le voudrais.,"Nous avons les moyens de te faire taire.|J'ai quelques coups de fil à passer, reste tranquille.",40,-1,1,
20,0,0,,Oui M'dame.|Je serais sage.,Très bien. J'ai quelques coups de fil à passer.|Reste silencieuse s'il te plaît.,40,1,-1,
30,0,0,,Ce n'est pas|vos affaires.,"Jeune fille, donne moi ça tout de suite.|(Elle saisit tes objets et les confisque.)",40,-1,0,Confiscate()
30,0,0,,J'ai trouvé ceci|dans le couloir.,"Merci jeune fille, c'est bien aimable de ta part.|(Elle sourit et confisque tes objets.)",40,1,0,Confiscate()
30,0,0,,Ce n'est rien.|(Tu caches l'objet),"Mmm, bien. Je pensais avoir vu quelque chose.|Reste tranquille, j'ai quelques coups de fil à passer.",40,0,0,
50,0,0,Common_PlayerNotRestrained,(Tu essayes de la|déranger.) (1 minute),Jeune fille. Tu ferais mieux d'arrêter tout de suite|ou je devrais te menotter.,50,-1,0,Annoyed()
60,0,0,Common_PlayerRestrained,C'est quoi ce bordel ! Vous|pouvez pas me menotter.,Je peux même faire mieux. (Elle s'en va et revient|avec un morceau de ruban adhésif pour ta bouche.),60,0,0,GagPlayer()
70,0,0,Common_PlayerGagged,@Uhmma huhme !,(Elle t'ignore.),70,0,0,
70,0,0,Common_PlayerGagged,(Tu lui fais les yeux doux.),(Elle t'ignore.),70,0,0,
100,0,0,Common_PlayerRestrained,(Tu recherches la clé.)|(1 minute),Yuki ne semble pas avoir la clé.,100,0,0,SearchCuffKeys()
100,0,0,Common_PlayerNotRestrained,(Tu la déshabilles.)|(1 minute),Tu la déshabilles prudemment pour ne pas la réveiller.,110,0,0,
100,0,0,Common_PlayerNotRestrained,(Tu t'échappes de|la salle de retenue.),,100,0,0,Escape()
100,0,0,,(Tu la réveilles.)|(1 minute),(Tu la secoue jusqu'à ce qu'elle se réveille.)|Hein ? Quoi ? Qu'est-ce qui s'est passé ?,200,0,0,NoLeave()
110,0,0,Common_PlayerNotRestrained,(Tu la rhabilles.)|(1 minute),Tu la rhabilles prudemment pour ne pas la réveiller.,100,0,0,
