Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,"Oui, c'est mon|premier jour.","J'espère que tu te plaira ici, on a une bonne salle de|gym. Je m'appelle Jennifer, heureuse de te rencontrer.",10,0,0,
0,0,0,,Ouais ! Nouveau départ !| Nouvelle université !,"J'aime ton état d'esprit, tu sauras te débrouiller ici.|Je m'appelle Jennifer, heureuse de te rencontrer.",10,1,0,
0,0,0,,"Mon ancienne école et|mes amis me manquent.","Allez. Tu te feras de meilleures amies ici !|Je m'appelle Jennifer, ravie de te rencontrer.",10,0,-1,
10,0,0,,Alors comme ça|tu es artiste ?,"Moi ? C'est la meilleure.|Non, je suis bien meilleure en sport.",20,0,0,
10,0,0,,Tu peux m'aider|à peindre ?,"T'aider ? Oh, tu t'en sortiras bien mieux que moi. Je ne|suis pas une artiste, je suis bien meilleure en sport.",20,0,-1,
10,0,0,,Tu ne ressembles pas à|une artiste-peintre.,"C'est on ne peut plus vrai, je suis très loin|d'être une artiste. Je suis bien meilleure en sport.",20,0,1,
10,0,0,,Ce cours est|sans intérêt.,"Tu es très négative. Le cours de gymnastique|serait plus amusant, Je suis meilleure en sport.",20,-1,0,
20,0,0,,En sport ? Notre grosse|prof ne connaît pas ce mot.,"Chut ! Elle est plus forte qu'elle n'en a l'air.|Julia est une artiste, pas une athlète.",30,-1,0,
20,0,0,,Tu es trop maigre|pour faire du sport.,"Ne me juge pas, j'ai une bonne condition physique.",30,-1,1,
20,0,0,,J'ai hâte d'être|en cours de gym !,(Elle lève son pouce.),30,1,0,
20,0,0,,Je suppose que ce sera|relaxant de peindre.,Bien sûr. Et Sarah semble bien s'amuser.,30,0,0,
30,0,0,,Peut-on rendre ce cours|plus intéressant ?,Plus intéressant ?|Qu'est-ce que tu as en tête ?,40,0,0,
30,0,0,,C'est si ennuyeux.|(Bâillement.),Courage ! Ce n'est pas aussi mauvais que tu le penses.,40,-1,0,
30,0,0,,Ça pourrait être|plus amusant !,Plus amusant ? Je suis curieuse.|Où veux-tu en venir ?,40,1,0,
40,0,0,,Notre professeur devrait|dévoiler ses formes.,Ses formes ? (Elle rit.)|Tu veux dire qu'elle devrait enlever sa robe ?,50,1,0,
40,0,0,,Ce serait mieux si|Julia enlevait sa robe.,Un portrait sexy ? Je ne sais pas trop.,50,0,0,
40,0,0,,Donne-moi une astuce|pour retirer sa robe.,Oh ! C'est assez sournois.|Tu crois qu'on peut faire ça ?,50,0,1,
50,2,0,,"Mon amie, aide-moi |à la convaincre.","Hmm... Elle adore les peintres italiens. Parle-lui de|""La Naissance de Vénus"" de Sandro Botticelli.",60,0,0,SandroComment()
50,0,2,,Tu vas m'aider|à la convaincre !,"Hmm... Elle adore les peintres italiens. Parle-lui de|""La Naissance de Vénus"" de Sandro Botticelli.",60,0,0,SandroComment()
50,0,0,,Peux-tu la convaincre|de se déshabiller ?,"Moi ? Oh non, je ne le ferai pas.",50,0,0,
60,0,0,JuliaStrip,Le cours n'est-il pas|meilleur maintenant ?,"Ce sera mémorable, c'est sûr.|Je ne savais pas que Julia était si audacieuse.",70,0,0,
60,0,0,JuliaStrip,On forme une|bonne équipe !,(Vous vous tapez dans les mains.) Au travail d'équipe !|Je ne savais pas que Julia était si audacieuse.,70,1,0,
60,0,0,JuliaStrip,Sa poitrine|est monstrueuse.,"Ne sois pas trop dure avec elle, perdre du poids|n'est pas facile. Et c'est très osée de sa part.",70,-1,0,
80,0,0,CanBegForRelease,"S'il te plaît Jennifer,|peux-tu m'aider ?",,80,0,0,BegForRelease()
80,0,0,Common_PlayerGagged,@Eehmmo ehm ehher !,"Je suis désolée, je ne peux pas te comprendre.",80,0,0,
