Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,"OooOOOoh!  A new pupil!  I am the art|teacher Giuliana, but you can call me Julia.",JuliaWantsHug.jpg
10,0,0,,,JuliaWantsHug.jpg
20,0,0,,,JuliaHug.jpg
30,0,0,,,Julia.jpg
40,0,0,,,Julia.jpg
50,0,0,,,Julia.jpg
60,0,0,,How's the painting going new pupil?|Will you do a masterwork like Raphael?,JuliaPose.jpg
70,0,0,,So you know about the great|master Sandro Botticelli work?,Julia.jpg
80,0,0,,Have you seen The Birth of Venus?,Julia.jpg
100,0,0,,,JuliaNoTop.jpg
110,0,0,,Do I look like the beautiful Venus?,JuliaNoTop.jpg
120,0,0,,Am I not the magnifico Venus?,JuliaNoTop.jpg
130,0,0,,,JuliaNude.jpg
140,0,0,,The Birth of Venus!  Isn't art wonderful?|Are you thrilled now new pupil?,JuliaNude.jpg
150,0,0,,So who should model with me?,JuliaNude.jpg
150,0,0,IsGagged,(She looks around for a new model.),JuliaNude.jpg
160,0,0,,,JuliaNude.jpg
170,0,0,,Keep the pose!  Let's make art!,JuliaNude.jpg
170,0,0,EggInside,OooOOOoh!  What's going on here?|(She seems to be having spasms from the egg.),JuliaNude.jpg
170,0,0,Common_PlayerRestrained,"Venus and Shibari, what a package!",JuliaNude.jpg
170,0,0,IsGagged,Munm gnu!  (She can't be understood.),JuliaNude.jpg
180,0,0,,Keep the pose!  Let's make art!,JuliaNude.jpg
180,0,0,EggInside,OooOOOoh!  What's going on here?|(She seems to be having spasms from the egg.),JuliaNude.jpg
180,0,0,IsGagged,Munm gnu!  (She can't be understood.),JuliaNude.jpg
