Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Ravie de vous|rencontrer Julia.,Oui ! C'est ça ! Maintenant viens me faire un gros câlin.,10,1,0,
0,0,0,,Heureuse de vous|rencontrer Mme Giuliana.,"Non, non, non, non, appelle-moi Julia.|Maintenant viens me faire un gros câlin.",10,0,-1,
0,0,0,,L'art plastique ? Oh là là.|(Tu lèves les yeux au ciel.),"L'art est en feu ! Et j'en suis la flame.|Maintenant viens me faire un gros câlin.",10,-1,1,
0,0,0,,(Tu regardes ailleurs.),"Regarde par ici, rapproche-toi.|Et viens me faire un gros câlin.",10,-1,0,
10,0,0,,"Un câlin ? Bien sûr,|pourquoi pas.","""Si"" ! (Elle te serre fort et ta tête est|quasi compressée entre ses seins.)",20,0,0,Hug()
10,0,0,,Bien sûr !|(Tu ouvres les bras.),"""Si"" ! (Elle te serre très fort et|ta tête est compressée entre ses seins.)",20,1,0,Hug()
10,0,0,,"Non, merci.","D'accord, pas de câlin pour toi.|Mais j'espère que tu es prête à peindre.",30,0,0,
10,0,0,,Vous faire un câlin ?|Oubliez ça.,"Et bien, tu as la flamme et la rage.|Ce cours de peinture est fait pour toi !",30,-1,0,
20,0,0,,C'est un accueil|chaleureux.,"""Si"" ! (Elle te libère.)|J'espère que tu es prête à peindre.",30,0,0,
20,0,0,,(Tu enfonces ton visage|dans sa poitrine.),"Non, non, non, non, ne fais pas ça.|Prépares-toi plutôt à peindre.",30,-1,1,
20,0,0,,Je ne peux pas respirer !,(Elle te libère.) Je suis terriblement désolé ma petite.|J'espère que tu es prête à peindre.,30,0,-1,
30,0,0,,"Mmm, ok.","Tu auras besoin de plus de feu sacré que ça !|Parce que tu vas me peindre comme ""Da Vinci"" !",40,0,0,
30,0,0,,Peindre ? Ça va|être un désastre.,"Le seul désastre est le manque de confiance en soi.|Aujourd'hui tu vas me peindre comme ""Da Vinci"".",40,-1,0,
30,0,0,,D'accord ! J'adore|la peinture.,"Fabuleux ! Et aujourd'hui est un jour spécial.|Tu vas me peindre comme ""Da Vinci"".",40,1,0,
