Tag,Content
NoBondage,What are you doing new pupil?|Put this away and get your brush.
RopeJulia,"(You circle the rope around her curvy body,|making tight knots.)  Now this is art!"
RopePlayer,Si!  It's time to use these ropes.|(She grabs your arms and restrains you tightly.)
RopeStripPlayer,"Si!  It's time to tie you up. (She strips|you, grabs the ropes and restrains you tightly.)"
BallGag,(She shakes her head negatively but cannot|resist as you push the ballgag in her mouth.)
TapeGag,(She shakes her head negatively but cannot|do much as you apply tape on her mouth.)
Crop,(You whip her with the crop a few times.|She doesn't seem to be in too much pain.)
VibratingEggWarning,"(You might not be able to recover the egg if|you insert it in Julia, click on it again to do it.)"
VibratingEggInsert,"(You pull on the rope and slide the egg in|very easily, you're not even sure she noticed.)"
NewModelAgree,"I agree, a shy new pupil will be a great model.|(She grabs your arm and pulls you in front.)"
NewModelGagged,(She nods and the new model steps in.)
PlayerUndressGagged,(She nods and you remove your outfit.)
PlayerStripGagged,(She nods and you fully strip.)
FailUngag,(You try to ungag Julia but fail|miserably as the other students giggle.)
FailUntie,(You try to untie Julia but fail|miserably as the other students giggle.)
TightenGagged,(You tighten the knots while she struggles.)|MMNRGN NOG! (She seems to endure the pain.)
Tighten,(You tighten the knots while she struggles.)|Dio mio!  This is really tight new pupil.
FailTighten,(You try to tighten Julia's bondage|but fail as the other students giggle.)
Tickle,(You tickle her in front of the class.|She laughs loudly and seems to enjoy it.)
TickleRestrained,(You fumble a little but manage to tickle her.|She laughs loudly and seems to enjoy it.)
AskNewModelGagged,(She nods and looks around.)
PlayerUngag,Oh!  Why are you gagged poor new pupil?|(She releases you from the gag and smiles.)
PlayerStayGagged,Someone gagged you?  Cute!  Art is chaos!|(You need 3 love or more to be ungagged by her.)
JuliaRestrainedPlayerGagged,"(She tugs on her ropes, it seems|she won't be able to help you much.)"
GaggedSpeach,Eep ah hoze eew wuwii!
NoTimeToPaint,(There's not enough time left in|class to produce a work of art.)
CantPaintIfModel,(You cannot paint while you're modelling.)
