Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,Art is my favorite class.|How's your painting going?,Sarah.jpg
0,2,0,,Hey there friend!  Isn't art fun?|How's your painting going?,Sarah.jpg
0,0,2,,(She bows her head quickly.)|So how's your painting going?,Sarah.jpg
0,0,0,BondageDone,(She giggles.)  Will you tie me up again?|And how's your painting going?,Sarah.jpg
10,0,0,,Do you enjoy Julia's art class?,Sarah.jpg
20,0,0,,Julia isn't an easy model|to paint isn't she?,Sarah.jpg
30,0,0,,I don't know how you will|convince her to get naked.,Sarah.jpg
50,0,0,,Very nice!  You were able to get her|to remove her top.  Can you make her strip?,Sarah.jpg
100,0,0,,This is great!  You got her naked.,Sarah.jpg
100,0,0,IsModel,Do you like this pose?  (She giggles.)|All of this is pretty exciting!,Sarah.jpg
110,0,0,,You have an evil look in your eyes.|What are you thinking about?,Sarah.jpg
120,0,0,,So how will you convince|her to get tied up?,Sarah.jpg
130,0,0,,"This ""Shibari"" plan is the|best idea I've ever had.",Sarah.jpg
130,0,0,Common_PlayerRestrained,"You look cute like that, I love bondage.",Sarah.jpg
130,0,0,Common_PlayerGagged,Such a cute gag!  Can I have one?,Sarah.jpg
130,0,0,IsModel,"This ""Shibari"" plan is the best idea I've|ever had.  Maybe you can tie both of us.",SarahPose.jpg
140,0,0,,Do you like this pose?  (She giggles.)|All of this is pretty exciting!,SarahUnderwear.jpg
150,0,0,,(She hums a sexy song and|tries to take an alluring pose.),SarahNaked.jpg
160,0,0,,There's no way I could undo these ropes.|Not that I want to escape anyway.,SarahRope.jpg
160,0,0,EggInside,These ropes!  The egg!  This is almost perfect.|Can you also gag me please?  (She giggles.),SarahRope.jpg
170,0,0,,(She struggles playfully in the rope|and seems to also enjoy the gag.),SarahRopeBallGag.jpg
170,0,0,EggInside,(She sweats and moans randomly.|She seems to be fighting against the egg.),SarahRopeBallGag.jpg
180,0,0,,(She struggles playfully in the rope|and seems to also enjoy the gag.),SarahRopeTapeGag.jpg
180,0,0,EggInside,(She sweats and moans randomly.|She seems to be fighting against the egg.),SarahRopeTapeGag.jpg
200,0,0,,,SarahReadyOrgasmBallGag.jpg
210,0,0,,,SarahReadyOrgasmBallGag.jpg
220,0,0,,,SarahOrgasmBallGag.jpg
250,0,0,,,SarahReadyOrgasmTapeGag.jpg
260,0,0,,,SarahReadyOrgasmTapeGag.jpg
270,0,0,,,SarahOrgasmTapeGag.jpg
