Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,L'arts plastiques est mon cours préféré.|Comment tu t'en sors avec ton tableau ?,Sarah.jpg
0,2,0,,Salut toi ! L'art n'est-il pas amusant ?|Comment tu t'en sors avec ton tableau ?,Sarah.jpg
0,0,2,,"(Elle incline rapidement la tête.)|Alors, comment tu t'en sors avec ton tableau ?",Sarah.jpg
0,0,0,BondageDone,(Elle rit.) Vas-tu encore m'attacher ?|Comment tu t'en sors avec ton tableau ?,Sarah.jpg
10,0,0,,Tu aimes le cours d'arts plastiques de Julia ?,Sarah.jpg
20,0,0,,"Julia n'est pas un modèle facile|à peindre, n'est-ce pas ?",Sarah.jpg
30,0,0,,Je ne sais pas comment tu vas|la convaincre de se mettre nue.,Sarah.jpg
50,0,0,,Joli coup ! Tu as réussis réussi à lui faire enlever|son haut. Peux-tu lui faire enlever le reste ?,Sarah.jpg
100,0,0,,C'est génial ! Tu as réussis à la faire poser nue.,Sarah.jpg
100,0,0,IsModel,Tu aimes cette pose ? (Elle rit.)|Tout ceci est plutôt excitant !,Sarah.jpg
110,0,0,,Tu as un regard maléfique dans les yeux.|A quoi tu penses ?,Sarah.jpg
120,0,0,,Alors comment vas-tu la convaincre|de se faire ligoter ?,Sarah.jpg
130,0,0,,"Ce plan du ""Shibari"" est la meilleure idée|que j'aie jamais eue.",Sarah.jpg
130,0,0,Common_PlayerRestrained,"Tu es si mignonne comme ça, j'adore le bondage.",Sarah.jpg
130,0,0,Common_PlayerGagged,Quel joli bâillon ! Je peux en avoir un ?,Sarah.jpg
130,0,0,IsModel,"Ce plan du ""Shibari"" est la meilleure idée que j'aie|jamais eue. Tu pourrais nous attacher toutes les deux ?",SarahPose.jpg
140,0,0,,Tu aimes cette pose ? (Elle rit.)|Tout ceci est plutôt excitant !,SarahUnderwear.jpg
150,0,0,,(Elle fredonne une chanson sexy et|essaye de prendre une pose séduisante.),SarahNaked.jpg
160,0,0,,Aucun moyen de me défaire ces cordes.|Ce n'est pas comme si je le voulais de toute façon.,SarahRope.jpg
160,0,0,EggInside,"Ces cordes ! Puis l'oeuf ! C'est presque parfait.|Peux-tu aussi me bâillonner, s'il te plaît ? (Elle rit.)",SarahRope.jpg
170,0,0,,(Elle se débat gaiement avec la corde|et semble aussi apprécier le bâillon.),SarahRopeBallgag.jpg
170,0,0,EggInside,(Elle transpire et gémit aléatoirement.|Elle semble lutter contre l'oeuf.),SarahRopeBallgag.jpg
180,0,0,,(Elle se débat gaiement avec la corde|et semble aussi apprécier le bâillon.),SarahRopeTapeGag.jpg
180,0,0,EggInside,(Elle transpire et gémit aléatoirement.|Elle semble lutter contre l'oeuf.),SarahRopeTapeGag.jpg
200,0,0,,,SarahReadyOrgasmBallgag.jpg
210,0,0,,,SarahReadyOrgasmBallgag.jpg
220,0,0,,,SarahOrgasmBallgag.jpg
250,0,0,,,SarahReadyOrgasmTapeGag.jpg
260,0,0,,,SarahReadyOrgasmTapeGag.jpg
270,0,0,,,SarahOrgasmTapeGag.jpg
