Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Painting isn't my forte.,Oh!  I'm sure you can do it.|You don't like art and painting?,10,0,-1,
0,0,0,,I should be ok.,I'm sure you will be fine.|So do you like the art class and Julia?,10,0,0,
0,0,0,,I would rather|paint you.,(She blushes.)  So kind of you.|So you don't like our teacher?,10,1,0,
0,0,0,BondageDone,If you're a good girl|I'll tie you again today.,(She bows her head.)  Yes Miss.|So do you like the art class and Julia?,10,0,1,
10,0,0,,Julia is a big|model to paint.,Don't be too tough with her.  She's|kind of fat but she's a good teacher.,20,-1,0,
10,0,0,,There are too many|details on her dress.,That's the challenge!  She's|not an easy model to paint.,20,0,0,
10,0,0,,"Art is fine,|but Julia isn't.",Don't be too tough with her.  She's|getting older but she's a good teacher.,20,-1,0,
20,0,0,,Wouldn't it better|if she got naked?,I totally agree.  But|how will you convince her?,30,1,0,
20,0,0,,Admit it.  You would|enjoy it if she stripped.,(She giggles.)  That's true.|But how will you convince her to strip?,30,0,1,
20,0,0,,I'll never succeed unless|she removes that dress.,Remove her dress?  That's not a bad idea.|You'll need to convince her though.,30,0,-1,
30,0,0,,Help me convince her.,"I don't know how to convince her.|Maybe you can ask Jennifer, she's smart.",30,0,0,
100,0,0,,Do you think we|can raise the bar?,Raise the bar?  What do you want?,110,0,0,
100,0,0,,Should we spice|things up?,Spice!  Spice!  Spice!  What will you do?,110,1,0,
110,0,0,,We should|restrain Julia.,Restrain her?  That's devious.|How will you convince her?,120,0,0,
110,0,0,,Julia would be even|better in bondage.,"Yes, yes, yes and yes.  But|how will you convince her?",120,1,0,
110,0,0,,Let's get her fat|butt all tied up.,I wouldn't have said it this way but I like|the idea.  How will you convince her?,120,-1,1,
120,0,0,,We can convince|her using art.,"Oh!  There's something you could try.|Tell her of ""Shibari"", the Japanese rope bondage art.",130,0,0,ShibariComment()
120,0,0,,She loves art.|Can we use that?,"Yes!  Stay quiet.  I have the perfect plan.|Tell her of ""Shibari"", the Japanese rope bondage art.",130,0,-1,ShibariComment()
130,0,0,CanBeTied,"Sarah, can you|tie me up?","I prefer to be tied up, but maybe I can help.|(She takes your rope and restrains you pretty well.)",130,0,0,TiePlayer()
130,0,0,CanBeBallGagged,"Check in my stuff,|there's a ballgag.",Oh nice!  Open wide pretty model.|(She straps the ballgag in your mouth.),130,0,0,BallGagPlayer()
130,0,0,Common_PlayerRestrained,"Sarah, can you help me?",,130,0,0,BegForRelease()
