Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,La peinture n'est|pas mon point fort.,"Oh ! Je suis sûre que tu peux le faire.|Tu n'aimes ni l'art, ni la peinture ?",10,0,-1,
0,0,0,,Ça devrait aller.,Je suis sûre que ça ira.|Tu aimes le cours d'arts plastiques de Julia ?,10,0,0,
0,0,0,,Je préfèrerais|te peindre.,(Elle rougit.) C'est si gentil. Dois-je en conclure que|tu n'aimes pas notre professeur ?,10,1,0,
0,0,0,BondageDone,"Si tu es une gentille fille,|je t'attacherai à nouveau.",(Elle incline sa tête.) Oui Madame.|Vous aimez le cours d'arts plastiques de Julia ?,10,0,1,
10,0,0,,Julia est trop grosse|pour poser.,Ne sois pas trop dure avec elle.|Elle est un peu grosse mais c'est une bonne prof.,20,-1,0,
10,0,0,,Il y a beaucoup trop|de détails sur sa robe.,C'est ça le challenge !|Ce n'est pas un modèle facile à peindre.,20,0,0,
10,0,0,,"L'art ça va, mais|Julia pas vraiment.","Ne sois pas trop dure avec elle.|Elle est plus âgée, mais c'est une bonne prof.",20,-1,0,
20,0,0,,Ce ne serait pas mieux|si elle était nue ?,Je suis tout à fait d'accord.|Mais comment vas-tu la convaincre ?,30,1,0,
20,0,0,,Admets-le. tu apprécierais|si elle se déshabillait.,(Elle rit.) C'est vrai. Mais comment|vas-tu la convaincre de se déshabiller ?,30,0,1,
20,0,0,,Je n'y arriverai que si|elle enlève cette robe.,Enlever sa robe ? Ce n'est pas une mauvaise idée.|Cependant tu devras être très convaincante.,30,0,-1,
30,0,0,,Aide-moi à la convaincre.,"Je ne sais pas comment la convaincre.|Demande à Jennifer, elle est intelligente.",30,0,0,
100,0,0,,Tu penses qu'on peut|hausser le niveau ?,Hausser le niveau ? Qu'est-ce que tu veux faire ?,110,0,0,
100,0,0,,Devrions-nous pimenter|un peu les choses ?,Oh oui ! Pimentons les choses ! Que peux-t'on faire ?,110,1,0,
110,0,0,,On devrait|attacher Julia.,L'attacher ? C'est sournois.|Comment vas-tu la convaincre ?,120,0,0,
110,0,0,,Julia serait beaucoup|mieux avec du bondage.,"Oui, oui, oui et encore oui. Mais,|comment vas-tu la convaincre ?",120,1,0,
