Tag,Content
NoBondage,"This looks thrilling, but we need|Julia's approval to do anything kinky."
Rope,(She shivers and moans while you restrain|her body and arms.)  This is wonderful.
BondageBeforeGag,"(She giggles and pushes your hands away.)|No, no, no, you have to tie me up first."
BallGag,(She hungrily opens her mouth so you|can strap the ballgag around her head.)
TapeGag,(She happily shuts her mouth|so you can tape it easily.)
Crop,(You whip her with the crop a few|times.  She moans and seems to enjoy it.)
VibratingEggWarning,"(You might not be able to recover the egg if|you insert it in Sarah, click on it again to do it.)"
VibratingEggInsert,(Sarah sees the egg and nods happily.|You insert it and she starts to moan randomly.)
TightenGagged,(You tighten the knots while she moans|and seems to be getting lots of pleasure.)
Tighten,"(You tighten the knots while she moans.)|Mmmmhh, can we see each other after school?"
TightenFail,(You try to tighten Sarah's bondage|but fail as the other students giggle.)
PlayerRelease,Yes Miss.  Someone like you shouldn't be tied up.|(She releases you from your bondage.)
PlayerGag,Help you?  Yes!  I know what could help.|(She searches to find tape and shuts your mouth.)
NoTimeToPaint,(There's not enough time left in|class to produce a work of art.)
