Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,是你！那个粉红色的东西还在里面|而且还在疯狂震动着。怎么给它拿掉？,Jennifer.jpg
5,0,0,,嘿，你好啊！咱们两节课都在一起上。|你想跟我一起练习柔道吗？,Jennifer.jpg
5,-2,0,,（她叹了口气。）我的天。又是你。|我猜我们得一起练习柔道了。,Jennifer.jpg
5,2,0,,太好了！真是巧！|一起来练习柔道一定很有意思。,Jennifer.jpg
10,0,0,,你以前尝试过柔道吗？,Jennifer.jpg
20,0,0,,人们常说熟能生巧。|我们是接着练习还是来一把真的比试呢？,Jennifer.jpg
100,0,0,,你真是优秀的战士！现在你的防卫招式|目的是制服我。我可不会放水。,JenniferLosing.jpg
110,0,0,!Turnabout,你的下一个防卫招式要尝试|脱掉我的柔道服并且用绳子制服我。,JenniferLosing.jpg
110,0,0,Turnabout,我的天！你把局势扭转了。|那么尝试制服我吧，这可不是件容易的事。,JenniferLosing.jpg
200,0,0,,既然我赢了比试，那么我的下一个|防卫招式是制服你。,JenniferWinning.jpg
210,0,0,!Turnabout,为了完成我的防卫行动，我需要|脱掉你的衣服并用绳子绑住你。,JenniferWinning.jpg
210,0,0,Turnabout,这把局势公平地扭转了。|现在轮到我尝试制服你了。,JenniferWinning.jpg
400,0,0,!DefeatedHardMode,你干得不错但是下一次我会打得更好的。|你喜欢柔道和防卫练习吗？,JenniferDefeat.jpg
400,0,0,DefeatedHardMode,太棒了！你打得真好。|想达到你的水平我需要更多练习。,JenniferDefeat.jpg
400,0,0,DefeatedHardModePerfect,太令人惊讶了！你简直是个完美的战士！|拿出我包里的口球，为你的最后招式做准备。,JenniferDefeat.jpg
410,0,0,,你把我限制得很好。|我猜你已经明白防卫是怎么回事了。,JenniferDefeat.jpg
420,0,0,,(她小声嘀咕着并且看向你。|看起来她想让你放开她。),JenniferDefeatBallGag.jpg
430,0,0,,(她小声嘀咕着并且看向你。|看起来她想让你放开她。),JenniferDefeatTapeGag.jpg
450,0,0,,(她的脸红了，并试图看向别处。),JenniferDefeatClimax.jpg
460,0,0,,(她的脸红了，并试图看向别处。),JenniferDefeatClimaxBallGag.jpg
470,0,0,,(她的脸红了，并试图看向别处。),JenniferDefeatClimaxTapeGag.jpg
500,0,0,,真是个漂亮的小包裹！|柔道和防卫很棒不是吗？,JenniferVictory.jpg
510,0,0,,我希望你从比试中学到了几招.|现在你的挑战是尝试挣脱这些绳子。,JenniferVictory.jpg
520,0,0,,我希望你从比试中学到了几招.|现在你的挑战是尝试挣脱这些绳子。,JenniferVictoryBallGag.jpg
530,0,0,,我希望你从比试中学到了几招.|现在你的挑战是尝试挣脱这些绳子。,JenniferVictoryTapeGag.jpg
550,0,0,,你还好吗？你正在瑟瑟发抖。,JenniferVictoryClimax.jpg
560,0,0,,如果没事就点点头。你|正在瑟瑟发抖。,JenniferVictoryClimaxBallGag.jpg
570,0,0,,如果没事就点点头。你|正在瑟瑟发抖。,JenniferVictoryClimaxTapeGag.jpg
600,0,0,,在吃午饭之前再练习一把柔道？,Jennifer.jpg
