Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,Ah c'est toi ! Ce truc rose est toujours à l'intérieur|et il vibre à la folie. Comment l'enlever ?,Jennifer.jpg
5,0,0,,"Hé, par ici ! On a deux cours d'affilée ensemble, à|ce que je vois. Veux-tu t'entrainer au judo avec moi ?",Jennifer.jpg
5,-2,0,,(Elle soupire.) Oh mon Dieu. Encore toi.|Je suppose qu'on va pratiquer le judo ensemble.,Jennifer.jpg
5,2,0,,Chouette ! Quelle coïncidence.|Ça va être amusant de pratiquer le judo ensemble.,Jennifer.jpg
10,0,0,,Tu as déjà essayé le judo ?,Jennifer.jpg
20,0,0,,Il paraît que l'entrainement permet de se perfectionner.|On continue de s'entraîner ou on fait un vrai match ?,Jennifer.jpg
100,0,0,,Tu es une bonne combattante ! Le prochain mouvement|d'autodéfense visera à me maîtriser. Ce sera difficile.,JenniferLosing.jpg
110,0,0,!Turnabout,Le prochain mouvement d'autodéfense sera d'enlever|ma tenue de judo et de m'attacher avec des cordes.,JenniferLosing.jpg
110,0,0,Turnabout,"Oh mon Dieu ! Tu as réussis à renverser la situation.|Essaye de me maîtriser, ce sera difficile.",JenniferLosing.jpg
200,0,0,,"Puisque j'ai gagné le combat, mon prochain|mouvement d'autodéfense sera de te maîtriser.",JenniferWinning.jpg
210,0,0,!Turnabout,"Pour compléter mon autodéfense, je dois|enlever ta tenue et t'attacher avec des cordes.",JenniferWinning.jpg
210,0,0,Turnabout,"Faire volte-face est équitable, il paraît.|Maintenant, c'est à mon tour d'essayer de te maîtriser.",JenniferWinning.jpg
400,0,0,!DefeatedHardMode,Tu es plutôt douée mais je te battrai la prochaine fois.|Tu as aimé le judo et l'autodéfense ?,JenniferDefeat.jpg
400,0,0,DefeatedHardMode,C'était super ! Tu te bats très bien. J'aurai besoin de|beaucoup d'entraînement pour atteindre ton niveau.,JenniferDefeat.jpg
400,0,0,DefeatedHardModePerfect,C'était incroyable ! Tu es la combattante absolue.|Prends le bâillon dans mon sac pour le mouvement final,JenniferDefeat.jpg
410,0,0,,Tu m'as assez bien attaché.|Je suppose que tu connaissais déjà l'autodéfense.,JenniferDefeat.jpg
420,0,0,,(Elle gémit et te regarde.|Elle semble vouloir être libérée.),JenniferDefeatBallGag.jpg
430,0,0,,(Elle gémit et te regarde.|Elle semble vouloir être libérée.),JenniferDefeatTapeGag.jpg
450,0,0,,(Elle s'empourpre et essaie de détourner le regard.),JenniferDefeatClimax.jpg
460,0,0,,(Elle s'empourpre et essaie de détourner le regard.),JenniferDefeatClimaxBallGag.jpg
470,0,0,,(Elle s'empourpre et essaie de détourner le regard.),JenniferDefeatClimaxTapeGag.jpg
500,0,0,,"Un joli petit paquet !|Le judo et l'auto-défense, c'est pas génial ?",JenniferVictory.jpg
510,0,0,,J'espère que tu as appris des choses de notre match.|Maintenant ton défi est d'échapper à ces cordes.,JenniferVictory.jpg
520,0,0,,J'espère que tu as appris des choses de notre match.|Maintenant ton défi est d'échapper à ces cordes.,JenniferVictoryBallGag.jpg
530,0,0,,J'espère que tu as appris des choses de notre match.|Maintenant ton défi est d'échapper à ces cordes.,JenniferVictoryTapeGag.jpg
550,0,0,,Est-ce que ça va ?|Tu tremblais de manière inquiétante.,JenniferVictoryClimax.jpg
560,0,0,,Acquiesce si tout vas bien.|Tu tremblais de manière inquiétante.,JenniferVictoryClimaxBallGag.jpg
570,0,0,,Acquiesce si tout vas bien.|Tu tremblais de manière inquiétante.,JenniferVictoryClimaxTapeGag.jpg
600,0,0,,Une autre manche avant d'aller déjeuner ?,Jennifer.jpg
