Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,I don't know.  I'm|also stuck with one.,Poor thing.  Well it's only fair I guess.|We have to team up for judo then.,5,0,-1,
0,0,0,,You don't remove it.|You enjoy it.,That's not funny and I'm not enjoying it.|(She sighs.) I guess we have to team up for judo.,5,-1,0,
0,0,0,,"I'm not sure, I'll|do some research.",Oh my!  Let me know as soon as you can.|I guess we have to team up for judo then.,5,0,0,
0,0,0,,You can't remove it.|It will stay forever.,I hope I won't have to go to the hospital.|(She sighs.) I guess we have to team up for judo.,5,-1,0,
0,0,0,,"Don't worry, I will|help you later.","Ok then, I'll trust you.|So do you want to team up for judo?",5,1,0,
0,0,0,,If you're a good|girl I will help you.,"A good girl?  Mmmh, ok then.|Should we team up for judo then?",5,0,1,
5,0,0,,I guess we'll|have to team up.,Alright.  So have you tried judo before?,10,0,0,
5,0,0,,How come everyone|is paired but you?,No...  No reason.  Have you tried judo before?,10,-1,0,
5,0,0,,Great!  It will be|fun to team up.,That's the spirit!  Have you tried judo before?,10,1,0,
10,0,0,,It will be my first|time trying judo.,"Fine, it will be fun for you to learn it.|Do you want to practice first or we try a real fight?",20,0,0,
10,0,0,,"I've never tried it,|go easy on me.","Don't worry, I won't hurt you.|Do you want to practice first or we try a real fight?",20,0,-1,
10,0,0,,"I've tried it before,|it will be fun.",Great!  I'm sure we'll have a fun gym class.|Do you want to practice first or we try a real fight?,20,0,0,
10,0,0,,"I know judo, and|I will kick your butt.",Oh!  We'll see about that.|Do you want to practice first or we try a real fight?,20,0,1,
20,0,0,,Explain me|how to fight.,"Fighting is all about timing, hitting with opportunity.|(Press A, S, K or L when the hit icon reaches the bar.)",20,0,0,ExplainMobile()
20,0,0,,Let's practice.|(Start the practice.),,20,0,0,StartPractice()
20,0,0,,Let's do a real match.|(Start the fight.),,20,0,0,StartFight()
100,0,0,,Restrain you how?,"You need to remove my outfit and use that rope.|On my side, I will try to turn the tables.",110,0,0,GetRope()
100,0,0,,You will be|cute all restrained.,"I, I, I guess.  Now you need to remove my outfit|and use that rope.  I will try to resist you.",110,1,0,GetRope()
100,0,0,,"Too easy, you're|a poor fighter.",I will try harder this time then.  Now you|need to remove my outfit and use that rope.,110,-1,1,GetRope()
