Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Je ne sais pas trop.|J'en ai aussi un de coincé.,"Ma pauvre. C'est un juste retour des choses, je|suppose. Bon, on doit former une équipe pour le judo.",5,0,-1,
0,0,0,,Ça ne s'enlève pas.|Ça se savoure.,Ce n'est pas drôle et je n'aime pas ça. (Elle soupire.)|Je suppose qu'on doit former une équipe pour le judo.,5,-1,0,
0,0,0,,"Je ne suis pas sûre, je vais|faire des recherches.",Oh là là ! Préviens-moi dès que possible.|Je suppose qu'on doit former une équipe pour le judo.,5,0,0,
0,0,0,,Tu ne peux pas l'enlever.|Il restera pour toujours.,J'espère que je n'irai pas à l'hôpital. (Elle soupire.)|Je suppose qu'on doit former une équipe pour le judo.,5,-1,0,
0,0,0,,"Ne t'inquiétes pas,|Je t'aiderai plus tard.","Ok, Je te fais confiance.|Veux-tu former une équipe avec moi pour le judo ?",5,1,0,
0,0,0,,"Si tu es une gentille fille,|je t'aiderai.","Une gentille fille ? Hmm, d'accord.|Devrions-nous faire équipe pour le judo ?",5,0,1,
5,0,0,,Je suppose qu'on|va devoir faire équipe.,Très bien. Tu as déjà essayé le judo ?,10,0,0,
5,0,0,,Pourquoi tout le monde a|formé une paire sauf toi ?,Pas... Pas de raison particulière.|Tu as déjà essayé le judo ?,10,-1,0,
5,0,0,,Super ! Ça sera un plaisir|de faire équipe.,C'est le bon état d'esprit ! Tu as déjà essayé le judo ?,10,1,0,
10,0,0,,C'est ma première fois.,"Bien, ça sera un plaisir à apprendre. Tu veux|t'entraîner d'abord ou on essaye un combat réel ?",20,0,0,
10,0,0,,"Je n'ai jamais essayé,|vas-y doucement avec moi.","Ne t'inquiète pas, je ne te ferai pas de mal. Tu veux|t'entraîner d'abord ou on essaye un combat réel ?",20,0,-1,
10,0,0,,"J'en ai déjà fait,|ça sera amusant.",Super ! Je suis sûre qu'on va s'amuser. Tu veux|t'entraîner d'abord ou on essaye un combat réel ?,20,0,0,
10,0,0,,"Je connais le judo et|je vais te botter les fesses.",Oh ! C'est ce qu'on va voir. Tu veux|t'entraîner d'abord ou on essaye un combat réel ?,20,0,1,
20,0,0,,Explique-moi|comment se battre.,"Le combat c'est du timing, saisir les occasions qui se|présentent. (Appuyez sur A, S, K ou L, au bon moment.)",20,0,0,ExplainMobile()
20,0,0,,Entraînons-nous.|(Vous commencez.),,20,0,0,StartPractice()
20,0,0,,Faisons un vrai match.|(Vous commencez.),,20,0,0,StartFight()
100,0,0,,Te maîtriser ? Comment ?,"Tu dois enlever ma tenue et utiliser cette corde.|De mon coté, J'essaierai de renverser la situation.",110,0,0,GetRope()
100,0,0,,Tu seras mignonne|toute attachée.,"Je.. Je.. Je suppose. Tu dois enlever ma tenue|et utiliser cette corde. Je vais essayer de te résister.",110,1,0,GetRope()
100,0,0,,"Trop facile, tu es une|mauvaise combattante.",Je vais m'y mettre à fond cette fois.|Tu dois enlever ma tenue et utiliser cette corde.,110,-1,1,GetRope()
100,0,0,,C'est super !|Maintenant tu es à moi.,Pas encore ! Je vais essayer de te résister.|Tu dois enlever ma tenue et utiliser cette corde.,110,0,1,GetRope()
110,0,0,,Faisons un match amical.|(Vous commencez.),,110,0,0,StartWinFight(true)
110,0,0,,Je vais t'écraser !|(Vous commencez.),,110,0,0,StartWinFight(false)
200,0,0,,Me maîtriser ? Comment ?,Je dois enlever ta tenue de judo et utiliser une corde.,210,0,0,
200,0,0,,Tu es très forte. Mais tu as|besoin de me maîtriser ?,"Merci ! Oui, mon prochain mouvement d'autodéfense|sera d'enlever ta tenue et d'utiliser cette corde.",210,1,0,
200,0,0,,Tu ne me feras pas mal ?,"Bien sûr que non. Mon prochain mouvement d'auto-|défense sera d'enlever ta tenue et d'utiliser cette corde.",210,0,-1,
200,0,0,,Tu vas m'attacher ?|Génial !,Reste concentrée. Mon prochain mouvement d'auto-|défense sera d'enlever ta tenue et d'utiliser cette corde.,210,0,-1,
210,0,0,,"Vas-y doucement, s'il te|plaît. (Vous commencez.)",,210,0,0,StartLoseFight(true)
210,0,0,,Je ne perdrai pas cette|fois ! (Vous commencez.),,210,0,0,StartLoseFight(false)
400,0,0,,C'était amusant. Tu as|aimé ton bondage ?,"(Elle rougit.) Ce n'est pas censé|être érotique, c'est de l'autodéfense.",410,0,1,
400,0,0,,C'était un beau combat.|Tu as du potentiel.,Merci ! Mais j'ai besoin de m'entrainer|d'avantage si je veux te faire face.,410,1,0,
400,0,0,,Tu n'ai pas fait pour ça.|Tu as besoin de protection.,La tienne ? Tu crois ? Oh mon dieu.|J'ai certainement besoin de m'entrainer plus souvent.,410,-1,1,
410,0,0,,Tu sais que tu as l'air |adorable dans cet état ?,(Elle rougit et détourne le regard.),410,0,0,AdorableComment()
410,0,0,EggInside,"Es-tu exitée|grâce à l'oeuf ?",Oh non ! Peux-tu l'enlever ?,410,0,0,EggComment()
410,0,0,EggInside,(Tu joues avec sa corde|d'entrejambe.) (1 minute),"(Tu joues légèrement avec sa corde d'entrejambe.|Elle gémit tout doucement, pour ne pas être entendue.)",410,0,0,CrotchRope()
410,0,0,,(Tu la chatouilles.)|(1 minute),(Elle se balance dans ses cordes pour t'éviter.)|(Elle n'a pas l'air d'aimer se faire chatouiller en public.),410,0,0,Tickle()
410,0,0,,(Tu lui mets une fessée.)|(1 minute),Ouïe ! Mais enfin pourquoi ? (Elle se débat|pendant que tu lui mets une bonne fessée.),410,0,0,Spank()
410,0,0,,(Tu la libères.)|(1 minute),(Tu défais ses liens et elle se rhabille.)|Merci beaucoup ! Une autre manche ?,600,1,0,Release()
410,0,0,,"Ça suffit, allons manger.|(Tu quittes le gymnase.)",,410,0,0,EndChapter()
420,0,0,EggInside,(Tu joues avec sa corde|d'entrejambe.) (1 minute),"(Tu joues légèrement avec sa corde d'entrejambe.|Elle gémit tout doucement, pour ne pas être entendue.)",420,0,0,CrotchRope()
420,0,0,,(Tu la chatouilles.)|(1 minute),(Elle se balance dans ses cordes pour t'éviter.)|(Elle n'a pas l'air d'aimer se faire chatouiller en public.),420,0,0,Tickle()
420,0,0,,(Tu lui mets une fessée.)|(1 minute),(Elle se débat dans ses cordes|pendant que tu lui mets une bonne fessée.),420,0,0,Spank()
420,0,0,,(Tu la débâillones.)|(1 minute),"(Tu enlèves le bâillon de son visage et elle soupire.)|Tu sembles vraiment apprécier l'autodéfense.",410,0,0,Ungag()
420,0,0,,(Tu la libères.)|(1 minute),(Tu défais ses liens et elle se rhabille.)|Merci beaucoup ! Une autre manche ?,600,1,0,Release()
420,0,0,,"Ça suffit, allons manger.|(Tu quittes le gymnase.)",,420,0,0,EndChapter()
430,0,0,EggInside,(Tu joues avec sa corde|d'entrejambe.) (1 minute),"(Tu joues légèrement avec sa corde d'entrejambe.|Elle gémit tout doucement, pour ne pas être entendue.)",430,0,0,CrotchRope()
430,0,0,,(Tu la chatouilles.)|(1 minute),(Elle se balance dans ses cordes pour t'éviter.)|(Elle n'a pas l'air d'aimer se faire chatouiller en public.),430,0,0,Tickle()
430,0,0,,(Tu lui mets une fessée.)|(1 minute),(Elle se débat dans ses cordes|pendant que tu lui mets une bonne fessée.),430,0,0,Spank()
430,0,0,,(Tu la débâillones.)|(1 minute),(Tu enlèves le ruban adhésif de son visage et elle|soupire.) Tu sembles vraiment apprécier l'autodéfense.,410,0,0,Ungag()
430,0,0,,(Tu la libères.)|(1 minute),(Tu défais ses liens et elle se rhabille.)|Merci beaucoup ! Une autre manche ?,600,1,0,Release()
430,0,0,,"Ça suffit, allons manger.|(Tu quittes le gymnase.)",,430,0,0,EndChapter()
450,5,0,,"Allez, ce sera merveilleux.|(Tu la satisfais.) (1 minute)",(Elle te fait confiance et s'abandonne à ton toucher|affectueux. Elle a un orgasme doux et silencieux.),410,1,0,Orgasm()
