Tag,Content
Crop,(You whip her with the crop a few|times.  She screams and cries in pain.)
BallGag,(She shuts her mouth so you have to|push it hard to be strap it in.)
TapeGag,(She shakes her head from left to right|but you finally manage to tape her mouth.)
VibratingEggWarning,"(You might not be able to recover the egg if|you insert it in Jennifer, click on it again to do it.)"
VibratingEggInsert,(Jennifer sees the egg and tries to struggle away but|you're able to insert it.  She now trembles randomly.)
ExplainMobile,"Fighting is all about timing, hitting with opportunity.|(Click on the bar when the hit icon reaches it.)"
CrotchRope,"(You play with her rope and she suddenly|starts to jerk around, sweat and moan.)"
UngagPlayer,Hold on.  Let me help you.|(She carefully removes your gag.)
ReleasePlayer,Of course.  Let me help you.|(She unties you and you dress back.)
GagPlayer,No!  In fact I will do the opposite.  You|talk too much.  (She straps a gag on you.)
PlayerOrgasmGagged,"(She tugs, making you tremble in a silent orgasm.)|Why are you trembling?  Nod if you're ok."
PlayerOrgasm,"(She tugs, making you tremble in a silent orgasm.)|Are you ok?  Why are you trembling like that?"
TrainFighting,"(You train pretty hard with Jennifer|and you've learned some fight moves.)"
TrainFightingNoTime,"(You don't have enough time left|to improve your fighting skills.)"
