Tag,Content
Crop,(Tu lui donnes quelques coups avec la cravache.|Elle crie et pleure de douleur.)
BallGag,"(Elle ferme sa bouche, t'obligeant|à forcer pour lui mettre les sangles.)"
TapeGag,"(Elle secoue la tête de gauche à droite|mais tu parviens à lui coller le ruban sur la bouche.)"
VibratingEggWarning,"(Tu ne pourras peut-être pas récupérer l'oeuf si|tu l'insères, cliquez à nouveau pour confirmer)"
VibratingEggInsert,"(Jennifer voit l'oeuf et essaie de s'éloigner, tu réussis|à l'insérer. Depuis, elle tremble aléatoirement.)"
ExplainMobile,"Le combat c'est du timing, saisir les occasions qui se|présentent. (Appuyez sur A, S, K ou L, au bon moment.)"
CrotchRope,"(Tu joues avec sa corde et elle commence subitement|à avoir des soubresauts, à transpirer et à gémir.)"
UngagPlayer,Attends un peu. Laisse-moi t'aider.|(Elle ôte doucement ton bâillon.)
ReleasePlayer,Bien sûr. Laisse-moi t'aider.|(Elle te détache et tu te rhabilles.)
GagPlayer,"Non ! En fait, je vais faire le contraire.|Tu parles beaucoup trop. (Elle te met un bâillon.)"
PlayerOrgasmGagged,"(Elle tire, tu trembles jusqu'à atteindre un orgasme|silencieux.) Tu trembles ? Hoche la tête si ça va."
PlayerOrgasm,"(Elle tire, tu trembles jusqu'à atteindre un orgasme|silencieux.) Ça va ? Pourquoi tu trembles comme ça ?"
TrainFighting,"(Tu t'entraînes assez dur avec Jennifer|et tu apprends quelques mouvements de combat.)"
TrainFightingNoTime,"(Tu n'as pas assez de temps|pour améliorer tes techniques de combat.)"
