Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,So you thought you could kidnap|me in my own class young lady?,Mildred.jpg
10,0,0,,,Mildred.jpg
20,0,0,,,MildredPlayer.jpg
30,0,0,,,MildredPlayer.jpg
40,0,0,,,MildredPlayer.jpg
50,0,0,,,MildredStrapPlayer.jpg
60,0,0,,,MildredPlayerStrip.jpg
70,0,0,,,MildredStrapPlayerStrip.jpg
100,0,0,,,MildredPlayerCollar.jpg
110,0,0,,,MildredPlayerCollar.jpg
120,0,0,,,MildredPlayerRope.jpg
125,0,0,,,MildredPlayerCell.jpg
130,0,0,,,MildredPlayerHogtie.jpg
140,0,0,,,MildredPlayerLock.jpg
150,0,0,,,MildredPlayerLock.jpg
160,0,0,,,MildredPlayerLock.jpg
170,0,0,,,MildredPlayerStrip.jpg
200,0,0,,,MildredPlayerBallGag.jpg
210,0,0,,,PlayerBallGag.jpg
300,0,0,,,MildredPlayerHorse.jpg
310,0,0,,,MildredPlayerHorse.jpg
320,0,0,,,MildredPlayerHorseCrop1.jpg
330,0,0,,,MildredPlayerHorse.jpg
