Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Ouais ! Et j'ai fait|du bon boulot.,Espérons qu'un peu d'isolement corrigera cette attitude.|N'as-tu pas un peu honte de ce que tu as fait ?,10,-1,1,
0,0,0,,Sidney m'a piégé !,Elle sera punie en conséquence.|N'as-tu pas honte de ce que tu as fait ?,10,0,0,
0,0,0,,(Tu gardes le silence.),Tu devrais parler tant que tu le peux encore.|N'as-tu pas honte de ce que tu as fait ?,10,0,0,
0,0,0,,Je suis désolée|Madame Mildred.,C'est mieux. Mais tu mérites quand même d'être punie.|N'as-tu pas honte de ce que tu as fait ?,10,1,-1,
10,0,0,,(Tu inclines la tête.),"Beaucoup mieux. Maintenant, donne-moi ce sac.|(Elle confisque ton sac.)",20,0,-1,StealItems()
10,0,0,,(Tu gardes le silence.),Très bien. Reste silencieuse et donne-moi ce sac.|(Elle confisque ton sac.),20,0,0,StealItems()
10,0,0,,"Oui, je sais, ce|n'était pas très brillant.","C'est tout à fait exact. Maintenant, donne-moi ce sac.|(Elle confisque ton sac.)",20,1,0,StealItems()
10,0,0,,Honte ? C'était le meilleur|cours de tous les temps.,(Elle a l'air furieuse.) Donne-moi ce sac !|(Elle confisque ton sac.),20,-1,0,StealItems()
10,0,0,,Vous n'avez pas beaucoup|résisté non plus.,"Non-sens ! Maintenant, donne-moi ce sac.|(Elle confisque ton sac.)",20,0,1,StealItems()
20,0,0,,Hé ! Vous ne pouvez|pas faire ça.,"Je le peux et je peux faire bien pire.|Enlève ton uniforme, jeune fille.",30,0,0,
20,0,0,,Est-ce que vous me|rendrez mon sac ?,"Seulement à la fin de ta punition.|Maintenant, enlève ton uniforme, jeune fille.",30,0,0,
30,0,0,,Espèce de perverse ! Je ne|le ferais jamais pour vous.,"Si tu ne le fais pas, je le ferai pour toi.|Enlève-le maintenant ou ça va mal finir.",40,0,1,
30,0,0,,Enlever mon uniforme ?|Mais on se les gèle ici.,Il ne fera pas plus chaud si tu te plains.|Enlève-le maintenant ou ça va mal finir.,40,0,0,
30,0,0,,Oui Madame Mildred. (Tu|te déshabilles.) (1 minute),"Très bien. Pour ta punition, tu porteras ceci.|(Elle te montre un collier en cuir.)",60,1,-1,
30,0,0,,(Tu restes silencieuse et tu|te déshabilles.) (1 minute),"Bonne petite. Pour ta punition, tu porteras ceci.|(Elle te montre un collier en cuir.)",60,1,0,
40,0,0,,Allez vous faire foutre !,"(Elle te traîne et t'attache à une croix.)|Nous avons les moyens de te faire coopérer, jeune fille.",50,-1,0,
40,0,0,,Oubliez ça. Je ne|me déshabillerai pas.,"(Elle te traîne et t'attache à une croix.)|Nous avons les moyens de te faire coopérer, jeune fille.",50,0,0,
40,0,0,,Oui Madame Mildred. (Tu|te déshabilles.) (1 minute),"Très bien. Pour ta punition, tu porteras ceci.|(Elle te montre un collier en cuir.)",60,1,-1,
40,0,0,,(Tu restes silencieuse et tu|te déshabilles.) (1 minute),"Bonne petite. Pour ta punition, tu porteras ceci.|(Elle te montre un collier en cuir.)",60,1,0,
50,0,0,,Laissez-moi partir !,(Elle te déshabille et te montre un collier en cuir.)|Tu porteras ceci pour ta punition.,70,0,0,
50,0,0,,A L'AIDE ! POLICE !,(Elle te déshabille et te montre un collier en cuir.)|Tu porteras ceci pour ta punition.,70,0,-1,
50,0,0,,(Tu lances un|regard furieux.),(Elle te déshabille et te montre un collier en cuir.)|Tu porteras ceci pour ta punition.,70,0,1,
60,0,0,,Qu'est-ce que c'est ?,C'est un collier pour ta punition.|(Elle te met le collier.),100,0,0,AddCollar()
60,0,0,,Un collier ?|J'ai l'air d'un chien ?,"Arrête de te plaindre, jeune fille.|(Elle te met le collier.)",100,0,1,AddCollar()
60,0,0,,Espèce de monstre !|Je ne porterai pas ça.,"Arrête de te plaindre, jeune fille.|(Elle te met le collier.)",100,-1,0,AddCollar()
60,0,-3,,Vous voulez me faire|porter un collier Madame ?,Seulement pour ta punition.|(Elle te met le collier.),100,0,-1,AddCollar()
70,0,0,,Qu'est-ce que c'est ?,C'est un collier pour ta punition jeune fille.|(Elle te met le collier et te libère.),100,0,0,AddCollar()
70,0,0,,Un collier ?|J'ai l'air d'un chien ?,Tu n'es pas en position de négocier jeune fille.|(Elle te met le collier et te libère.),100,0,1,AddCollar()
70,0,0,,Espèce de monstre !|Je ne porterai pas ça.,Tu n'es pas en position de négocier jeune fille.|(Elle te met le collier et te libère.),100,-1,0,AddCollar()
70,0,-3,,Vous voulez me faire|porter un collier Madame ?,Seulement pour ta punition jeune fille.|(Elle te met le collier et te libère.),100,0,-1,AddCollar()
100,0,0,,Qu'est-ce qui|se passe ici ?,C'est très simple. Vous serez attachée avec des cordes|et isolée durant une heure ma petite demoiselle.,110,0,0,
100,0,0,,"Je suis désolée Madame.|Pitié, laissez-moi partir.",Il est trop tard pour ça. Vous serez attachée avec des|cordes et isolée durant une heure ma petite demoiselle.,110,1,-1,
100,0,0,,Ce collier est coquin !,On se concentre jeune fille. Tu seras attachée|avec des cordes et isolée durant une heure.,110,0,0,
100,0,0,,Le collier vous|irait beaucoup mieux.,(Elle te dévisage.) Tu seras attachée|avec des cordes et isolée durant une heure.,110,0,1,
110,0,0,,M'attacher ? Je suppose|que ce n'est que justice.,Absolument. (Elle prend une corde|et l'enroule sur ton corps.),120,1,0,AddRope()
110,0,0,,(Tu te tournes et|lui tends tes mains.),"(Elle sourit, prend une corde|et l'enroule sur ton corps.)",120,0,-1,AddRope()
110,0,0,,Oh non !|Vous ne m'attacherez pas.,"Oh si. (Elle saisit tes bras, prend|une corde et l'enroule sur ton corps.)",120,0,0,AddRope()
120,0,0,,Putain ! C'est serré.,Et ça sera encore plus serré.|(Elle te pousse dans une cellule en acier.),125,-1,0,CheckForCrop()
120,0,0,,Vous ne pouvez pas|me laisser comme ça !,Je peux faire pire que ça.|(Elle te pousse dans une cellule en acier.),125,0,0,CheckForCrop()
120,0,0,,"Oh Madame, c'est sexy !",N'agissez pas comme une putain jeune fille.|(Elle te pousse dans une cellule en acier.),125,0,0,CheckForCrop()
125,0,0,,Je suis déjà ligotée !|Pourquoi m'enfermer ?,Cesse de discuter et mets-toi à genoux.|(Elle te pousse au sol et te lie les jambes.),130,0,0,
125,0,0,,Arrêtez de me pousser !,Cesse de discuter et mets-toi à genoux.|(Elle te pousse au sol et te lie les jambes.),130,0,0,
125,0,0,,Sommes-nous dans|une prison ?,"Quelque chose dans ce goût là. Maintenant, baisse-toi.|(Elle te pousse au sol et te lie les jambes.)",130,0,0,
130,0,0,,Seigneur ! Pitié Madame.|Je suis vraiment désolée.,Tu ne penses pas que c'est un peu tard pour ça ?|(Elle attache le collier à un anneau au sol.),140,1,-1,
130,0,0,,Ça va trop loin !,Accepte ta punition comme une grande fille.|(Elle attache le collier à un anneau au sol.),140,0,0,
130,0,0,,J'appellerai les flics !,Accepte ta punition comme une grande fille.|(Elle attache le collier à un anneau au sol.),140,0,0,
130,0,0,,"C'est un joli bondage,|Madame.",Disons que j'ai eu de bons professeurs.|(Elle attache le collier à un anneau au sol.),140,0,-1,
140,0,0,,Ouïe !|Je ne peux pas bouger !,Bien sûr que tu ne peux pas. Quelque chose|à ajouter avant que je te bâillonne et t'isole ?,150,0,0,
140,0,0,,"Un jour, vous|paierez pour ça !","Continue de rêver, jeune fille. Quelque chose|à ajouter avant que je te bâillonne et t'isole ?",150,0,1,
140,0,0,,J'admire vos compétences|en bondage.,J'ai discipliné d'autres étudiantes avant toi. Quelque|chose à ajouter avant que je te bâillonne et t'isole ?,150,1,0,
150,0,0,,(Tu gardes le silence.),(Elle te met un bâillon.)|Essaye d'apprendre quelque chose de ton isolement.,200,0,0,AddGag()
150,0,0,,Un jour vous paierez.,(Elle soupire et te met un bâillon.)|Essaye d'apprendre quelque chose de ton isolement.,200,0,0,AddGag()
150,0,0,,Madame Mildred !,(Elle te fait non de la tête et te met un bâillon.)|Essaye d'apprendre quelque chose de ton isolement.,200,0,0,AddGag()
150,5,0,,"Madame Mildred, j'ai|compris la leçon.",(Elle te sourit.) Tu seras sage ?|Tu promets d'arrêter de causer des ennuis ?,160,0,0,
150,1,-5,,"Oh pitié, Madame Mildred."|(Tu gémis et pleure.),Pauvre petite. J'ai peut-être été trop dure.|Tu promets d'être sage dorénavant ?,160,0,0,
150,0,6,,"Si vous me laissez ici,|mon père vous poursuivra.","Hmm. Je ne peux pas me permettre un procès. Très|bien, jeune fille, je te libérerai si tu promets d'être sage.",160,0,0,
160,0,0,,"Oui, je promets|d'être sage, madame.","Très bien. (Elle te libère.)|Maintenant, habille-toi et va déjeuner de bonne heure.",170,0,0,Release()
160,0,0,,Je ne causerai|plus d'ennuis.,"Bien. (Elle te libère.)|Maintenant, habille-toi et va déjeuner de bonne heure.",170,0,0,Release()
160,0,0,,Je ne veux pas de la pitié.|Faites-moi le maximun !,(Elle secoue la tête et te met un bâillon.)|Essaye d'apprendre quelque chose de ton isolement.,200,0,1,AddGag()
160,0,0,,ALLEZ VOUS FAIRE|FOUTRE SALE TRUIE !,(Elle secoue la tête et te met un bâillon.)|Essaye d'apprendre quelque chose de ton isolement.,200,-1,0,AddGag()
170,0,0,,Oui Madame.|(Tu quittes le sous-sol.),,170,0,0,LeaveIsolation()
170,0,0,,(Tu acquiesces et souris.)|(Tu quittes le sous-sol.),,170,0,0,LeaveIsolation()
200,0,0,,UUMPH ! UGN !,(Elle s'éloigne lentement.)|Je serai de retour à 11H30.,210,0,0,AllowLeave()
200,0,0,,(Tu lui fais un|regard furieux.),(Elle s'éloigne lentement.)|Je serai de retour à 11H30.,210,0,0,AllowLeave()
200,0,0,,(Tu détournes le regard.),(Elle s'éloigne lentement.)|Je serai de retour à 11H30.,210,0,0,AllowLeave()
300,0,0,,"Putain, c'est quoi ce truc ?",Cet appareil s'assurera que tu ne bougeras|pas pendant que je te disciplinerai.,310,-1,0,
300,0,0,,(Tu essaie de te|mettre à l'aise.),Je doute que tu trouves une|position confortable sur ce cheval.,310,0,0,
300,0,0,,Ah ! Vous ne me faites|pas peur avec ce jouet.,"Ce ""jouet"" s'assurera que tu ne bougeras|pas pendant que je te disciplinerai.",310,0,1,
310,0,0,,Vous ne pouvez pas !|Je suis une étudiante ici.,,320,0,0,DoCrop()
310,0,0,,Vous êtes sûre|que c'est légal ?,,320,0,0,DoCrop()
310,0,0,,"Oui, Madame Mildred.|Je comprends.",,320,0,0,DoCrop()
310,0,0,,Frappez fort. La douleur|est mon 2ème prénom.,,320,0,0,DoCrop()
320,0,0,,"Putain, ça fait mal !",,320,0,0,DoCrop()
320,0,0,,Ouïe ! Pitié Madame !,,320,0,0,DoCrop()
320,0,0,,Plus fort ! Plus vite !,,320,0,0,DoCrop()
320,0,0,,J'ai eu des piqûres de|moustiques pires que ça.,,320,0,0,DoCrop()
320,0,0,,(Tu gardes le silence|et endures.),,320,0,0,DoCrop()
320,0,0,,(Tu fais comme si|ça ne faisait pas mal.),,320,0,0,DoCrop()
320,0,0,,(Tu essaye de l'éviter.),,320,0,0,DoCrop()
320,0,0,,(Tu pleures et|implores de l'aide.),,320,0,0,DoCrop()
330,0,0,,Mmm. Peut-être.,Peut-être que l'isolement te l'enseignera.|(Elle te pousse dans une cellule en acier.),125,0,0,
330,0,0,,"Oui, courrir quand|je vous vois.",Tu es une jeune fille sans espoir.|(Elle te pousse dans une cellule en acier.),125,0,0,
330,0,0,,"Je pense que oui.|Merci, je suppose.","C'est très bien, jeune fille.|(Elle te pousse dans une cellule en acier.)",125,1,0,
330,0,0,,"Oui, Madame Mildred.|(Tu acquiesces.)",Cette cravache est un excellent outil d'éducation.|(Elle te pousse dans une cellule en acier.),125,0,-1,
330,0,0,,Ouïe ! La leçon est de ne|pas pouvoir s'asseoir ?,Tu es une jeune fille sans espoir.|(Elle te pousse dans une cellule en acier.),125,0,0,
330,0,0,,"La prochaine fois,|je vous fouetterai.",(Elle te donne un dernier coup au visage|et te pousse dans une cellule en acier.),125,-1,1,
