Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,You have some nerves you know!|You drugged my glass of water.,Yuki.jpg
10,0,0,,,Yuki.jpg
20,0,0,,,YukiPlayer.jpg
30,0,0,,,YukiPlayer.jpg
40,0,0,,,YukiPlayer.jpg
50,0,0,,,YukiPlayerStrip.jpg
70,0,0,,,YukiPlayerPilory.jpg
80,0,0,,,YukiPlayerPiloryStrip.jpg
100,0,0,,,YukiPlayerCollar.jpg
110,0,0,,,YukiPlayerCollar.jpg
120,0,0,,,YukiPlayerBoundBack.jpg
130,0,0,,,YukiPlayerCell.jpg
140,0,0,,,YukiPlayerCellKneel.jpg
150,0,0,,,YukiPlayerCellHogtie.jpg
160,0,0,,,YukiPlayerLocked.jpg
170,0,0,,,YukiPlayerBallGag.jpg
180,0,0,,,PlayerBallGag.jpg
200,0,0,,,YukiPlayerEat.jpg
210,0,0,,,YukiPlayerCellKneel.jpg
220,0,0,,,YukiOrgasm.jpg
230,0,0,,,YukiPlayerCellKneel.jpg
240,0,0,,,YukiPlayerStrip.jpg
250,0,0,,,YukiPlayerCellKneel.jpg
