Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,I didn't do it!,Stop lying for once and endure|your punishment like a lady.,10,0,0,
0,0,0,,Sidney did it!,If she had anything to do in this|she will be punished just like you.,10,0,0,
0,0,0,,I know.  I guess|it was pretty wrong.,Indeed.  And that's why you're getting punished.,10,1,0,
0,0,0,,I'm sorry teacher Yuki.,Sorry isn't enough.  And that's|why you're getting punished.,10,0,-1,
0,0,0,,It was your pill anyway.,That's not the point.  You drugged|me and you will be punished.,10,0,0,
0,0,0,,I could have done|much worse to you.,You really need to learn your place here.|And that's why you will be punished.,10,-1,1,
10,0,0,,Punished how?,You will stay bound and gagged|in that cell for the next hour.,20,0,0,
10,0,0,,What do you|want from me?,You will stay bound and gagged|in that cell for the next hour.,20,0,0,
10,0,0,,If I give you money|can we forget this?,You cannot bribe me.  You will stay bound|and gagged in that cell for the next hour.,20,-1,0,
20,0,0,,Bound and gagged?|Are you serious?,Very serious.  First you will give|me this.  (She confiscates your bag.),30,0,0,StealItems()
20,0,0,,I guess it will be|easier if I don't fight.,Very wise of you.  First you will give|me this.  (She confiscates your bag.),30,1,0,StealItems()
20,0,0,,Awesome!  I|love bondage.,You won't enjoy this hour.  Now you will give|me this bag.  (She confiscates your bag.),30,-1,-1,StealItems()
20,0,0,,Forget it!  I won't do it.,You don't have a choice.  First you will|give me this.  (She confiscates your bag.),30,0,1,StealItems()
30,0,0,,Please don't|steal anything.,"I won't, don't worry.  Now|you will remove your uniform.",40,0,-1,
30,0,0,,You thief!,Stop complaining ok?  Now|you will remove your uniform.,40,-1,0,
30,0,0,,You can't do that.,Of course I can.  Now|you will remove your uniform.,40,0,0,
40,0,0,,Strip?  Sorry but you're|way too ugly for me.,"(She pushes you on a pillory and locks it.)|If you resist, I'll have to use these devices.",70,-1,0,
40,0,0,,Forget it lady.|I'm not stripping.,"(She pushes you on a pillory and locks it.)|If you resist, I'll have to use these devices.",70,0,0,
40,0,0,,"Damn it!  Ok, ok.|(Strip.)  (1 minute)",Very well.  And you are expected to wear|this.  (She shows you a leather collar.),50,0,0,
40,0,0,,It's only for your eyes.|(Strip.)  (1 minute),Of course.  And you are expected to wear|this.  (She shows you a leather collar.),50,1,0,
50,0,0,,Yes Miss.|(Bow your head.),(She straps the collar around your neck.)|And how do you feel now?  Vulnerable?,100,0,-1,AddCollar()
50,0,0,,A collar?  Do I|look like a dog?,"(She pushes you on a pillory and locks it.)|If you resist, I'll have to use these devices.",80,0,0,
50,0,0,,Mmmh.  Ok.|(Bow your head.),(She straps the collar around your neck.)|And how do you feel now?  Vulnerable?,100,0,0,AddCollar()
50,0,0,,It will be freezing in|hell before I wear that.,"(She pushes you on a pillory and locks it.)|If you resist, I'll have to use these devices.",80,0,1,
70,0,0,,(Stay silent.),Silence is gold.  (She removes your uniform.)|You will also have to wear a leather collar.,80,0,0,
70,0,0,,Strip me?  You're some|kind of crazy lesbian?,Such foul language.  (She removes your uniform.)|You will also have to wear a leather collar.,80,-1,0,
70,0,0,,I guess it's only fair.,Indeed it is.  (She removes your uniform.)|You will also have to wear a leather collar.,80,1,0,
70,0,0,,One day I'll|have my revenge.,(She sighs and removes your uniform.)|You will also have to wear a leather collar.,80,0,1,
80,0,0,,(Stay silent.),(She straps the collar and releases you.)|So how do you feel now?  Vulnerable?,100,0,0,AddCollar()
80,0,0,,Put that collar away!,Shhhh.  (She straps the collar and releases you.)|So how do you feel now?  Vulnerable?,100,0,0,AddCollar()
80,0,0,,I guess there's no|use to fight now.,Correct.  (She straps the collar and releases you.)|So how do you feel now?  Vulnerable?,100,0,0,AddCollar()
100,0,0,,I've had better days.,It's not going to get better in this hour.|Turn around and give me your hands.,110,0,0,
100,0,0,,Very vulnerable.|(Bow your head.),"It's not easy, but it's for your own good.|Now turn around and give me your hands.",110,0,-1,
100,0,0,,(Yawn.)  I'm feeling|pretty bored actually.,So you still think you're smart?|Turn around and give me your hands.,110,-1,0,
100,0,0,,Why the collar?|I don't get it.,You will understand pretty soon.|Turn around and give me your hands.,110,0,0,
110,0,0,,Don't touch me!,You're in no position to give orders.|(She grabs some rope and wraps it over you.),120,0,0,AddRope()
110,0,0,,Fuck off!  You're|not tying me up.,Mmh.  A gag will be needed also.|(She grabs some rope and wraps it over you.),120,-1,0,AddRope()
110,0,0,,"Alright, but don't|tie me too tight.",It will be tight enough so you don't escape.|(She grabs some rope and wraps it over you.),120,1,0,AddRope()
110,0,0,,(Nod and turn|around silently.),You know you can be good when you want to.|(She grabs some rope and wraps it over you.),120,0,-1,AddRope()
120,0,0,,This is too tight!,And it's only the beginning.|(She pushes you in a steel cell.),130,0,0,
120,0,0,,(Struggle playfully|and giggle.),You're not supposed to enjoy this.|(She pushes you in a steel cell.),130,0,0,
120,0,0,,Where did you|learn to do that?,Let's say I had very good teachers.|(She pushes you in a steel cell.),130,0,0,
130,0,0,,At first it was fun|but now it's scary.,Oh!  But the fun is only beginning.|(She pushes you on your knees.),140,0,0,
130,0,0,,"Please Miss, you|cannot abandon me.",It's only for an hour you know.|(She pushes you on your knees.),140,0,-1,
