Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,Hi COMMON_PLAYERNAME.  Do you need|help to find the school cafeteria?,AmandaIntro.jpg
0,5,0,,It's nice to see you COMMON_PLAYERNAME.|Have you found the cafeteria?,AmandaIntroHappy.jpg
0,0,5,,Hello Miss COMMON_PLAYERNAME.  (She bows her head.)|Have you located the school cafeteria?,AmandaIntroSubbie.jpg
0,1,-3,,Hey girl.  It's lunch time.  Do you|need help to find the college cafeteria?,AmandaIntroDomme.jpg
0,0,0,TeamAgainstMildred,I still can't believe we restrained Mildred.|Anyway.  Have you found the school cafeteria?,AmandaIntroHappy.jpg
0,0,0,TeamFailAgainstMildred,I still can't believe we tried to subdue Mildred.|Anyway.  Have you found the school cafeteria?,AmandaIntro.jpg
5,0,0,,(Amanda sees you but run away.|She pretends to be in a hurry.),AmandaGone.jpg
10,0,0,,You can try the college cafeteria|if you want but the food isn't great.,AmandaIntro.jpg
10,0,5,,If you're really hungry you can try|the cafeteria but I don't recommend it Miss.,AmandaIntroSubbie.jpg
10,1,-3,,You can try the cafeteria|but it's not the best food around.,AmandaIntroDomme.jpg
20,0,0,,There's a small cafe nearby|you could try if you want.,AmandaIntro.jpg
20,0,5,,"Miss, there's a cafe nearby|you could try if you want.",AmandaIntroSubbie.jpg
20,1,-3,,A sweetie like you should try the cafe nearby.|It's much nicer than the school cafeteria.,AmandaIntroDomme.jpg
30,0,0,,Would you like to go|to the cafe with me now?,AmandaIntro.jpg
30,0,5,,"Miss, would you like to leave|for the cafe with me right now?",AmandaIntroSubbie.jpg
30,1,-3,,Get your purse.  We'll|go to the cafe together.,AmandaIntroDomme.jpg
40,0,0,,Sorry I cannot go eat with you.|I already have plans for lunch.,AmandaIntro.jpg
50,0,0,,,AmandaGone.jpg
100,0,0,,,AmandaPlayerLunch0.jpg
110,0,0,,,AmandaPlayerLunch0.jpg
120,0,0,,,AmandaPlayerLunch0.jpg
130,0,0,,,AmandaPlayerLunch0.jpg
140,0,0,,,AmandaPlayerLunch0.jpg
150,0,0,,,AmandaPlayerLunch0.jpg
160,0,0,,,AmandaPlayerLunch0.jpg
170,0,0,,,AmandaPlayerLunch0.jpg
180,0,0,,,AmandaPlayerLunch0.jpg
200,0,0,,"(As you walk back, you grab each other|hands and run to a deserted corner.)",AmandaPlayerLovers.jpg
210,0,0,,,AmandaPlayerLovers.jpg
220,0,0,,,AmandaPlayerLoversKiss.jpg
230,0,0,,,AmandaPlayerLoversKiss2.jpg
240,0,0,,,AmandaPlayerLoversTouch.jpg
250,0,0,,,AmandaPlayerLoversOrgasm.jpg
260,0,0,,,AmandaPlayerLovers.jpg
270,0,0,,,AmandaPlayerLovers.jpg
280,0,0,,,AmandaPlayerLoversKiss.jpg
300,0,0,,"(As you walk back to school, you grab|her hand and drag her to a deserted corner.)",AmandaPlayerIsDomme.jpg
310,0,0,,,AmandaPlayerIsDommeKiss.jpg
320,0,0,,,AmandaPlayerIsDomme.jpg
330,0,0,,,AmandaPlayerIsDommeTouch.jpg
400,0,0,,"(As you walk back to school, she grabs|your hand and drags you to a deserted corner.)",AmandaPlayerIsSubbie.jpg
410,0,0,,,AmandaPlayerIsSubbie.jpg
420,0,0,,,AmandaPlayerIsSubbieStrip.jpg
430,0,0,,,AmandaPlayerIsSubbieBack.jpg
440,0,0,,,AmandaPlayerIsSubbieRope.jpg
450,0,0,,,AmandaPlayerIsSubbieRopeBallGag.jpg
460,0,0,,,AmandaPlayerIsSubbieTouch.jpg
470,0,0,,,AmandaPlayerIsSubbieOrgasm.jpg
480,0,0,,,AmandaPlayerIsSubbieRope.jpg
490,0,0,,,AmandaPlayerIsSubbie.jpg
