Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,Salut COMMON_PLAYERNAME. As-tu besoin d'aide|pour trouver la cafétéria de l'université ?,AmandaIntro.jpg
0,5,0,,C'est bon de te voir COMMON_PLAYERNAME.|Tu as trouvé la cafétéria ?,AmandaIntroHappy.jpg
0,0,5,,Bonjour Madame COMMON_PLAYERNAME. (Elle incline la tête.)|Avez-vous repérée la cafétéria de l'université ?,AmandaIntroSubbie.jpg
0,1,-3,,Salut ma belle. C'est l'heure du déjeuner. Tu as besoin|d'aide pour trouver la cafétéria de l'université ?,AmandaIntroDomme.jpg
0,0,0,TeamAgainstMildred,J'arrive toujours pas à croire qu'on a attaché Mildred.|Quoi qu'il en soit. As-tu trouvé la cafétéria de l'école ?,AmandaIntroHappy.jpg
0,0,0,TeamFailAgainstMildred,"J'arrive toujours pas à croire, tenté d'attacher Mildred...|Quoi qu'il en soit. As-tu trouvé la cafétéria de l'école ?",AmandaIntro.jpg
5,0,0,,(Amanda te voit mais s'enfuit.|Elle fait semblant d'être pressée.),AmandaGone.jpg
10,0,0,,"Tu peux tester la cafétéria de l'université|si tu veux, mais la nourriture n'est pas terrible.",AmandaIntro.jpg
10,0,5,,"Si vous avez vraiment faim, vous pouvez tester|la cafétéria, mais je ne vous la recommande pas.",AmandaIntroSubbie.jpg
10,1,-3,,"Tu peux tester la cafétéria, mais|ce n'est pas la meilleure nourriture du coin.",AmandaIntroDomme.jpg
20,0,0,,Il y a un petit café près d'ici|que tu peux tester si tu veux.,AmandaIntro.jpg
20,0,5,,"Madame, il y a un café près d'ici que|vous pouvez tester si vous voulez.",AmandaIntroSubbie.jpg
20,1,-3,,Un amour comme toi devrait tester le café du coin.|C'est bien mieux que la cafétéria de l'école.,AmandaIntroDomme.jpg
30,0,0,,Tu veux aller au café maintenant ?,AmandaIntro.jpg
30,0,5,,"Madame, voudriez-vous qu'on aille au café de suite ?",AmandaIntroSubbie.jpg
30,1,-3,,Prends ton sac. On ira ensemble au café.,AmandaIntroDomme.jpg
40,0,0,,"Désolée, je ne peux pas aller manger avec toi.|J'ai déjà quelque chose de prévue pour le déjeuner.",AmandaIntro.jpg
50,0,0,,,AmandaGone.jpg
100,0,0,,,AmandaPlayerLunch0.jpg
110,0,0,,,AmandaPlayerLunch0.jpg
120,0,0,,,AmandaPlayerLunch0.jpg
130,0,0,,,AmandaPlayerLunch0.jpg
140,0,0,,,AmandaPlayerLunch0.jpg
150,0,0,,,AmandaPlayerLunch0.jpg
160,0,0,,,AmandaPlayerLunch0.jpg
170,0,0,,,AmandaPlayerLunch0.jpg
180,0,0,,,AmandaPlayerLunch0.jpg
200,0,0,,"(En revenant, vous vous agrippez mutuellement|les mains et vous courez dans un coin désert.)",AmandaPlayerLovers.jpg
210,0,0,,,AmandaPlayerLovers.jpg
220,0,0,,,AmandaPlayerLoversKiss.jpg
230,0,0,,,AmandaPlayerLoversKiss2.jpg
240,0,0,,,AmandaPlayerLoversTouch.jpg
250,0,0,,,AmandaPlayerLoversOrgasm.jpg
260,0,0,,,AmandaPlayerLovers.jpg
270,0,0,,,AmandaPlayerLovers.jpg
280,0,0,,,AmandaPlayerLoversKiss.jpg
300,0,0,,"(Sur le chemin du retour à l'école, tu lui saisis|la main et la traînes dans un coin désert.)",AmandaPlayerIsDomme.jpg
310,0,0,,,AmandaPlayerIsDommeKiss.jpg
320,0,0,,,AmandaPlayerIsDomme.jpg
330,0,0,,,AmandaPlayerIsDommeTouch.jpg
400,0,0,,"(Sur le chemin du retour à l'école, elle saisit|ta main et te traîne dans un coin désert.)",AmandaPlayerIsSubbie.jpg
410,0,0,,,AmandaPlayerIsSubbie.jpg
420,0,0,,,AmandaPlayerIsSubbieStrip.jpg
430,0,0,,,AmandaPlayerIsSubbieBack.jpg
440,0,0,,,AmandaPlayerIsSubbieRope.jpg
450,0,0,,,AmandaPlayerIsSubbieRopeBallGag.jpg
460,0,0,,,AmandaPlayerIsSubbieTouch.jpg
470,0,0,,,AmandaPlayerIsSubbieOrgasm.jpg
480,0,0,,,AmandaPlayerIsSubbieRope.jpg
490,0,0,,,AmandaPlayerIsSubbie.jpg
