Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,How's the food|in the cafeteria?,To be honest.  It's not really|good but it's better than starving.,10,0,0,
0,0,0,,College cafeteria?  I bet|the food is disgusting.,"You should judge by yourself first|but I guess you're right, it's not great.",10,-1,0,
0,0,0,,What's on the|menu today?,"Its spaghetti today, but I must warn|you that pasta isn't their best dishes.",10,0,0,
0,0,0,,Yummy!  I'm|so hungry now!,"(She giggles.)  Well don't get your|hopes too high, the food isn't great.",10,1,0,
10,0,0,,A smart girl like you|must know a better place.,I... I... I guess there's a small|cafe nearby you could try.,20,0,1,
10,0,0,,Is there a better|place to eat then?,Yes.  There's a small|cafe nearby you could try.,20,0,0,
10,0,0,,"Is there a better option?|Please, please, please.",(She giggles.)  There's a small|cafe nearby you could try.,20,0,-1,
20,5,0,,Great!  Will you come|with me my friend?,Sure!  Should we go now?,30,1,0,
20,0,5,,Perfect!  And you|will come with me.,I... But... I guess I can|show you the cafe Miss.,30,0,1,
20,1,-3,,Miss Amanda.  Will|you come with me?,"Get your purse, we're leaving right now.|(She grabs your arm and doesn't let you go.)",30,0,-1,NoLeave()
20,0,0,NoOption,Do you want to|go there with me?,"I can't, I already have plans for lunch.",40,0,0,
20,0,0,NoOption,Could you show|me that place?,"I can't, I already have plans for lunch.",40,0,0,
20,0,0,,I'll try the cafe.|See you later.,Welcome.  (She turns around|and heads out for lunch.),50,0,0,EndLunch()
30,0,0,,Let's go now!|(Eat with Amanda.),(You both walk out to a nearby|restaurant and find an empty table.),100,0,0,StartLunch()
40,0,0,,"Ok, see you later.",See you later then!|(She heads up for lunch.),50,0,0,EndLunch()
40,0,0,,Have a great|lunch then!,"Thanks, I will!  Same to you.|(She heads out for lunch.)",50,1,0,EndLunch()
40,0,0,,You suck.,Mmmh.  (She turns around|and heads out for lunch.),50,-1,0,EndLunch()
100,0,0,,So what do|you recommend?,Soup and salad are my favorite.|So do you like our college so far?,110,0,0,
100,0,0,,I'm starving!|What's good here?,(She looks away.)  It's all good here.|So do you like our college so far?,110,-1,1,
100,0,0,,I don't know what to eat.|Can you order for me?,You can try soup and salad if you want.|So do you like our college so far?,110,0,-1,
110,0,0,,Oh yes!  It seems|like a good academy.,Indeed!  And you're|studying here to work as?,120,0,0,GoodMatch()
110,0,0,,This college is|a nuts house.,I disagree.  And you're|studying here to work as?,120,-1,0,BadMatch()
110,0,0,,I've never seen a|kinky college like that.,(She giggles.)  And you're|studying here to work as?,120,0,0,
110,0,0,,It's hard to judge|from a few hours.,Very true.  And you're|studying here to work as?,120,0,0,GoodMatch()
110,0,0,,It's a pretty|boring school.,I guess some classes can be boring.|And you're studying here to work as?,120,0,0,
120,0,0,,A musician.,Ok.  And what's your favorite class?,130,0,0,
120,0,0,,A doctor.,Very nice.  And what's your favorite class?,130,0,0,GoodMatch()
120,0,0,,An athlete.,I'm pretty bad in sports.|And what's your favorite class?,130,0,0,BadMatch()
