Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,"Hi COMMON_PLAYERNAME, what's going on?",JenniferIntro.jpg
0,4,0,,COMMON_PLAYERNAME!  It's nice to see you again.,JenniferIntroHappy.jpg
0,0,4,,Hello Miss COMMON_PLAYERNAME.|What can I do for you?,JenniferIntroSubbie.jpg
0,0,0,JudoVictory,Oh!  The judo black belt!|What can I do for you?,JenniferIntroSubbie.jpg
0,0,0,JudoDefeat,Oh!  My judo partner!|What can I do for you?,JenniferIntro.jpg
0,0,0,HasEgg,This thing is still vibrating inside of me!|I hope it won't take too long to remove it.,JenniferIntroSubbie.jpg
10,0,0,,I'm going to play tennis before lunch.|Would you like to come with me?,JenniferIntro.jpg
10,4,0,,I'm going to play tennis before lunch.|Would you like to come with me?,JenniferIntroHappy.jpg
10,0,4,,I'm going to play tennis before lunch.|Would you like to come with me?,JenniferIntroSubbie.jpg
15,0,0,,I'm going to play tennis before lunch.|Would you like to play with me tomorrow?,JenniferIntro.jpg
15,4,0,,I'm going to play tennis before lunch.|Would you like to play with me tomorrow?,JenniferIntroHappy.jpg
15,0,4,,I'm going to play tennis before lunch.|Would you like to play with me tomorrow?,JenniferIntroSubbie.jpg
20,0,0,,Would you like to play tennis?|What do you have in mind?,JenniferIntro.jpg
20,4,0,,Would you like to play tennis?|What do you have in mind?,JenniferIntroHappy.jpg
20,0,4,,Would you like to play tennis?|What do you have in mind?,JenniferIntroSubbie.jpg
30,0,0,,What's the bet exactly?|The loser pays for lunch?,JenniferIntro.jpg
30,4,0,,What's the bet exactly?|The loser pays for lunch?,JenniferIntroHappy.jpg
30,0,4,,What's the bet exactly?|The loser pays for lunch?,JenniferIntroSubbie.jpg
40,0,0,,Are you ready to play?,JenniferIntro.jpg
40,4,0,,Are you ready to play?,JenniferIntroHappy.jpg
40,0,4,,Are you ready to play?,JenniferIntroSubbie.jpg
90,0,0,,(Jennifer is gone.),JenniferIntroGone.jpg
100,0,0,TennisVictory,"(After the game you walk to a cafe.)|You played well, you deserve a free lunch.",JenniferPlayerLunch0.jpg
100,0,0,!TennisVictory,"(After the game you walk to a cafe.)|Don't worry about losing, I've played for years.",JenniferPlayerLunch0.jpg
105,0,0,,,JenniferPlayerLunch0.jpg
110,0,0,,,JenniferPlayerLunch0.jpg
113,0,0,,,JenniferPlayerLunch0.jpg
116,0,0,,,JenniferPlayerLunch0.jpg
120,0,0,,,JenniferPlayerLunch0.jpg
130,0,0,,,JenniferPlayerLunch0.jpg
140,0,0,,,JenniferPlayerLunch0.jpg
150,0,0,,,JenniferPlayerLunch0.jpg
160,0,0,,,JenniferPlayerLunch0.jpg
170,0,0,,,JenniferPlayerLunch0.jpg
175,0,0,,,JenniferPlayerLunch0.jpg
180,0,0,,,JenniferPlayerLunch0.jpg
185,0,0,,,JenniferPlayerLunch0.jpg
200,0,0,,,JenniferPlayerTennis.jpg
210,0,0,,,JenniferPlayerKiss.jpg
215,0,0,,,JenniferPlayerTennis.jpg
220,0,0,,,JenniferPlayerTennis.jpg
230,0,0,,,JenniferPlayerTennis.jpg
240,0,0,,,JenniferStrip.jpg
250,0,0,,,JenniferPlayerTennis.jpg
260,0,0,,,JenniferPlayerTennis.jpg
270,0,0,,,JenniferPlayerKiss.jpg
300,0,0,,,JenniferPlayerTennis.jpg
310,0,0,,,JenniferPlayerTennis.jpg
320,0,0,,,JenniferPlayerTennis.jpg
330,0,0,,,JenniferPlayerPushUp.jpg
340,0,0,,,JenniferPlayerTennis.jpg
350,0,0,,,JenniferPlayerTennis.jpg
360,0,0,,,JenniferPlayerTennis.jpg
400,0,0,,,JenniferPlayerPunish.jpg
410,0,0,,,JenniferPlayerPunish.jpg
420,0,0,,,JenniferPlayerPunish.jpg
430,0,0,,,JenniferPlayerPunish.jpg
440,0,0,,,JenniferPlayerPunishStrip.jpg
450,0,0,,,JenniferPlayerPunishStrip.jpg
460,0,0,,,JenniferPlayerPunishRacket.jpg
470,0,0,,,JenniferPlayerPunishStrip.jpg
480,0,0,,,JenniferPlayerPunish.jpg
