Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,EggRemarkAvail,L'oeuf te rappellera|ta place.,Ma place ? (Elle baisse le regard.)|C'est... Ce n'est pas très gentil.,0,-1,1,EggRemark()
0,0,0,EggRemarkAvail,Désolée pour l'oeuf.|Tu l'enlèveras chez toi.,"Ça ira, j'imagine. N'en parlons plus.",0,1,-1,EggRemark()
0,0,0,,Tu vas faire|du tennis ?,Oui ! Tu veux jouer avec moi ?,10,0,0,
0,0,0,,Pourquoi es-tu|habillée comme ça ?,Je vais faire un peu de tennis.|Tu veux jouer avec moi ?,10,0,0,
0,0,0,,Tu es mignonne|avec cette jupe.,"Merci, c'est gentil ! Je vais faire un peu de tennis.|Tu veux jouer avec moi ?",10,1,0,
0,0,0,,Tu as l'air ridicule|avec cette jupe.,C'est dépassé ? Je vais faire un peu de tennis.|Tu veux jouer avec moi ?,10,-1,0,
0,0,0,,Cette jupe te|donne un beau cul.,(Elle regarde sa jupe et rougit.)|Tu veux jouer avec moi ?,10,0,1,
10,4,0,,Je veux bien jouer si la|gagnante est récompensée.,Récompensée?  Qu'as-tu en tête ?,20,0,0,
10,0,4,,J'en suis. Si tu veux|bien pimenter la partie.,Pimenter la partie ? Qu'as-tu en tête ?,20,0,0,
10,0,0,NoOption,On pourrait faire une|partie si tu veux.,Ok ! Mais je ne peux pas jouer avec toi aujourd'hui.|Veux-tu qu'on remette ça à demain ?,15,0,0,
10,0,0,NoOption,Bien sûr ! Jouons.|Ce sera amusant.,Super ! Mais je ne peux pas jouer avec toi aujourd'hui.|Veux-tu qu'on remette ça à demain ?,15,1,0,
10,0,0,,"Je ne peux pas jouer|maintenant, bon match.",Il le sera ! Merci.|(Elle te laisse pour aller jouer.),90,0,0,EndLunch()
10,0,0,,"Désolé, mais le tennis est|un jeu pour les enfants.","Entendu, madame. Bon déjeuner.|(Elle baisse les yeux et part jouer.)",90,-1,1,EndLunch()
10,0,0,,"J'aimerais bien, mais je|suis mauvaise au tennis.",Tu ne seras jamais bonne avec cette attitude.|(Elle prend ses affaires et part jouer.),90,0,-1,EndLunch()
15,0,0,,"Ok, nous ferons une|partie demain.",Marché conclu ! Bon déjeuner.|(Elle prend ses affaires et part jouer.),90,0,0,EndLunch()
