Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,"Salut, tu dois être nouvelle ?|Je ne t'avais jamais vu.",NatalieIntro.JPG
10,0,0,,"Moi c'est Natalie, tu cherches quelque chose ?",NatalieIntro.JPG
20,0,0,,Que dirais-tu de rejoindre un club|pendant la pause déjeuner ?,NatalieIntro.JPG
30,0,0,,Aimerais-tu venir au club Kinbaku ?,NatalieIntro.JPG
40,0,0,,Tu peux essayer la cafétéria au bout|du couloir ou trouver un café.,NatalieIntro.JPG
50,0,0,,,NatalieIntroGone.jpg
100,0,0,,,NatalieClubIntro.jpg
110,0,0,,,NatalieClubroom.jpg
120,0,0,,,NatalieHoldingRope.jpg
130,0,0,,,NataliePlayerIsSubLunch.jpg
140,0,0,,,NataliePlayerIsDomLunch.jpg
150,0,0,,,NataliePlayerIsSubLunchTied.jpg
160,0,0,,,NataliePlayerIsDomLunchTied.jpg
170,0,0,,,NatalieJennaLunch.jpg
180,0,0,,,NatalieJennaLunch.jpg
200,0,0,,,NataliePlayerSubLunch0.jpg
210,0,0,,,NataliePlayerSubLunch0.jpg
220,0,0,,,NataliePlayerSubLunch0.jpg
230,0,0,,,NataliePlayerSubLunch0.jpg
240,0,0,,,NataliePlayerSub.jpg
250,0,0,,,NataliePlayerDomLunch0.jpg
260,0,0,,,NataliePlayerDomLunch0.jpg
270,0,0,,,NataliePlayerDomLunch0.jpg
280,0,0,,,NataliePlayerDomLunch0.jpg
290,0,0,,,NataliePlayerDomLunch0.jpg
300,0,0,,,NataliePlayerDom.jpg
310,0,0,,,NataliePlayerBadAdvance.jpg
320,0,0,,,NataliePlayerBadTied1.jpg
330,0,0,,,NataliePlayerBadTied2.jpg
340,0,0,,,NataliePlayerBadNosePinch.jpg
350,0,0,,,NataliePlayerBadGag.jpg
360,0,0,,,NataliePlayerBad.jpg
365,0,0,,,NataliePlayerBadWait.jpg
370,0,0,,,NataliePlayerBadUngagged.jpg
380,0,0,,,NataliePlayerBadLeaving.jpg
400,0,0,,,NataliePlayerDom.jpg
405,0,0,,,NataliePlayerDom.jpg
410,0,0,,,NataliePlayerDom.jpg
420,0,0,,,NataliePlayerDomNoUniform.jpg
430,0,0,,,NataliePlayerDomNoUniform.jpg
450,0,0,,,NataliePlayerDomNoUniform.jpg
460,0,0,,,NataliePlayerDomNoUniform.jpg
470,0,0,,,NataliePlayerEvilLeaving.jpg
480,0,0,,,NataliePlayerDomTooEarly.jpg
490,0,0,,,NataliePlayerDomTalking.jpg
500,0,0,,,NataliePlayerSub.jpg
505,0,0,,,NataliePlayerSubTalking.jpg
510,0,0,,,NataliePlayerSubTalking.jpg
520,0,0,,,NataliePlayerSubTalking.jpg
530,0,0,,,NataliePlayerSubUndress.jpg
540,0,0,,,NataliePlayerSubUnderwearTied.jpg
550,0,0,,,NataliePlayerIsBlindfolded.jpg
560,0,0,,,NataliePlayerIsBlindfolded.jpg
570,0,0,,,NataliePlayerIsBlindfolded.jpg
580,0,0,,,NataliePlayerIsBlindfolded.jpg
590,0,0,,,NataliePlayerSubAsking.jpg
600,0,0,,,NatalieJennaUntie.jpg
610,0,0,,,NataliePlayerJenna.jpg
620,0,0,,,NataliePlayerHugStart.jpg
630,0,0,,,NataliePlayerHugCuffs.jpg
640,0,0,,,NataliePlayerHugCuffsGag.jpg
650,0,0,,,NataliePlayerHugGaggedTogether.jpg
660,0,0,,,NataliePlayerHug.jpg
661,,,,,NataliePlayerHugIntensify
661,,,,,NataliePlayerHugIntensifyDrop
661,,,,,NataliePlayerHugIntensifyKnee
661,,,,,NataliePlayerHugIntensifyDropKnee
670,0,0,,,NataliePlayerHugHeldUp.jpg
680,0,0,,,NataliePlayerHugRelease.jpg
685,0,0,,,NataliePlayerHugTalk.jpg
690,0,0,,,NataliePlayerHugTimesUp.jpg
700,0,0,,,NataliePlayerGoodLeaving.jpg
