Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,"Hello, yes I just transferred.",I thought so. The names Natalie.,10,0,0,
0,0,0,,"Hi, first day but|feels like weeks already.","First days can feel like that.|Natalie, please to meet you.",10,0,0,
0,0,0,,"I am, but you might|see a lot more of me now.","Cool, I'm Natalie.",10,1,0,
0,0,0,,New? I feel I have been|here longer than you.,"Ok that was pretty blunt, sorry.|My name is Natalie.",10,0,1,
10,0,0,,Could you tell me where|the cafeteria is?,"If really want, but its pretty poor.|I have lunch with a college club instead.",20,0,0,
10,0,0,,I'm really hungry.|Could you help please?,There is more to lunch break than just food.|Have you considered joining a club?,20,0,-1,
10,0,0,,Where's best to get|lunch round here?,"Quite a few students use a local café,|but best I reckon is club lunches.",20,1,0,
20,0,0,,"Clubs, I'm game for that.|Bring it on.","I'm in the Kinbaku club,|which is by far the best.",30,1,1,
20,0,0,,"A club, would any|want me to join?",Of course. The Kinbaku club would just love you.,30,1,-1,
20,0,0,,"Clubs, aren't they|just for Geeks?","You have got to be kidding me,|Kinbaku club is way cooler than that.",30,0,0,
20,0,0,,Clubs! No chance.|I just want food.,If that's your attitude then you best find the cafeteria.,40,-1,0,
20,0,0,,Clubs aren't my thing.|Too many initiations.,"Ok then, I must be going. Someone|else will show you to a nice cafe.",40,0,0,
30,0,0,,Let's go then|(Go to club with Natalie.),(Natalie takes you into a|nearby spare classroom.),100,0,0,StartLunch()
30,0,0,,"Maybe not,|I really need a good meal.","OK then, you could brave the cafeteria|or find a cafe.",40,0,0,
40,0,0,,Enjoy your |lunch break then!,Absolutely!  (She waves|and walks away.),50,1,0,EndLunch()
40,0,0,,"OK, see you around.",Of course!  (She waves|and walks away.),50,0,0,EndLunch()
40,0,0,,You suck.,"No, you suck!  (She turns|around and storms away.)",50,-2,0,EndLunch()
100,0,0,,Wow is that a|reverse prayer?,"Yes, you seem to know you stuff.|Chloe is just stretching after a ballet lesson.",110,1,0,
100,0,0,,Is she OK?|That looks harsh.,"Of course, Chloe is as flexible doing|stretches as she is in ballet.",110,0,0,
100,0,0,,I'm not sure|I could manage that.,We can't all be as flexible as Chloe.,110,0,-1,
100,0,0,,"Oh my, I didn't know|what Kinbaku was.",Literally it means 'tight binding'.|Don't worry you'll be fine.,110,0,-1,
100,0,0,,Cool I bet you would|look good tied like that.,"Thank you, but I'm not quite as|flexible as Chloe over there is.",110,1,1,
110,0,0,,You did mention|food earlier.,"Yes, there is a takeout delivery ordered.|How about a quick tie while we wait?",120,0,0,
110,0,0,,So where is the food?|I'm hungry now.,There's a takeout coming.|Would you like to try some tying till then?,120,-1,1,
110,0,0,,Could I have some|lunch now please?,"Just wait a moment, its being delivered|Some Kinbaku will pass the time.",120,0,-1,
120,0,0,,Can I tie you up?,Certainly not. A new member|must learn the ropes first.,130,-1,-1,
120,0,0,,Can you tie me up?,"Of course, it's a new member's duty to be tied first.",130,0,-1,
120,1,1,,Only if I tie you up first?,"Well OK then, normally new members get tied first.|The club has lots of rope you can use.",140,0,1,
120,1,1,,I suppose the newbie|gets tied first?,"Of course, but I might have let|you tie me up first, too late now.",130,1,-1,
130,0,0,,Wow this is exciting.,(She pulls your arms back behind you and|tightly binds them) It sure is.,150,1,0,PlayerRope()
130,0,0,,Ouch not too tight please.,But it has to be tight.  (She pulls your|arms behind you back and tightly binds them.),150,-1,0,PlayerRope()
130,0,0,,"OK miss, but|please be gentle.",You're so sweet.  (She pulls your arms behind|your back and tightly binds them.),150,1,-1,PlayerRope()
140,0,0,,Get your arms|behind you now.,Yes miss.  (You pull her arms up behind her|back and tightly bind them.),160,0,1,NatalieTied()
140,0,0,,You will look great|tied up in ropes.,(You pull her arms behind her back and tightly|bind them) I'm glad you're enjoying this.,160,1,0,NatalieTied()
150,0,0,,Is that the food delivery?,"(Jenna comes in with food.)|I order pizzas this time, help your sub tuck in.",170,0,0,
160,0,0,,Is that the food delivery?,"(Jenna comes in with food.)|I order pizzas this time, help your sub tuck in.",180,0,0,
170,0,0,,Natalie can you|help me eat please?,"Sure, as you've been good sport.|So do you like the school so far?",200,1,-1,
170,0,0,,Come on Natalie|I've been waiting for this.,"Sure, as you let me bind you.|So do you like the school so far?",200,1,0,
180,0,0,,"Would you like some,|Natalie?",I sure do.|So do you like the school so far?,250,0,0,
180,0,0,,"Do you deserve some,|Natalie?",Oh yes I do miss.|Do you like the school so far?,250,0,1,
200,0,0,,Oh yes!  It seems|like a good academy.,"Yes and no, some classes are more practical.|And what do you want to do in life?",210,0,0,Eat()
200,0,0,,This college is|a nuts house.,It seems sensible enough to me.|And what do you want to do in life?,210,0,0,EatBadMatch()
200,0,0,,I've never seen a|kinky college like that.,(She laughs out loud.)  Absolutely!|And what do you want to do in life?,210,1,0,EatGoodMatch()
200,0,0,,It's hard to judge|from a few hours.,I've been here a while and still not sure either.|And what do you want to do in life?,210,0,0,EatGoodMatch()
200,0,0,,It's a pretty|boring school.,"Yeah, some classes can get boring I guess.|And what do you want to do in life?",210,0,0,Eat()
210,0,0,,A musician.,Cool!  And what's your favorite class?,220,0,0,EatGoodMatch()
210,0,0,,A doctor.,That's nice.  And what's your favorite class?,220,0,0,Eat()
210,0,0,,An athlete.,Cool!  And what's your favorite class?,220,0,0,EatGoodMatch()
210,0,0,,A teacher.,They just brain wash kids.|And what's your favorite class?,220,-1,0,EatBadMatch()
210,0,0,,An actor.,That's nice.  And what's your favorite class?,220,0,0,Eat()
210,0,0,,A dominatrix.,(She grins.)  And what's your favorite class?,220,1,0,Eat()
210,0,0,,An architect.,That's nice.  And what's your favorite class?,220,0,0,Eat()
210,0,0,,A farmer.,My cousin's one.  She taught me a lot of knots.|And what's your favorite class?,220,0,0,EatGoodMatch()
210,0,0,,A programmer.,Boring!  And what's your favorite class?,220,0,0,EatBadMatch()
210,0,0,,I don't know yet.,Come on you must have some idea.|What's your favorite class?,220,0,0,EatBadMatch()
220,0,0,,Math.,At least numbers don't lie?|And what do you do outside of school?,230,0,0,Eat()
220,0,0,,Music.,Cool!  And what do you do outside of school?,230,0,0,EatGoodMatch()
220,0,0,,English.,The literature is just creative lying.|And what do you do outside of school?,230,0,0,EatBadMatch()
220,0,0,,Gym.,The Hojojutsu lessons are great.|And what do you do outside of school?,230,0,0,EatGoodMatch()
220,0,0,,Chemistry.,Explosive reactions are fun.|And what do you do outside of school?,230,0,0,EatGoodMatch()
220,0,0,,French.,Boring!  And what do you do outside of school?,230,0,0,EatBadMatch()
220,0,0,,Art.,At least Julia is a laugh!|And what do you do outside of school?,230,0,0,Eat()
220,0,0,,History.,That's nice.  And what do you do outside of school?,230,0,0,Eat()
220,0,0,,Theatre.,That's nice.  And what do you do outside of school?,230,0,0,Eat()
220,0,0,,I don't know.,"Don't worry it's about learning, not knowing.|And what do you do outside of school?",230,0,0,Eat()
230,0,0,,Basketball.,That's nice.  (You all finish the pizzas.),240,0,0,Eat()
230,0,0,,Rock music.,Awesome!  (You all finish the pizzas.),240,0,0,EatGoodMatch()
230,0,0,,Video games.,Cool!  (You all finish the pizzas.),240,0,0,EatGoodMatch()
230,0,0,,Cheerleading.,That's nice.  (You all finish the pizzas.),240,0,0,Eat()
230,0,0,,Going to parties.,That's nice.  (You all finish the pizzas.),240,0,0,Eat()
230,0,0,,Role playing games.,Cool!  (You all finish the pizzas.),240,0,0,EatGoodMatch()
230,0,0,,Getting drunk.,"Getting is fine, recovering sucks.|(You all finish the pizzas.)",240,0,0,EatBadMatch()
230,0,0,,Classical music.,That's nice.  (You all finish the pizzas.),240,0,0,Eat()
230,0,0,,Making love.,(She smiles.)  You're so kinky!|(You all finish the pizzas.),240,1,0,EatGoodMatch()
230,0,0,,I don't have|any hobbies.,Seriously?  (You all finish the pizzas.),240,0,0,EatBadMatch()
240,0,0,,So what do we do now?,Isn't that obvious.,320,0,0,TestMatch()
240,0,0,,Can we do some more|Kinbaku now?,Oh yes.,320,1,0,TestMatch()
250,0,0,,Oh yes!  It seems|like a good academy.,"Yes and no, some classes are more practical.|And what do you want to do in life?",260,0,0,Eat()
250,0,0,,This college is|a nuts house.,It seems sensible enough to me.|And what do you want to do in life?,260,0,0,EatBadMatch()
250,0,0,,I've never seen a|kinky college like that.,(She laughs out loud.)  Absolutely!|And what do you want to do in life?,260,0,0,EatGoodMatch()
250,0,0,,It's hard to judge|from a few hours.,I've been here a while and still not sure either.|And what do you want to do in life?,260,0,0,EatGoodMatch()
250,0,0,,It's a pretty|boring school.,"Yeah, some classes can get boring I guess.|And what do you want to do in life?",260,0,0,Eat()
260,0,0,,A musician.,Cool!  And what's your favorite class?,270,0,0,EatGoodMatch()
260,0,0,,A doctor.,That's nice.  And what's your favorite class?,270,0,0,Eat()
260,0,0,,An athlete.,Cool!  And what's your favorite class?,270,0,0,EatGoodMatch()
260,0,0,,A teacher.,They just brain wash kids.|And what's your favorite class?,270,-1,0,EatBadMatch()
260,0,0,,An actor.,That's nice.  And what's your favorite class?,270,0,0,Eat()
260,0,0,,A dominatrix.,(She grins.)  And what's your favorite class?,270,1,0,Eat()
260,0,0,,An architect.,That's nice.  And what's your favorite class?,270,0,0,Eat()
260,0,0,,A farmer.,My cousin's one.  She taught me a lot of knots.|And what's your favorite class?,270,0,0,EatGoodMatch()
260,0,0,,A programmer.,Boring!  And what's your favorite class?,270,0,0,EatBadMatch()
260,0,0,,I don't know yet.,Come on you must have some idea.|What's your favorite class?,270,0,0,EatBadMatch()
270,0,0,,Math.,At least numbers don't lie?|And what do you do outside of school?,280,0,0,Eat()
270,0,0,,Music.,Cool!  And what do you do outside of school?,280,0,0,EatGoodMatch()
270,0,0,,English.,The literature is just creative lying.|And what do you do outside of school?,280,0,0,EatBadMatch()
270,0,0,,Gym.,The Hojojutsu lessons are great.|And what do you do outside of school?,280,0,0,EatGoodMatch()
