Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,"Salut, je viens|d'être transférée.",C'est bien ce que je pensais. Je m'appelle Natalie.,10,0,0,
0,0,0,,"En effet, j'ai l'impression|que ça fait des semaines.","Les premiers jours peuvent nous donner|cette sensation. Natalie, ravie de te rencontrer.",10,0,0,
0,0,0,,"C'est ça, mais tu me verras|plus souvent maintenant.","Cool, moi c'est Natalie.",10,1,0,
0,0,0,,Je connaissais cet endroit|bien avant toi.,"D'accord, c'était un peu trop direct, désolée.|Mon nom est Natalie.",10,0,1,
10,0,0,,Peux-tu me dire où|se trouve la cafétéria ?,"Si tu y tiens vraiment, mais c'est plutôt médiocre.|Je déjeune avec un club universitaire à la place.",20,0,0,
10,0,0,,"J'ai vraiment faim. Peux-tu|m'aider, s'il te plaît ?",La pause déjeuner ne se limite pas à la nourriture.|As-tu songé à rejoindre un club ?,20,0,-1,
10,0,0,,Où se trouve le meilleur|endroit pour déjeuner ici ?,"Un bon nombre d'étudiantes utilise un café local,|mais le mieux, c'est les déjeuners du club.",20,1,0,
20,0,0,,"Les Clubs, Je suis partante|pour ça. Allons-y.","Je suis dans le club Kinbaku,|qui est de loin le meilleur.",30,1,1,
20,0,0,,"Un club, est-ce qu'il y en a|un qui voudrait de moi ?",Bien sûr. Le club Kinbaku t'adorerait.,30,1,-1,
20,0,0,,"Les clubs, ce n'est pas|juste pour les Geeks ?","Tu dois te moquer de moi,|le club Kinbaku est bien plus cool que ça.",30,0,0,
20,0,0,,Les clubs ! Aucune chance.|je veux juste à manger.,"Si c'est ton attitude, tu ferais|mieux de trouver la cafétéria.",40,-1,0,
20,0,0,,"Les clubs, c'est pas mon|truc. Trop d'initiations.","D'accord, sur ce, je dois y aller. Quelqu'un|d'autre te montrera un bon café.",40,0,0,
30,0,0,,"Allons-y, alors.|(Tu vas au club de Natalie.)",(Natalie t'emmène dans une salle de classe près d'ici.),100,0,0,StartLunch()
30,0,0,,"Sans doute mais, j'ai|besoin d'un bon repas.","D'accord, dans ce cas tu pourrais|braver la cafétéria ou trouver un café.",40,0,0,
40,0,0,,Profite bien de ta|pause déjeuner alors !,Merci ! (Elle te salue et s'en va.),50,1,0,EndLunch()
40,0,0,,"D'accord, à plus tard.",Salut ! (Elle te salue et s'en va.),50,0,0,EndLunch()
40,0,0,,Ce que tu crains.,"Non, c'est toi qui craint !|(Elle se retourne et décampe.)",50,-2,0,EndLunch()
