Tag,Content
Chloe1,(Chloe is now completely tied up and suspended|above the ground.  They all ignore your plight.)
Chloe2,"(They have strapped some vibrators on to Chloe.|She shivers, swings and moans happily into her gag.)"
NatalieReturns,(Natalie walks back and stands over you.)
Remote1,(Natalie starts to tremble.|Your remote must control her vibrator.)
Remote2,(Natalie trembles more and|moans softly through your gag.)
Remote3,"(Natalie trembles hard and moans loader.  Suddenly|your vibrator peaks, in shock you drop the remote)"
Orgasm,(You explode on a wonderful orgasm.|Natalie holds you up as you collapse in here arms.)
JennaReturns,(Jenna walks over removes the vibrators.)|Times up you two.
OutOfTime,(You realise your next lesson is about to start.|You release her and she tidies her self.)
SubbieMasturbate,(Natalie's touch gives you a wonderful orgasm.|When it subsides she releases you.)
NoMasturbate,(She pushes you hands away.|You're meant to be 'tight binding' her.)
NatalieOrgasm1,(She trembles with a sweet orgasm|but she seems to be repressing it.)
NatalieOrgasm2,"(Unable to contain herself any longer,|she explodes on a terrific orgasm.)"
Cuffs,"(This is a Kinbaku club, it doesn't seem|like the right time to use handcuffs.)"
KissGagged,(You kiss her gag. She tries to kiss you|back and mews softly into here gag.)
KissTied,"(You kiss passionately, she gently bites|your lip as you finish and pull away.)"
TickleTied,"(She thrashes wildly and laughs, she is very|ticklish, but is in no position to resist you now.)"
SubbieNoItem,(She pushes your hand and the item away.)|I already have everything I need to make you mine.
TogetherNoItem,(Jenna pushes your hand and the item away.)|I already have enough to bring you two closer together.
SecondRope,(You push her over a nearby desk and use more|rope to tie her body and legs to it.)
FirstRope,"(You tightly bind her body and arms,|making her quietly moan with approval.)"
Blindfold,"(You strap the blindfold over her eyes.  It seems to|make her nervous, not knowing where her captor is.)"
BallGag,(She playfully resists you for a while before|opening her mouth and accepting the ball.)
ClothGag,(She playfully resists you for a while before|opening her mouth and accepting the wadding.)
TapeGag,"(She playfully resists you, before holding her|head still and mouth closed for you to tape shut.)"
Crop,(You whip her with the crop a few times.|She squeals with pain and submits to you.)
VibratingEgg,"(She tries hard to resist you, but you're able|to slide it in, making her shiver.)"
Collar,(You need +20 submission or better|and a special ceremony to collar Natalie.)
LeaveBoundAndGagged,(Do you really want to abandon her bound|and gagged?  Click again to do so.)
