Tag,Content
Chloe1,(Chloé est maintenant complètement attachée et|suspendue au-dessus du sol. Elles t'ignorent toutes.)
Chloe2,"(Elles ont attaché des vibros à Chloé. Elle frissonne,|se balance et gémit joyeusement dans son bâillon.)"
NatalieReturns,(Natalie revient et se tient au-dessus de toi.)
Remote1,(Natalie commence à trembler.|Ta télécommande doit contrôler son vibro.)
Remote2,(Natalie tremble un peu plus et gémit|doucement à travers votre bâillon.)
Remote3,"(Natalie tremble encore plus fort et gémit de plus belle.|Ton vibro vibre au max, tu en laches ta télécommande.)"
Orgasm,(Tu exploses avec un magnifique orgasme. Natalie|te retiens pendant que tu t'effondres dans ses bras.)
JennaReturns,(Jenna s'approche et enlève les vibros.)|Le temps est écoulé.
OutOfTime,(Tu réalises que ton prochain cours est sur le point|de commencer. Tu la relâches and elle se réarrange.)
SubbieMasturbate,(Le toucher de Natalie te donne un magnifique|orgasme. Pendant que tu récupères elle te libère.)
NoMasturbate,"(Elle repousse tes mains.|Tu es censée lui faire un ""lien serré"".)"
NatalieOrgasm1,"(Elle tremble et s'ensuit un orgasme doux,|mais elle semble le réprimer.)"
NatalieOrgasm2,"(Incapable de se contenir plus longtemps,|elle explose avec un superbe orgasme.)"
Cuffs,"(C'est le club Kinbaku, ça ne semble pas être|le bon moment pour utiliser les menottes.)"
KissGagged,(Tu l'embrasses sur son bâillon. Elle essaye de|t'embrasser en retour et elle miaule doucement.)
KissTied,"(Tu l'embrasses passionnément, elle te mordille avec|douceur la lèvre jusqu'à ce que tu t'arrêtes et te retires.)"
TickleTied,"(Elle se déchaîne sauvagement et rit, elle est très|chatouilleuse, et plus en mesure de te résister.)"
SubbieNoItem,(Elle repousse ta main et ton objet.) J'ai déjà tout|ce dont j'ai besoin pour que tu sois mienne.
TogetherNoItem,(Jenna repousse ta main et ton objet.)|J'en ai déjà bien assez pour vous rapprocher.
SecondRope,(Tu la pousses sur un bureau à coté et utilises plus|de corde pour y attacher son corps et ses jambes.)
FirstRope,"(Tu attaches fermement son corps et ses bras, la|faisant gémir tranquillement avec son approbation.)"
Blindfold,"(Tu attaches le bandeau sur ses yeux. Elle semble|nerveuse de ne pas savoir où est sa ravisseuse.)"
BallGag,(Elle s'amuse à te résister pendant un certain temps|avant d'ouvrir la bouche et d'accepter le ballon.)
ClothGag,(Elle s'amuse à te résister pendant un certain temps|avant d'ouvrir sa bouche et d'accepter la ouate.)
TapeGag,"(Elle te résiste joyeusement, puis immobilise sa tête et|ferme sa bouche pour que tu puisses lui coller le ruban.)"
Crop,(Tu la fouettes avec la cravache plusieurs fois.|Elle couine de douleur et elle se soumet.)
VibratingEgg,"(Elle essaye de te résister, mais tu arrives à lui|glisser à l'intérieur, ce qui la fait frissonner.)"
Collar,"(""+20"" en soumission ou plus et une cérémonie spéciale|sont nécéssaire pour faire porter un collier à Natalie.)"
LeaveBoundAndGagged,(Voulez-vous vraiment l'abandonner ligotée et|bâillonnée ? Cliquez à nouveau pour le faire.)
