Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,It's lunch time!  Are you hungry?,SarahIntro.jpg
0,5,0,,Sweet!  It's great to see you.|It's lunch time.  Are you hungry?,SarahIntroHappy.jpg
0,0,5,,Hi Miss.  (She looks at the floor.)|It's lunch time.  Are you hungry?,SarahIntroSubbie.jpg
5,0,0,,(Sarah sees you but run away.|She pretends to be in a hurry.),SarahIntroGone.jpg
10,0,0,,You can try the college cafeteria|if you want but the food isn't great.,SarahIntro.jpg
10,0,5,,If you're really hungry you can try|the cafeteria but I don't recommend it Miss.,SarahIntroSubbie.jpg
20,0,0,,There's a small cafe nearby|you could try if you want.,SarahIntro.jpg
20,0,5,,"Miss, there's a cafe nearby|you could try if you want.",SarahIntroSubbie.jpg
30,0,0,,Would you like to go|to the cafe with me now?,SarahIntro.jpg
30,0,5,,"Miss, would you like to leave|for the cafe with me right now?",SarahIntroSubbie.jpg
40,0,0,,Sorry I cannot go eat with you.|I already have plans for lunch.,SarahIntro.jpg
50,0,0,,,SarahIntroGone.jpg
100,0,0,,,SarahPlayerLunch0.jpg
110,0,0,,,SarahPlayerLunch0.jpg
120,0,0,,,SarahPlayerLunch0.jpg
130,0,0,,,SarahPlayerLunch0.jpg
140,0,0,,,SarahPlayerLunch0.jpg
150,0,0,,,SarahPlayerLunch0.jpg
160,0,0,,,SarahPlayerLunch0.jpg
170,0,0,,,SarahPlayerLunchGone.jpg
