Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,It's lunch time COMMON_PLAYERNAME.|Are you feeling hungry?,SarahIntro.jpg
0,5,0,,COMMON_PLAYERNAME!  It's great to see|you at lunch time.  Are you hungry?,SarahIntroHappy.jpg
0,0,5,,Hi Miss COMMON_PLAYERNAME.  (She looks at the floor.)|It's lunch time.  Are you feeling hungry?,SarahIntroSubbie.jpg
0,0,0,SubdueMildred,What you did to teacher Mildred was awesome.|It's lunch time now.  Are you feeling hungry?,SarahIntroSubbie.jpg
0,0,0,HasEgg,COMMON_PLAYERNAME!  The egg is still inside and I love|the random buzzes.  (She giggles.)  Are you hungry?,SarahIntroHappy.jpg
5,0,0,,(Sarah sees you but run away.|She pretends to be in a hurry.),SarahIntroGone.jpg
10,0,0,,You can try the college cafeteria|if you want but the food isn't great.,SarahIntro.jpg
10,0,5,,If you're really hungry you can try|the cafeteria but I don't recommend it Miss.,SarahIntroSubbie.jpg
20,0,0,,There's a small cafe nearby|you could try if you want.,SarahIntro.jpg
20,0,5,,"Miss, there's a cafe nearby|you could try if you want.",SarahIntroSubbie.jpg
30,0,0,,Would you like to go|to the cafe with me now?,SarahIntro.jpg
30,0,5,,"Miss, would you like to leave|for the cafe with me right now?",SarahIntroSubbie.jpg
40,0,0,,Sorry I cannot go eat with you.|I already have plans for lunch.,SarahIntro.jpg
50,0,0,,,SarahIntroGone.jpg
100,0,0,,,SarahPlayerLunch0.jpg
110,0,0,,,SarahPlayerLunch0.jpg
120,0,0,,,SarahPlayerLunch0.jpg
130,0,0,,,SarahPlayerLunch0.jpg
140,0,0,,,SarahPlayerLunch0.jpg
150,0,0,,,SarahPlayerLunch0.jpg
160,0,0,,,SarahPlayerLunch0.jpg
170,0,0,,,SarahPlayerLunchGone.jpg
180,0,0,,,RestroomDoor.jpg
190,0,0,,,SarahPlayerLunch0.jpg
200,0,0,,,SarahRestroom.jpg
210,0,0,,,SarahRestroom.jpg
220,0,0,,,SarahPlayerRestroomKiss.jpg
230,0,0,,,SarahRestroom.jpg
240,0,0,,,SarahPlayerRestroomNaked.jpg
250,0,0,,,SarahPlayerRestroomLove.jpg
260,0,0,,,SarahPlayerRestroomLove.jpg
270,0,0,,,SarahPlayerRestroomNaked.jpg
300,0,0,,,SarahPlayerLunch0.jpg
310,0,0,,,SarahPlayerLunch0.jpg
320,0,0,,,SarahPlayerLunch0.jpg
330,0,0,,,SarahLocker.jpg
340,0,0,,,SarahLocker.jpg
350,0,0,,,SarahLocker.jpg
