Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,J'ai une faim de loup !,(Elle chantonne.) J'ai une faim de loouup !|Tu vas manger à l'extérieur ou ici ?,10,1,0,
0,0,0,,Je n'en sais rien. Je songe|à sauter le déjeuner.,Ho ! Non ! Tu dois manger quelque chose.|Il y a la cafétéria sinon tu peux déjeuner à l'extérieur.,10,0,-1,
0,0,0,,J'ai faim de toi.,(Elle rit.) De quoi ?  De qui ?  De moi ?|Tu vas manger à l'extérieur ou ici ?,10,0,1,
0,0,0,,Faim ? Seulement s'ils ont|des aliments sans OGM.,J'ignore totalement ce que ça signifie.|Tu vas manger à l'extérieur ou ici ?,10,-1,0,
10,0,0,,Je ne sais pas.|Que devrais-je faire ?,Essaye le café près d'ici. J'y vais|souvent avec ma meilleure amie.,20,0,-1,
10,0,0,,Qu'est-ce qui|est le mieux ?,Le café près d'ici. J'y vais|souvent avec ma meilleure amie.,20,0,0,
10,0,0,,"Sortir ? Oh oui,|tout sauf rester ici.","Dans ce cas, essaye le café près d'ici.|J'y vais souvent avec ma meilleure amie.",20,-1,0,
20,5,0,,Ok ! M'accompagneras-tu|ma jolie ?,"Ma jolie ? (Elle rit et sourit.)|D'accord, on y va maintenant ?",30,1,0,
20,0,5,,Parfait ! Viens|avec moi jeune fille.,J'avais l'intention de... Ça ne fait rien.|Je serai ravie de vous montrer le café Madame.,30,0,1,
20,0,0,NoOption,Tu veux y aller avec moi ?,"Je peux pas, J'ai déjà quelque chose|de prévue pour le déjeuner.",40,0,0,
20,0,0,NoOption,Peux-tu me montrer|cet endroit ?,"Je peux pas, J'ai déjà quelque chose|de prévue pour le déjeuner.",40,0,0,
20,0,0,,Je vais essayer le café.|A plus tard.,Salut ! (Elle se retourne et s'en va déjeuner.),50,0,0,EndLunch()
30,0,0,,Allons-y maintenant !|(Tu pars déjeuner.),(Vous marchez jusqu'à un restaurant|près d'ici et vous trouvez une table vide.),100,0,0,StartLunch()
40,0,0,,"D'accord, à tout à l'heure.",Salut ! (Elle te salue et part déjeuner dehors.),50,0,0,EndLunch()
40,0,0,,"Bon appétit, alors !",De même ! (Elle te salue et part déjeuner dehors.),50,1,0,EndLunch()
40,0,0,,Tu crains.,"Non, c'est toi qui craint !|(Elle se retourne et part déjeuner dehors.)",50,-2,0,EndLunch()
100,0,0,,"Alors, qu'est-ce que|tu me recommandes ?",Le plateau de nachos déchire ici !|Est-ce que tu aimes notre école jusqu'ici ?,110,0,0,
