Tag,Content
SecondRope,"(Tu rajoutes plus de cordes autour des jambes|et les attaches fermement, la forçant à s'agenouiller.)"
FirstRope,"(Tu formes des cercles avec la corde sur son corps|pendant qu'elle teste, enjouée, tes talents de cordage.)"
Cuffs,(Elle acquiesce joyeusement pendant que|tu mets ses mains derrière son dos et la menottes.)
BallGag,(Elle rapproche sa tête pour que|tu puisses la bâilloner plus facilement.)
TapeGag,(Elle rapproche sa tête pour que|tu puisses la bâilloner plus facilement.)
Uncuff,(Elle se déplace joyeusement pour t'empêcher|de la libérer mais tu finis par y parvenir.)
Crop,"(Tu lui donnes coup rapide sur la poitrine avec|la cravache, ce qui à l'air de la faire crier de plaisir.)"
VibratingEgg,(Elle acquiesce en voyant l'oeuf et écarte ses jambes|pour que tu puisses le glisser à l'intérieur.)
Collar,"(""+20"" en soumission ou plus et une cérémonie spéciale|sont nécéssaire pour faire porter un collier à Sarah.)"
BackFromRestroom,(Sarah revient enfin des toilettes et s'assoit.)
OpenRestroomDoor,"(Sarah ouvre la porte et te laisse entrer.)|Rentre, Rentre !  C'est quoi l'urgence ?"
Orgasm,(Vous explosez toutes les deux avec un magnifique|orgasme qui vous est arrivé presque en même temps.)
LeaveBoundAndGagged,(Voulez-vous vraiment l'abandonner ligotée et|bâillonnée ? Cliquez à nouveau pour le faire.)
