Tag,Content
FirstRope,(Too stone or too enthralled by you.|She lets you do a full rope harness on her.)
SecondRope,(You remove her boots and tightly|wrap a second rope around her legs.)
Cuffs,(She stares idly at the cuffs while you|easily manage to snap them behind her back.)
BallGag,(She frowns at the BallGag but doesn't|resist much as you strap it around her head.)
TapeGag,(She looks idly at you while you|apply some tape over her mouth.)
Uncuff,(You unlock the cuffs on her and she|brings back her hands in front of her very slowly.)
Crop,(She moans a little when you hit her with|the crop but doesn't seem to mind that much.)
VibratingEgg,(She barely notices that you slide the egg|in her vagina but starts to moan randomly.)
Collar,(You need +20 submission or better|and a special ceremony to collar Sidney.)
Extortion,(Sidney comes back and laughs at you.)|So what will you do when I ask for money?
InviteWeed,"Yep!  You can't go wrong with meat.|I'm going to smoke some weed, are you coming?"
StripLove,(You smile at each other while you|slowly unbutton her blouse and remove her skirt.)
StripSub,(You pin her against the wall while|unbuttoning her blouse and removing her skirt.)
MasturbateLove,(You bend down and gently masturbate|her while she closes her eyes and moans.)
MasturbateSub,(You pin her against the wall and masturbate|her pretty fast while she moans with pleasure.)
ReadyForOrgasm,(She starts to breath and moan pretty|fast.  She seems very close to an orgasm.)
LeaveBoundAndGagged,(Do you really want to abandon her|bound and gagged?  Click again to do so.)
