Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,IsHeroine,So you're joining the drama act.|I'm playing the heroic white knight.,Background.jpg
0,0,0,!IsHeroine,So you're joining the drama act.|I'm playing the villain black knight.,Background.jpg
0,5,0,IsHeroine,It's so nice to see you join the act.|I'm playing the heroic white knight.,Background.jpg
0,5,0,!IsHeroine,It's so nice to see you join the act.|I'm playing the villain black knight.,Background.jpg
10,0,0,,Now cover your eyes so I can change.,Background.jpg
10,0,5,,"Miss, can you please cover|your eyes so I can change?",Background.jpg
20,0,0,,,CoverEyes.jpg
30,0,0,,Why didn't you keep your eyes covered?,Background.jpg
40,0,0,,I guess you can see me change.|Can you help me put this armor?,Background.jpg
40,0,0,Common_PlayerGagged,You look cute with that gag.|Can you help me put this armor?,Background.jpg
40,0,0,Common_PlayerRestrained,Why are you still restrained?|You won't be able to help me.,Background.jpg
50,0,0,SarahMissing,Sarah is late for class again.|Should we go without her?,Background.jpg
50,0,0,!SarahMissing,Is everyone ready for the play?,Background.jpg
100,0,0,,(Amanda is still recovering|from a wonderful orgasm.),BackgroundOrgasm.jpg
