Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Is it the place to|get our costume?,"Yes, I'm sure you'll find a costume like I did.|Now please cover your eyes while I change.",10,0,0,
0,0,0,SarahMissing,Where is the|third actor?,"Sarah is the third one, but she's late as usual.|Let's hope she joins us before we start.",0,0,0,
0,0,0,IsHeroine,The heroine is a|perfect role for you.,(She giggles)  You're so sweet!|Now cover your eyes while I change.,10,1,0,
0,0,0,!IsHeroine,"Strange, I don't see|you playing a villain.",I agree!  I think Julia wants to challenge me.|Now please cover your eyes while I change.,10,1,0,
0,0,0,IsHeroine,You?  The heroine?,"Hey!  I'm a good person, I can do it!|Now cover your eyes while I change.",10,-1,1,
0,0,0,!IsHeroine,I should be the villain|and kidnap you.,(She nods.)  That could also be fun I guess.|Now please cover your eyes while I change.,10,-1,1,
0,0,0,,Drama class is stupid.,Don't say that!  It's very cultural.|Now cover your eyes while I change.,10,-1,0,
10,5,0,,My friend.  I could|help you to change.,I guess you're right.  I'll remove my|clothes then.  (She strips down.),40,0,0,Strip()
10,0,5,,Common girl.|Drop this skirt.,Yes.  I shouldn't be shy.  (She strips.)|Can you please help me to wear my armor?,40,0,0,Strip()
10,0,0,,I cannot see|you change?,"No, please cover your eyes.|It will only take a minute.",10,0,0,
10,0,0,!Common_PlayerRestrained,(Cover your eyes.),(You cover your eyes with both|hands while she starts to change.),20,0,0,StripNoLeave()
20,0,0,,(Keep the cover.)|(1 minute),(You can hear a metal costume clicking.)|Give me one more minute please.,20,0,0,Changing()
20,0,0,,(Take a peek.)|(1 minute),(You keep cover but peek between your fingers.|You partially see Amanda struggling to put an armor.),20,0,0,Changing()
20,0,0,,(Stop covering|your eyes.),Hey!  Why didn't you|keep your eyes covered?,30,-1,0,
30,0,0,,It was taking|way too long.,"It's not easy to dress in this armor.|Instead of complaining, can you help me?",40,-1,0,CheatedCover()
30,0,0,,You can't do it|without help.,"Yeah, maybe I do need some help.|Can you help me to wear this armor?",40,0,1,CheatedCover()
30,0,0,,I thought you could|use some help.,"That's very sweet of you.  Alright,|can you help me to wear this armor?",40,1,-1,CheatedCover()
30,0,0,,You're so beautiful.|I wanted to see you.,Alright then.  But since you cheated|can you help me to wear this armor?,40,1,0,CheatedCover()
30,0,0,,I'm sorry.|I cheated.,At least you're honest.  Since you cheated|can you help me to wear this armor?,40,0,-1,CheatedCover()
40,0,0,PlayerIsRoped,(Turn and point|to your ropes.),"You're so cute like that, I can't untie you,|Try to struggle some more to reach a knot.",40,0,0,TestUntiePlayer()
40,0,0,IsBothFree,You know that|you're pretty?,(She giggles and blushes.)|You're also very pretty.,40,0,0,PrettyComment()
40,0,0,IsBothFree,You would look|great tied up.,(She blushes.)  It might not|be the best time for that.,40,0,0,
40,0,0,IsBothFree,(Help her dress.)|(1 minute),(You help her dress in her armor.)|Thanks!  Are we ready for the play?,50,0,0,Costume()
40,0,0,IsBothFree,"Amanda, would you|like to tie me up?","Oh my god, Miss, that wouldn't be proper.|(She bows her head and looks away.)",40,0,0,RandomBondage()
40,0,0,!Common_PlayerRestrained,(Tickle her.)|(1 minute),"(You tickle her on the ribs and she|laughs out loud, she's enjoying it.)",40,0,0,Tickle()
40,0,0,!Common_PlayerRestrained,(Spank her.)|(1 minute),"(You give her a quick spank and she|steps back, she didn't seem to like it.)",40,0,0,Spank()
40,5,0,!Common_PlayerGagged,(Kiss her.)|(1 minute),(You kiss her slowly and lovingly.|She moans and shivers of pleasure.),40,0,0,Kiss()
40,0,5,!Common_PlayerRestrained,(Slap her.)|(1 minute),(You slap her hard on the face and the|breast while she cowers in fear of you.),40,0,0,Slap()
40,0,0,!Common_PlayerRestrained,(Masturbate her.)|(1 minute),(You bend down to masturbate her|but she pushes your hand away.),40,0,0,Masturbate()
40,0,0,CanUntie,(Untie her.)|(1 minute),(She fights you playfully|but you're able to untie her.),40,0,0,Untie()
40,0,0,CanUngag,(Ungag her.)|(1 minute),(She moves her head in circle|but you're able to remove the gag.),40,0,0,Ungag()
50,0,0,IsPlayReady,Let's do some drama!|(Join the drama class.),,50,0,0,StartDrama()
50,0,0,!IsPlayReady,Everyone isn't ready.,Let's get dressed quickly then!,50,0,0,
