Tag,Content
ChangeComplete,I'm done!  (You uncover your eyes.)|Is everyone ready for the play?
CheaterPunishment,"No excuses, you need to learn a lesson!|(She strips you to your underwear and tie you up.)"
DressWithBelt,"(You help her dress but she's angry at you.)|Fine, but you better unlock that belt after the play."
RefuseBondage,(She sees your item and quickly pushes|it away.  You need +2 submission or better.)
RefuseBelt,(You show her the belt but she looks|angry and quickly pushes it away.)
PlayerRandomBondage,Alright.  (Amanda picks some random|items in your bag and restrains you.)
UndressBeforeBondage,"Mmmh, sure, why not.|But you need to undress."
NoBondageItem,(She checks your bag.)  Sorry COMMON_PLAYERNAME.|You don't have anything I could use on you.
UntiePlayer,You're cute tied up but I can help.|(She undoes the knots and releases you.)
UnstrapPlayer,You're cute in that binder but I will help you.|(She undoes the straps and laces to release you.)
Collar,(You need +20 submission or better|and a special ceremony to collar Amanda.)
Crop,(You whip her pretty hard while she|struggles and whimpers.  She doesn't like it.)
Rope,(You wrap the rope around her body|while she tries to hide her excitement.)
TwoRopes,(You pick a second rope and tie|her legs in a kneeling position.)
Cuffs,(She doesn't resist much while you grab|her hands and cuff them behind her back.)
Armbinder,(She slowly turns around so you can slide|her arms in the leather binder and strap it.)
BallGag,(She struggles a little but you're|able to strap the gag on her head.)
TapeGag,(She struggles a little but you're|able to tape her mouth shut.)
ClothGag,(She struggles a little but you're able to|push the wad inside her mouth and tie the gag.)
CuffsKey,(She positions her hands so|you can unlock her easily.)
VibratingEgg,(She closes her legs when she sees|the egg but you're able to slide it in.)
ChastityBelt,(She panics when she sees the belt|but you're able to lock it tightly on her.)
MasturbateBelt,(You try to masturbate her but fail.|You can barely fit a finger under her belt.)
Masturbate,(You masturbate her at a good pace|but she stays silent and struggles.)
MasturbateGood,(You masturbate her at a good pace|and she can't hide her pleasure moans.)
MasturbateOrgasm,(She trembles like a leaf and gets a|nice orgasm right in the dressing room.)
StripBeforeFun,What are you doing with that?|I'm trying to change if you don't mind.
CostumeBlocksFun,There's no time for that.|I'm already wearing my armor.
TakeKey,"A subbie like you shouldn't have any|keys, I'll take it.  (She takes your cuffs key.)"
UncuffAccept,You're cute in these cuffs but I can help.|(She takes her key and unlocks your cuffs.)
UncuffRefuse,"Nope!  (She dangles her key in front of you.)|Struggle some more, maybe you'll slip out."
CannotFree,(She points to her own restrains and sighs.)
CannotFreeGagged,(She shakes her head from left to right.)
HelpWhileGagged,(She slowly helps you out of your|restrains while giggling in her gag.)
