Stage,LoveReq,SubReq,VarReq,IntroText,Image
100,0,0,PlayerIsDamsel,(The white knight is starting the play.),Background.jpg
100,0,0,!PlayerIsDamsel,(She's watching the white knight.),Background.jpg
110,0,0,PlayerIsDamsel,(The black knight is next.),Background.jpg
110,0,0,!PlayerIsDamsel,(She's watching the black knight.),Background.jpg
120,0,0,PlayerIsDamsel,(The white knight is next.),Background.jpg
120,0,0,!PlayerIsDamsel,(She's watching the white knight.),Background.jpg
130,0,0,PlayerIsDamsel,(The black knight is next.),Background.jpg
130,0,0,!PlayerIsDamsel,(She's watching the black knight.),Background.jpg
140,0,0,PlayerIsDamsel,"(As the damsel, this is your line.)",Background.jpg
140,0,0,!PlayerIsDamsel,(She's about to say her line.),Background.jpg
150,0,0,PlayerIsDamsel,"(As the damsel, this is your line.)",Background.jpg
150,0,0,!PlayerIsDamsel,(She's about to say her line.),Background.jpg
160,0,0,PlayerIsDamsel,"(As the damsel, this is your line.)",Background.jpg
160,0,0,!PlayerIsDamsel,(She's about to say her line.),Background.jpg
200,0,0,PlayerIsDamsel,(The black knight is next.),Background.jpg
200,0,0,!PlayerIsDamsel,(She's watching the black knight.),Background.jpg
210,0,0,PlayerIsDamsel,(The black knight is next.),Background.jpg
210,0,0,!PlayerIsDamsel,(She's watching the black knight.),Background.jpg
220,0,0,PlayerIsDamsel,(The white knight is next.),Background.jpg
220,0,0,!PlayerIsDamsel,(She's watching the white knight.),Background.jpg
230,0,0,PlayerIsDamsel,(The black knight is next.),Background.jpg
230,0,0,!PlayerIsDamsel,(She's watching the black knight.),Background.jpg
240,0,0,PlayerIsDamsel,(The white knight is next.),Background.jpg
240,0,0,!PlayerIsDamsel,(She's watching the white knight.),Background.jpg
250,0,0,PlayerIsDamsel,"(As the damsel, this is your line.)",Background.jpg
250,0,0,!PlayerIsDamsel,(She's about to say her line.),Background.jpg
270,0,0,PlayerIsDamsel,(The black knight is next.),Background.jpg
270,0,0,!PlayerIsDamsel,(She's watching the black knight.),Background.jpg
280,0,0,PlayerIsDamsel,"(As the damsel, this is your line.)",Background.jpg
280,0,0,!PlayerIsDamsel,(She's about to say her line.),Background.jpg
300,0,0,PlayerIsDamsel,(The play is over.),Background.jpg
300,0,0,!PlayerIsDamsel,It was a fun play.,Background.jpg
