Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
140,0,0,PlayerIsDamsel,Halt!  Before soil|turns crimson.,Both knights look at the damsel.,150,0,0,"GlobalStage(150, 1, 0)"
140,0,0,PlayerIsDamsel,Stop!  Before the|ground turns red.,Both knights look at the damsel.,150,0,0,"GlobalStage(150, -1, 0)"
140,0,0,PlayerIsDamsel,Sorry Julia.|I forgot my line.,"Julia whispers to you:|""Halt!  Before soil turns crimson.""",140,0,0,ForgetLine()
140,0,0,!PlayerIsDamsel,(Listen quietly.),"Sarah steps in like a princess and says:|""Halt!  Before soil turns crimson.""",150,0,0,"GlobalStage(150, 0, 0)"
140,0,0,!PlayerIsDamsel,(Snap your fingers|with impatience.),"Sarah rushes on the stage and says:|""Halt!  Before soil turns red.""",150,0,0,"GlobalStage(150, 0, 1)"
140,0,0,!PlayerIsDamsel,(Make some silly|faces to distract her.),"Sarah tries not to laugh and says:|""Stop!  Before ground turns crimson.""",150,0,0,"GlobalStage(150, -1, 0)"
150,0,0,PlayerIsDamsel,Allow me to speak|from my heart.,Both knights look curiously at you.,160,0,0,"GlobalStage(160, -1, 0)"
150,0,0,PlayerIsDamsel,Alloweth thy heart|speaks pure voice.,Both knights look at you anxiously.,160,0,0,"GlobalStage(160, 1, 0)"
150,0,0,PlayerIsDamsel,Sorry Julia.|I forgot my line.,"Julia sighs and whispers:|""Alloweth thy heart speaks pure voice.""",150,0,0,ForgetLine()
150,0,0,!PlayerIsDamsel,(Listen quietly.),"Sarah looks at both knights and says:|""Alloweth thy heart speaks pure voice.""",160,0,0,"GlobalStage(160, 0, 0)"
150,0,0,!PlayerIsDamsel,(Snap your fingers|with impatience.),"Sarah speeds up and says:|""Allow my heart to speak pure voice.""",160,0,0,"GlobalStage(160, 0, 1)"
150,0,0,!PlayerIsDamsel,(Give her a thumbs|up to cheer her.),"Sarah smiles at you and says:|""Alloweth thy heart speaks pure voice.""",160,0,0,"GlobalStage(160, 1, 0)"
160,0,0,PlayerIsDamsel,I love the|white hero.,The black knight gives you an|angry look and takes the stage.,200,0,0,"GlobalStage(200, -1, 0)"
160,0,0,PlayerIsDamsel,I profess love unto|thy white hero.,The black knight gives you an|angry look and takes the stage.,200,0,0,"GlobalStage(200, 1, 0)"
160,0,0,PlayerIsDamsel,I love the|black knight.,The black knight smiles and takes the stage.,210,0,0,"GlobalStage(210, -1, 0)"
160,0,0,PlayerIsDamsel,I profess love unto|thy black champion.,The black knight smiles and takes the stage.,210,0,0,"GlobalStage(210, 1, 0)"
160,0,0,PlayerIsDamsel,Sorry Julia.|I forgot my line.,"Julia sighs and whispers to you:|""I profess love unto thy white hero.""",150,0,0,ForgetLine()
160,0,0,!PlayerIsDamsel,(Listen quietly.),,160,0,0,SarahChooseKnight()
160,0,0,!PlayerIsDamsel,(Snap your fingers|with impatience.),,160,0,0,SarahChooseKnight()
250,0,0,CanKissHeroine,(Rush to kiss the|heroine.) (1 minute),You rush into the white knight|arms for a wonderful final kiss.,260,0,0,FinalKiss()
250,0,0,CanKneelHeroine,(Kneel next to the|heroine.) (1 minute),You respectfully kneel down next to|Sarah and hug her legs for the final act.,260,0,0,FinalDomme()
250,0,0,CanHugHeroine,(Go hug the heroine.)|(1 minute),You open your arms and hug|the white knight for the final act.,260,0,0,FinalHug()
250,10,0,PlayerIsHeroine,(Rush to kiss her.)|(1 minute),You rush to Sarah and share a lovely|kiss with her for the final act.,260,0,0,FinalKiss()
250,0,10,PlayerIsHeroine,(Point at the floor.)|(1 minute),Sarah respectfully kneels down next to|you and hugs your legs for the final act.,260,0,0,FinalDomme()
250,0,0,PlayerIsHeroine,(Go hug her.)|(1 minute),You go to Sarah and give her|a warm hug for the final act.,260,0,0,FinalHug()
250,0,0,PlayerIsVillain,(Watch the scene.)|(1 minute),Amanda rushes to Sarah and they|share a lovely kiss for the final act.,260,0,0,FinalKiss()
255,0,0,,(Release her.)|(1 minute),You release her from her predicament|while she looks at you with a smile.,250,0,0,ReleaseDamsel()
255,0,0,,Thou shalt be thine|bound wife.  (1 minute),The damsel shakes her head yes and smiles.|The play concludes with both of them as prisoners.,300,0,0,FinalTwoPrisoners()
