Tag,Content
RefuseBondageFromDamsel,(She sees the item but quickly turns it away.|As the damsel you need +10 submission to use it.)
RefuseBondageFromKnight,(She sees the item but quickly turns it away.|As a knight you need +5 submission to use it.)
Crop,(You whip her hard while she|stares at you defiantly and giggles.)
Rope,(You strip her and wrap the rope around|her body while she shivers of pleasure.)
TwoRopes,"(You grab her legs and tie a second rope|around them, forcing her to kneel down.)"
Armbinder,"(You slide her arms in the leather|binder, strap it and lace it tight.)"
Cuffs,(She resigns and puts her hands behind|her back so you can lock the cuffs on her.)
BallGag,(She bows and opens her mouth so|you can push the ball in and buckle it tight.)
TapeGag,(She resigns and seals her lips|so you can tape them shut.)
ClothGag,(You slowly push the wad in her mouth|and wrap the gag around her head.)
CuffsKey,(You turn the key in the|cuffs and release her.)
VibratingEgg,(She looks at the egg curiously|while you slide it inside her.)
ChastityBelt,(She panics when she sees the belt|but she resigns as you lock it on her.)
Collar,(You need +20 submission and a|special ceremony to collar a student.)
Orgasm,(She tries to stay cool but quickly falls to|your touch and gets an orgasm on stage.)
AcceptRelease,Of course!  I guess I can help you.|(She releases you from your bondage.)
MasturbateChaste,(You barely slide a finger underneath|the belt but it's too tight to pleasure her.)
