Tag,Content
Crop,(She whimpers a little while you whip|her on the butt but doesn't react that much.)
Rope,(You wrap the rope around her curvy body.|She seems to be enjoying this a little.)
TwoRopes,(You pick a second rope and tie|her legs in a kneeling position.)
Armbinder,(Her arms will not fit in|the small leather binder.)
Cuffs,(She doesn't seem to appreciate the cuffs|but you're able to lock them behind her back.)
BallGag,(She struggles a little but you're|able to strap the gag on her head.)
TapeGag,(She struggles a little but you're|able to tape her mouth shut.)
ClothGag,(She struggles a little but you're able to|push the wad inside her mouth and tie the gag.)
CuffsKey,(She positions her hands so|you can unlock her with ease.)
VibratingEgg,(She stares at you and she sees|the egg but you're able to slide it in.)
CannotWearBelt,(The belt is too small to fit on Julia.)
CannotWearCollar,(Teachers cannot be collared.)
RefuseBondage,(Julia sees the item and turns it away.|As the damsel you need +5 submission to use it.)
Orgasm,(She shakes her head no but can't resist your|crafty fingers and gets an orgasm right on stage.)
QueenTurnTables,What are you doing?  I'm the queen!|(She pins you down and uses your items against you.)
AcceptRelease,So thy need help?  Your queen shall help.|(She releases you from your bondage.)
