Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Come here Julia!|(Hug Julia) (1 minute),Si!  (She wraps her arms around|you and squeezes you on her chest.),10,1,0,Hug()
0,0,0,,A hug?  Are you sure?|(Hug Julia)  (1 minute),So timid!  (She wraps her arms around|you and squeezes you on her chest.),10,1,-1,Hug()
0,0,0,,"Please, no hug.",Such a shy new pupil.|Welcome to drama class!,20,0,-1,
0,0,0,,Forget it Julia.,(She frowns at you but quickly smiles again.)|Welcome to drama class COMMON_PLAYERNAME!,20,-1,1,
10,0,0,,That's a nice hug.,Si!  I love to give big and warm hugs!|Welcome to drama class COMMON_PLAYERNAME.,20,0,0,
10,0,0,,You give the|best hugs.,Si!  I love to give big and warm hugs!|Welcome to drama class COMMON_PLAYERNAME.,20,0,0,
10,0,0,,I cannot breath!,So sorry little new pupil.|Welcome to drama class!,20,0,-1,
10,0,0,,(Kiss her breast.),No COMMON_PLAYERNAME.  (She pushes you back.)|Anyway.  Welcome to drama class.,20,-1,0,
20,0,0,,Drama class?,Si!  Today you will repeat a role|for a theater act we are preparing.,30,0,0,
20,0,0,,Are you doing|a theater play?,Si!  Today you will repeat a role|for a theater act we are preparing.,30,0,0,
30,0,0,,What's the|act about?,It's a medieval play called a Tale of Two Knights.|A drama about two rivals that loves the same damsel.,40,0,0,
30,0,0,,Are we playing|some Shakespeare?,"No, it's a medieval play called a Tale of Two Knights.|A drama about two rivals that loves the same damsel.",40,0,0,
40,0,0,,And what role|will I play?,"You can be the heroic white knight, the|evil black knight or the damsel in distress.",50,0,0,CheckRole()
40,0,0,,Great!  What|role do I get?,"You can be the heroic white knight, the|evil black knight or the damsel in distress.",50,1,0,CheckRole()
40,0,0,,Drama isn't|my forte.,"Nonsense!  You can be the heroic white knight,|the evil black knight or the damsel in distress.",50,-1,0,CheckRole()
40,0,0,,I want to play a|strong character.,"You can be the heroic white knight, the|evil black knight or the damsel in distress.",50,0,1,CheckRole()
40,0,0,,I'm too shy to act|in front of a crowd.,"Don't be shy!  You can be the heroic white knight,|the evil black knight or the damsel in distress.",50,0,-1,CheckRole()
50,0,0,,I'll play the heroine.,Very well.  Go to the dressing room|and dress in the heroic white knight armor.,60,0,0,"SetRole(""Heroine"")"
50,0,0,,I'll play the villain.,Very well.  Go to the dressing room|and dress in the infamous black knight armor.,60,0,0,"SetRole(""Villain"")"
50,0,0,,I'll play the damsel.,Very well.  Go to the dressing room|and dress in the damsel wedding gown.,60,0,0,"SetRole(""Damsel"")"
60,0,0,,I'll go change.|(Go to dressing room.),,60,0,0,DressingRoom()
