Tag,Content
UngagPlayer,(She giggles and removes your gag.)|Can you help me find my costume?
CropToSearch,(You whip her and she quickly starts to search.)|I got it!  You don't mind if I strip right here?
CropToStrip,(You whip her and she strips right away.)|So which costume piece should I put on first?
CostumeBeforeFun,Oh sweet!  You have some toys.  But I|need my costume first.  Can you help?
CostumeBlocksFun,"I would love to try your toys but it's|too late now, I'm already costumed."
PlayerRandomBondage,Sure!  (Sarah picks some random|items in your bag and restrains you.)
NoBondageItem,(She checks your bag.)  Sorry COMMON_PLAYERNAME.|You don't have anything I could use on you.
Collar,(You need +20 submission or better|and a special ceremony to collar Sarah.)
Crop,(You whip her pretty hard while she|moans.  She really seems to enjoy it.)
Rope,(You circle the rope around her body|while she tests your rope skills playfully.)
TwoRopes,(You pick a second rope and tie|her legs in a kneeling position.)
Armbinder,(She happily slides her arms in the|leather binder for you to strap it securely.)
Cuffs,(She nods happily while you drag|her hands behind her and cuff them.)
BallGag,(She moves her head closer to|make it easier for you to gag her.)
TapeGag,(She moves her head closer to|make it easier for you to gag her.)
ClothGag,(She moves her head closer to|make it easier for you to gag her.)
CuffsKey,(She moves playfully to make it harder for|you to unlock her but you manage to do it.)
VibratingEgg,(She nods as she sees the egg and|open her legs so you can slide it in.)
ChastityBelt,(She panics when she sees the belt|but you're able to lock it tightly on her.)
MasturbateBelt,(You try to masturbate her but fail.|You can barely fit a finger under her belt.)
Masturbate,(You masturbate her at a good pace|and she moans silently and giggles.)
MasturbateGood,(You masturbate her at a good pace|while she moans and trembles of pleasure.)
MasturbateOrgasm,(She loses control of her body and|climaxes right in the dressing room.)
DressWithBelt,"(You help her dress but she seems stressed.)|Ok, let's do the play and unlock the belt after."
RefuseBelt,(You try to lock the belt on her but she|promptly refuses and pushes it away.)
UndressBeforeBondage,(She giggles and nods.)|Only if you undress first.
UntiePlayer,Alright.  Let me help with these ropes.|(She releases you from your bondage.)
UnstrapPlayer,"Yes, let me help you with this armbinder.|(She unstraps the armbinder and releases you.)"
CannotFree,(She points to her own restrains and giggles.)
CannotFreeGagged,(She shakes her head from left to right.)
HelpWhileGagged,(She unties the knots while|humming a song in her gag.)
